Dependency=Location Region	Dependency=Vintage	Dependency=Geometry Foundation Type	Dependency=Geometry Building Type RECS	Option=Uninsulated	Option=Wall R-5	Option=Wall R-10	Option=Wall R-15	Option=None
CR02	2040s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	2040s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	2040s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	2040s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	2040s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	2040s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	2040s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	2040s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	2040s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	2040s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	2040s	Crawl	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	2040s	Crawl	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	2040s	Crawl	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	2040s	Crawl	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	2040s	Crawl	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	2040s	Crawl	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	2040s	Crawl	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	2040s	Crawl	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	2040s	Crawl	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	2040s	Crawl	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	2040s	Crawl	Mobile Home	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	2040s	Crawl	Mobile Home	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	2040s	Crawl	Mobile Home	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	2040s	Crawl	Mobile Home	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	2040s	Crawl	Mobile Home	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	2040s	Crawl	Mobile Home	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	2040s	Crawl	Mobile Home	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	2040s	Crawl	Mobile Home	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	2040s	Crawl	Mobile Home	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	2040s	Crawl	Mobile Home	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	2040s	Crawl	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	2040s	Crawl	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	2040s	Crawl	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	2040s	Crawl	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	2040s	Crawl	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	2040s	Crawl	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	2040s	Crawl	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	2040s	Crawl	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	2040s	Crawl	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	2040s	Crawl	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	2040s	Crawl	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	2040s	Crawl	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	2040s	Crawl	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	2040s	Crawl	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	2040s	Crawl	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	2040s	Crawl	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	2040s	Crawl	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	2040s	Crawl	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	2040s	Crawl	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	2040s	Crawl	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	2040s	Heated Basement	Single-Family Detached	0.000000	0.000000	0.000000	1.000000	0.000000
CR05	2040s	Heated Basement	Single-Family Detached	0.000000	0.000000	0.000000	1.000000	0.000000
CR03	2040s	Heated Basement	Single-Family Detached	0.000000	0.000000	0.000000	1.000000	0.000000
CR04	2040s	Heated Basement	Single-Family Detached	0.000000	0.000000	0.000000	1.000000	0.000000
CR06	2040s	Heated Basement	Single-Family Detached	0.000000	0.000000	0.000000	1.000000	0.000000
CR07	2040s	Heated Basement	Single-Family Detached	0.000000	0.000000	0.000000	1.000000	0.000000
CR08	2040s	Heated Basement	Single-Family Detached	0.000000	0.000000	0.830000	0.170000	0.000000
CR09	2040s	Heated Basement	Single-Family Detached	0.000000	0.540000	0.210000	0.250000	0.000000
CR10	2040s	Heated Basement	Single-Family Detached	0.000000	0.510000	0.000000	0.490000	0.000000
CR11	2040s	Heated Basement	Single-Family Detached	0.000000	0.240000	0.400000	0.360000	0.000000
CR02	2040s	Heated Basement	Single-Family Attached	0.000000	0.000000	0.000000	1.000000	0.000000
CR05	2040s	Heated Basement	Single-Family Attached	0.000000	0.000000	0.000000	1.000000	0.000000
CR03	2040s	Heated Basement	Single-Family Attached	0.000000	0.000000	0.000000	1.000000	0.000000
CR04	2040s	Heated Basement	Single-Family Attached	0.000000	0.000000	0.000000	1.000000	0.000000
CR06	2040s	Heated Basement	Single-Family Attached	0.000000	0.000000	0.000000	1.000000	0.000000
CR07	2040s	Heated Basement	Single-Family Attached	0.000000	0.000000	0.000000	1.000000	0.000000
CR08	2040s	Heated Basement	Single-Family Attached	0.000000	0.000000	0.830000	0.170000	0.000000
CR09	2040s	Heated Basement	Single-Family Attached	0.000000	0.540000	0.210000	0.250000	0.000000
CR10	2040s	Heated Basement	Single-Family Attached	0.000000	0.510000	0.000000	0.490000	0.000000
CR11	2040s	Heated Basement	Single-Family Attached	0.000000	0.240000	0.400000	0.360000	0.000000
CR02	2040s	Heated Basement	Mobile Home	0.000000	0.000000	0.000000	1.000000	0.000000
CR05	2040s	Heated Basement	Mobile Home	0.000000	0.000000	0.000000	1.000000	0.000000
CR03	2040s	Heated Basement	Mobile Home	0.000000	0.000000	0.000000	1.000000	0.000000
CR04	2040s	Heated Basement	Mobile Home	0.000000	0.000000	0.000000	1.000000	0.000000
CR06	2040s	Heated Basement	Mobile Home	0.000000	0.000000	0.000000	1.000000	0.000000
CR07	2040s	Heated Basement	Mobile Home	0.000000	0.000000	0.000000	1.000000	0.000000
CR08	2040s	Heated Basement	Mobile Home	0.000000	0.000000	0.830000	0.170000	0.000000
CR09	2040s	Heated Basement	Mobile Home	0.000000	0.540000	0.210000	0.250000	0.000000
CR10	2040s	Heated Basement	Mobile Home	0.000000	0.510000	0.000000	0.490000	0.000000
CR11	2040s	Heated Basement	Mobile Home	0.000000	0.240000	0.400000	0.360000	0.000000
CR02	2040s	Heated Basement	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	1.000000	0.000000
CR05	2040s	Heated Basement	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	1.000000	0.000000
CR03	2040s	Heated Basement	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	1.000000	0.000000
CR04	2040s	Heated Basement	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	1.000000	0.000000
CR06	2040s	Heated Basement	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	1.000000	0.000000
CR07	2040s	Heated Basement	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	1.000000	0.000000
CR08	2040s	Heated Basement	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.830000	0.170000	0.000000
CR09	2040s	Heated Basement	Multi-Family with 2 - 4 Units	0.000000	0.540000	0.210000	0.250000	0.000000
CR10	2040s	Heated Basement	Multi-Family with 2 - 4 Units	0.000000	0.510000	0.000000	0.490000	0.000000
CR11	2040s	Heated Basement	Multi-Family with 2 - 4 Units	0.000000	0.240000	0.400000	0.360000	0.000000
CR02	2040s	Heated Basement	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	1.000000	0.000000
CR05	2040s	Heated Basement	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	1.000000	0.000000
CR03	2040s	Heated Basement	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	1.000000	0.000000
CR04	2040s	Heated Basement	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	1.000000	0.000000
CR06	2040s	Heated Basement	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	1.000000	0.000000
CR07	2040s	Heated Basement	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	1.000000	0.000000
CR08	2040s	Heated Basement	Multi-Family with 5+ Units	0.000000	0.000000	0.830000	0.170000	0.000000
CR09	2040s	Heated Basement	Multi-Family with 5+ Units	0.000000	0.540000	0.210000	0.250000	0.000000
CR10	2040s	Heated Basement	Multi-Family with 5+ Units	0.000000	0.510000	0.000000	0.490000	0.000000
CR11	2040s	Heated Basement	Multi-Family with 5+ Units	0.000000	0.240000	0.400000	0.360000	0.000000
CR02	2040s	Pier and Beam	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	2040s	Pier and Beam	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	2040s	Pier and Beam	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	2040s	Pier and Beam	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	2040s	Pier and Beam	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	2040s	Pier and Beam	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	2040s	Pier and Beam	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	2040s	Pier and Beam	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	2040s	Pier and Beam	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	2040s	Pier and Beam	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	2040s	Pier and Beam	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	2040s	Pier and Beam	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	2040s	Pier and Beam	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
