Dependency=PUMA	Option=10 to 19 Unit	Option=2 Unit	Option=20 to 49 Unit	Option=3 or 4 Unit	Option=5 to 9 Unit	Option=50 or more Unit	Option=Mobile Home	Option=Single Family Attached	Option=Single Family Detached	sample_count	sample_weight
AL, 00100	0.014744	0.019421	0.006394	0.033093	0.056074	0.010703	0.113713	0.010580	0.735277	0.000000	0.000000
AL, 00200	0.043308	0.054317	0.003593	0.009507	0.071295	0.014877	0.090158	0.013983	0.698962	0.000000	0.000000
AL, 00301	0.107454	0.006553	0.040344	0.020032	0.063439	0.027288	0.052709	0.025467	0.656713	0.000000	0.000000
AL, 00302	0.056927	0.005156	0.030850	0.025215	0.071303	0.075659	0.052709	0.025564	0.656616	0.000000	0.000000
AL, 00400	0.002851	0.022408	0.004670	0.013764	0.026673	0.001797	0.256794	0.011849	0.659195	0.000000	0.000000
AL, 00500	0.014229	0.018243	0.016729	0.041210	0.047050	0.003032	0.128713	0.005336	0.725458	0.000000	0.000000
AL, 00600	0.013095	0.008442	0.007370	0.028764	0.060110	0.007782	0.169840	0.019622	0.684976	0.000000	0.000000
AL, 00700	0.006881	0.016506	0.011114	0.022849	0.025750	0.002390	0.237765	0.003403	0.673343	0.000000	0.000000
AL, 00800	0.015032	0.007811	0.012353	0.017859	0.033431	0.000589	0.254412	0.009832	0.648679	0.000000	0.000000
AL, 00900	0.010068	0.025954	0.020991	0.019092	0.027073	0.005679	0.129371	0.004285	0.757488	0.000000	0.000000
AL, 01000	0.005327	0.026466	0.004886	0.019330	0.024670	0.007194	0.278199	0.006197	0.627730	0.000000	0.000000
AL, 01100	0.014061	0.016118	0.005943	0.017214	0.043025	0.008053	0.169073	0.026448	0.700065	0.000000	0.000000
AL, 01200	0.036769	0.012734	0.039400	0.004675	0.031695	0.046334	0.076270	0.054755	0.697368	0.000000	0.000000
AL, 01301	0.054676	0.020940	0.015128	0.027354	0.101116	0.026830	0.030351	0.018989	0.704617	0.000000	0.000000
AL, 01302	0.034645	0.007881	0.040903	0.020777	0.069443	0.072394	0.030351	0.076856	0.646750	0.000000	0.000000
AL, 01303	0.063543	0.002554	0.026612	0.025814	0.049910	0.077609	0.030351	0.050014	0.673591	0.000000	0.000000
AL, 01304	0.040050	0.009714	0.038969	0.048792	0.081537	0.026981	0.030351	0.010300	0.713305	0.000000	0.000000
AL, 01305	0.027532	0.046767	0.044748	0.025225	0.068900	0.032870	0.030351	0.007700	0.715906	0.000000	0.000000
AL, 01400	0.004297	0.019490	0.006884	0.028485	0.019421	0.001482	0.280157	0.005361	0.634423	0.000000	0.000000
AL, 01500	0.019108	0.024486	0.008082	0.007181	0.102288	0.084971	0.147368	0.001128	0.605389	0.000000	0.000000
