housing_characteristic,level
Bathroom Spot Vent Hour,0
buildstock,0
Ceiling Fan,0
Days Shifted,0
Dehumidifier,0
Door Area,0
Doors,0
Eaves,0
Geometry Building Type FPL,0
Insulation Finished Roof,0
Lighting,0
Location Weather Year,0
Mechanical Ventilation,0
Misc Extra Refrigerator,0
Misc Freezer,0
Misc Gas Fireplace,0
Misc Gas Grill,0
Misc Gas Lighting,0
Misc Hot Tub Spa,0
Misc Pool,0
Misc Well Pump,0
Natural Ventilation,0
Occupants,0
Overhangs,0
PV,0
Range Spot Vent Hour,0
Roof Material,0
Solar Hot Water,0
Usage Level,0
Window Areas,0
Clothes Washer,1
Dishwasher,1
Geometry Building Type,1
Hot Water Fixtures,1
Location,1
Plug Loads,1
Refrigerator,1
Cooling Setpoint,2
Geometry Foundation Type,2
Geometry Is Multifamily Low Rise,2
Geometry Perimeter Footprint Ratio,2
Heating Setpoint,2
Location Region,2
Location Weather Filename,2
Vintage FPL,2
Geometry House Size,3
Geometry Shared Walls MF,3
Geometry Shared Walls SFA,3
Heating Fuel,3
Neighbors,3
Orientation,3
Vintage,3
Clothes Dryer,4
Cooking Range,4
Ducts,4
Geometry Building Floors,4
Geometry Building Number Units HL,4
Geometry Garage,4
Geometry Unit Stories MF,4
Geometry Unit Stories SF,4
Hot Water Distribution,4
HVAC System Is Shared,4
Insulation Crawlspace,4
Insulation Finished Basement,4
Insulation Interzonal Floor,4
Insulation Pier Beam,4
Insulation Slab,4
Insulation Unfinished Attic,4
Insulation Unfinished Basement,4
Insulation Wall,4
Water Heater,4
Windows,4
Geometry Building Number Units MF,5
Geometry Building Number Units SFA,5
HVAC System Is Heat Pump,5
Infiltration,5
HVAC System Cooling,6
HVAC System Heat Pump,6
HVAC System Heating Electricity,6
HVAC System Heating Fuel Oil,6
HVAC System Heating Natural Gas,6
HVAC System Heating None,6
HVAC System Heating Other Fuel,6
HVAC System Heating Propane,6
HVAC System Cooling Type,7
