Occ_1,Occ_2,Occ_3
1,1,1
0.992753623,0.993421053,0.998397436
0.971014493,0.99122807,0.996794872
0.971014493,0.99122807,0.996794872
0.984299517,0.990350877,0.991065705
0.985507246,0.964912281,0.979834402
0.959661836,0.901023392,0.958525641
0.880434783,0.80994152,0.935825321
0.716183575,0.72997076,0.898966346
0.624637681,0.718859649,0.853469551
0.483091787,0.564473684,0.771861645
0.446135266,0.497953216,0.34576656
0.435507246,0.513596491,0.344038462
0.549033816,0.532017544,0.593034188
0.55410628,0.544736842,0.737505342
0.650483092,0.575584795,0.736861645
0.689855072,0.693567251,0.77943109
0.695410628,0.719298246,0.808640491
0.773188406,0.73494152,0.833349359
0.837198068,0.802339181,0.584308227
0.908454106,0.875877193,0.541370192
0.942270531,0.900146199,0.595339209
0.970048309,0.935818713,0.859746261
0.97294686,0.959649123,0.932737714
