RBSA,BEopt
<R19,NaN
>R13,R-19
>R23,R-36
>R30,R-36
R0,Uninsulated
R11,R-13
R13,R-13
R14-R20,R-19
R19-R30,R-19
R1-R13,R-7
R21-R23,R-19
R2-R7,R-7
