RBSA,BEopt
R0,"Uninsulated, Vented"
R11-R15,"Ceiling R-13, Vented"
R16-R20,"Ceiling R-19, Vented"
R1-R10,"Ceiling R-7, Vented"
R21-25,"Ceiling R-19, Vented"
R26-R30,"Ceiling R-30, Vented"
R31-R40,"Ceiling R-38, Vented"
R41-R50,"Ceiling R-49, Vented"
R50+,"Ceiling R-60, Vented"
