Dependency=Geometry Building Type FPL	Dependency=Vintage FPL	Dependency=Location EPW	Option=0-1499	Option=1500-2499	Option=2500-3499	Option=3500+	Counts
Single-Family Detached	1940-59s	USA_AL_Birmingham.Muni.AP.722280_TMY3.epw	0.400268314	0.28430707	0.245229607	0.070195008	80944.51934
Single-Family Detached	1960-79s	USA_AL_Birmingham.Muni.AP.722280_TMY3.epw	0.284659352	0.427584873	0.152326044	0.135429731	129716.7477
Single-Family Detached	1980-99s	USA_AL_Birmingham.Muni.AP.722280_TMY3.epw	0.120996803	0.454268308	0.194785746	0.229949143	113563.7608
Single-Family Detached	2000-09s	USA_AL_Birmingham.Muni.AP.722280_TMY3.epw	0.16993681	0.468056145	0.193416131	0.168590914	73873.38632
Single-Family Detached	<1940	USA_AL_Birmingham.Muni.AP.722280_TMY3.epw	0.309425154	0.36141634	0.182237618	0.146920888	33656.78305
Single-Family Detached	2010s	USA_AL_Birmingham.Muni.AP.722280_TMY3.epw	0.165918106	0.456747566	0.203701629	0.173632699	8182.140837
Single-Family Detached	1940-59s	USA_AL_Huntsville.Intl.AP-Jones.Field.723230_TMY3.epw	0.493013949	0.377211063	0.089666407	0.040108581	51390.50245
Single-Family Detached	1960-79s	USA_AL_Huntsville.Intl.AP-Jones.Field.723230_TMY3.epw	0.341039186	0.470077447	0.126105794	0.062777574	117810.1372
Single-Family Detached	1980-99s	USA_AL_Huntsville.Intl.AP-Jones.Field.723230_TMY3.epw	0.244263681	0.471899656	0.187136737	0.096699926	107947.2026
Single-Family Detached	2000-09s	USA_AL_Huntsville.Intl.AP-Jones.Field.723230_TMY3.epw	0.14716657	0.463658926	0.239114602	0.150059902	58428.45131
Single-Family Detached	<1940	USA_AL_Huntsville.Intl.AP-Jones.Field.723230_TMY3.epw	0.382772089	0.437447051	0.110066612	0.069714247	20674.96962
Single-Family Detached	2010s	USA_AL_Huntsville.Intl.AP-Jones.Field.723230_TMY3.epw	0.152890339	0.362660014	0.299418586	0.18503106	9251.347837
Single-Family Detached	1940-59s	USA_AL_Mobile-Rgnl.AP.722230_TMY3.epw	0.42828463	0.304579833	0.158273647	0.10886189	66608.04148
Single-Family Detached	1960-79s	USA_AL_Mobile-Rgnl.AP.722230_TMY3.epw	0.313655676	0.396420179	0.172771446	0.117152699	142511.612
Single-Family Detached	1980-99s	USA_AL_Mobile-Rgnl.AP.722230_TMY3.epw	0.204985136	0.347901743	0.280107734	0.167005387	148523.7974
Single-Family Detached	2000-09s	USA_AL_Mobile-Rgnl.AP.722230_TMY3.epw	0.203780071	0.38697613	0.232561786	0.176682012	92992.87577
Single-Family Detached	<1940	USA_AL_Mobile-Rgnl.AP.722230_TMY3.epw	0.315844079	0.339871483	0.182810224	0.161474214	18100.31967
Single-Family Detached	2010s	USA_AL_Mobile-Rgnl.AP.722230_TMY3.epw	0.176974967	0.405416769	0.238813962	0.178794301	10622.73933
