Dependency=Vintage	Option=<1940	Option=1940s	Option=1950s	Option=1960s	Option=1970s	Option=1980s	Option=1990s	Option=2000s	Option=2010s
<1950s	1	1	0	0	0	0	0	0	0
1950s	0	0	1	0	0	0	0	0	0
1960s	0	0	0	1	0	0	0	0	0
1970s	0	0	0	0	1	0	0	0	0
1980s	0	0	0	0	0	1	0	0	0
1990s	0	0	0	0	0	0	1	0	0
2000s	0	0	0	0	0	0	0	1	1
