Dependency=Location EPW	Option=Single-Family Attached	Option=Single-Family Detached	Option=10 to 19 Unit	Option=2 Unit	Option=20 to 49 Unit	Option=3 or 4 Unit	Option=5 to 9 Unit	Option=50 or more Unit	Option=Mobile Home	Count
USA_AL_Birmingham.Muni.AP.722280_TMY3.epw	0.022119537	0.710783786	0.039137381	0.016247731	0.020198502	0.025081407	0.040305445	0.018264374	0.107861837	618946.7836
USA_AL_Huntsville.Intl.AP-Jones.Field.723230_TMY3.epw	0.013919415	0.74050861	0.02221441	0.018028955	0.010918005	0.028208465	0.03700411	0.009942443	0.119255587	493583.2022
USA_AL_Mobile-Rgnl.AP.722230_TMY3.epw	0.019175747	0.71740266	0.029069148	0.020385113	0.018671541	0.031874204	0.041090686	0.023448072	0.098882829	668187.3549
USA_AL_Montgomery-Dannelly.Field.722260_TMY3.epw	0.017022082	0.692010197	0.01961255	0.021247614	0.010438346	0.036448257	0.046651498	0.012370248	0.144199208	359191.2368
USA_AR_Fort.Smith.Rgnl.AP.723440_TMY3.epw	0.016153234	0.72557274	0.02648609	0.033769376	0.01230497	0.030039451	0.022764764	0.010355424	0.122553951	302464.4087
USA_AR_Little.Rock-Adams.Field.723403_TMY3.epw	0.012542821	0.704578857	0.030946312	0.024109141	0.012839366	0.02704223	0.032474662	0.02240417	0.133062441	550095.7543
USA_AZ_Flagstaff-Pulliam.AP.723755_TMY3.epw	0.038220884	0.636730592	0.021836053	0.020308016	0.01541268	0.029557532	0.036541071	0.01465299	0.186740182	104108.1771
USA_AZ_Phoenix-Sky.Harbor.Intl.AP.722780_TMY3.epw	0.046744604	0.675677627	0.055951753	0.010552567	0.025566842	0.035488547	0.046779545	0.044839287	0.058399229	1570848.777
USA_AZ_Prescott-Love.Field.723723_TMY3.epw	0.024367934	0.676932738	0.012606883	0.029383181	0.010163226	0.029119012	0.020477528	0.013549113	0.183400385	120958.7281
USA_AZ_Tucson.Intl.AP.722740_TMY3.epw	0.062504474	0.628299612	0.042664443	0.018191494	0.028409325	0.028802658	0.031042789	0.046556947	0.113528259	464454.1228
