Dependency=Location Region	Option=Mobile Home	Option=Multi-Family with 2 - 4 Units	Option=Multi-Family with 5+ Units	Option=Single-Family Attached	Option=Single-Family Detached	Count	Weight
CR10	0.105740410962	0.0351204266437	0.138154332188	0.04369867115	0.677286159056	367	3984683.99996
CR11	0.0322622003148	0.084669724439	0.235095642584	0.0701356143232	0.577836818339	1606	12214891.0
CR02	0.0410768419528	0.0666469958675	0.13578100107	0.0574220310178	0.699073130092	941	6180496.99994
CR03	0.0153212350035	0.186353183196	0.185997910422	0.0518008041743	0.560526867204	938	5511097.00001
CR04	0.0326758325026	0.0819527099144	0.154135558772	0.0443322575406	0.68690364127	908	15581140.0003
CR05	0.0615904069072	0.0485766781043	0.0963178430652	0.0753113087588	0.718203763165	445	3920592.00008
CR06	0.0812823270747	0.0792613479369	0.200128695889	0.0401116199521	0.599216009147	466	4727939.99997
CR07	0.0285296650054	0.138437515709	0.224404870282	0.0998311507424	0.508796798261	1328	15259350.0
CR08	0.085114102656	0.0459311392496	0.1538781749	0.0809511013056	0.634125481889	1752	12994609.0
CR09	0.0935869394548	0.0556079288521	0.140607564519	0.0389485479063	0.671249019268	3332	33241429.0
