Dependency=Location EPW	Dependency=Geometry Is Low Rise	Option=Corner	Option=Detached	Option=End	Option=Middle	Option=Three sides	Count
Without location epw as a dependency	TRUE	0.004861048	0.862871332	0.076172974	0.054002462	0.002090523	6017633
	FALSE	0.001215302	0.215717813	0.019043344	0.013500599	0.00052263	6017643
