Dependency=Geometry Building Type	Option=-2	Option=5	Option=6	Option=7	Option=8	Option=9	Option=10	Option=11	Option=12	Option=13	Option=14	Option=15	Option=16	Option=17	Option=18	Option=19	Option=20	Option=21	Option=22	Option=23	Option=24	Option=25	Option=26	Option=27	Option=28	Option=30	Option=31	Option=32	Option=33	Option=34	Option=35	Option=36	Option=37	Option=39	Option=40	Option=41	Option=42	Option=43	Option=44	Option=45	Option=46	Option=47	Option=48	Option=49	Option=50	Option=51	Option=52	Option=53	Option=54	Option=55	Option=56	Option=57	Option=58	Option=59	Option=60	Option=63	Option=64	Option=65	Option=66	Option=68	Option=70	Option=72	Option=75	Option=76	Option=80	Option=81	Option=84	Option=86	Option=88	Option=90	Option=95	Option=96	Option=99	Option=100	Option=102	Option=105	Option=108	Option=110	Option=112	Option=115	Option=116	Option=118	Option=120	Option=123	Option=125	Option=126	Option=130	Option=133	Option=135	Option=140	Option=141	Option=145	Option=150	Option=155	Option=160	Option=168	Option=170	Option=175	Option=178	Option=180	Option=187	Option=192	Option=199	Option=200	Option=313	Option=316	Option=322	Option=365	Count	Weight
Mobile Home	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	541	6940961.269
Multi-Family with 2 - 4 Units	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	926	9013016.883
Multi-Family with 5+ Units	0	0.038629034	0.104259205	0.01783555	0.163626334	0.010848052	0.055497673	0.005649488	0.11149867	0.0085709	0.010793824	0.015497832	0.036178223	0.001389675	0.012917003	0.000949786	0.032091115	0.004736949	0.002920836	0.002257592	0.035707557	0.010056967	0.0022382	0.003350244	0.004239949	0.029355014	0.00064718	0.005666847	0.003907875	0.002736966	0.003222922	0.013266427	0.001340732	0.000817434	0.016662323	0.000316583	0.004877375	0.000333592	0.001290168	0.002012516	0.000354681	0.000265201	0.007855669	0.002121102	0.022724685	0.00089983	0.000843043	0.000628754	0.002391734	0.000444832	0.001819488	0.001037346	0.001733897	0.001294359	0.019943961	0.001286329	0.002177398	0.002544261	0.001814181	0.001301966	0.006039059	0.002666962	0.003110566	0.001661492	0.007223977	0.000890917	0.000913387	0.001624945	0.002322186	0.006583752	0.000328288	0.004377758	0.00065475	0.01421919	0.000413006	0.00047779	0.000478314	0.001584663	0.001135507	0.000892939	0.000433785	0.000440428	0.011609231	0.00162167	0.001207055	0.001676702	0.001493896	0.000425047	0.002895209	0.003240462	0.000615902	0.001174373	0.003177383	0.000397618	0.001931669	0.001162714	0.000710532	0.000721728	0.000478314	0.001449726	0.001207709	0.000544797	0.000344503	0.01130792	0.013394772	0.014558263	0.006724571	0.005777246	1923	19109698.3
Single-Family Attached	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	890	6716849.355
Single-Family Detached	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7803	71835703.19
