Dependency=Location EPW	Dependency=Vintage FPL	Option=<1940	Option=1940s	Option=1950s	Option=1960s	Option=1970s	Option=1980s	Option=1990s	Option=2000s	Option=2010s	Total
USA_AL_Birmingham.Muni.AP.722280_TMY3.epw	<1940	1	0	0	0	0	0	0	0	0	718615.5032
USA_AL_Huntsville.Intl.AP-Jones.Field.723230_TMY3.epw	<1940	1	0	0	0	0	0	0	0	0	560362.5616
USA_AL_Mobile-Rgnl.AP.722230_TMY3.epw	<1940	1	0	0	0	0	0	0	0	0	813853.1705
USA_AL_Montgomery-Dannelly.Field.722260_TMY3.epw	<1940	1	0	0	0	0	0	0	0	0	429625.9272
USA_AR_Fort.Smith.Rgnl.AP.723440_TMY3.epw	<1940	1	0	0	0	0	0	0	0	0	351789.8623
USA_AR_Little.Rock-Adams.Field.723403_TMY3.epw	<1940	1	0	0	0	0	0	0	0	0	643952.2791
USA_AZ_Flagstaff-Pulliam.AP.723755_TMY3.epw	<1940	1	0	0	0	0	0	0	0	0	159063.4879
USA_AZ_Phoenix-Sky.Harbor.Intl.AP.722780_TMY3.epw	<1940	1	0	0	0	0	0	0	0	0	1806022.958
USA_AZ_Prescott-Love.Field.723723_TMY3.epw	<1940	1	0	0	0	0	0	0	0	0	159347.0742
USA_AZ_Tucson.Intl.AP.722740_TMY3.epw	<1940	1	0	0	0	0	0	0	0	0	541526.3515
USA_CA_Arcata.AP.725945_TMY3.epw	<1940	1	0	0	0	0	0	0	0	0	182752.1311
USA_CA_Bakersfield-Meadows.Field.723840_TMY3.epw	<1940	1	0	0	0	0	0	0	0	0	321702.4125
USA_CA_Barstow.Daggett.AP.723815_TMY3.epw	<1940	1	0	0	0	0	0	0	0	0	666873.9619
USA_CA_Fresno.Air.Terminal.723890_TMY3.epw	<1940	1	0	0	0	0	0	0	0	0	637167.1927
USA_CA_Long.Beach-Daugherty.Field.722970_TMY3.epw	<1940	1	0	0	0	0	0	0	0	0	2951871.708
USA_CA_Los.Angeles.Intl.AP.722950_TMY3.epw	<1940	1	0	0	0	0	0	0	0	0	2493298.723
USA_CA_Sacramento.Exec.AP.724830_TMY3.epw	<1940	1	0	0	0	0	0	0	0	0	1790891.037
USA_CA_San.Diego-Lindbergh.Field.722900_TMY3.epw	<1940	1	0	0	0	0	0	0	0	0	1461594.383
USA_CA_San.Francisco.Intl.AP.724940_TMY3.epw	<1940	1	0	0	0	0	0	0	0	0	2805576.074
USA_CA_Santa.Maria.Public.AP.723940_TMY3.epw	<1940	1	0	0	0	0	0	0	0	0	263828.7434
USA_CO_Alamosa.Muni.AP.724620_TMY3.epw	<1940	1	0	0	0	0	0	0	0	0	130976.556
USA_CO_Boulder-Broomfield-Jefferson.County.AP.724699_TMY3.epw	<1940	1	0	0	0	0	0	0	0	0	1294339.97
USA_CO_Colorado.Springs-Peterson.Field.724660_TMY3.epw	<1940	1	0	0	0	0	0	0	0	0	433876.2049
USA_CO_Eagle.County.Rgnl.AP.724675_TMY3.epw	<1940	1	0	0	0	0	0	0	0	0	150011.7246
USA_CO_Grand.Junction-Walker.Field.724760_TMY3.epw	<1940	1	0	0	0	0	0	0	0	0	132162.4594
USA_CO_Pueblo.Mem.AP.724640_TMY3.epw	<1940	1	0	0	0	0	0	0	0	0	94213.2465
USA_CT_Bridgeport-Sikorsky.Mem.AP.725040_TMY3.epw	<1940	1	0	0	0	0	0	0	0	0	1323820.282
USA_CT_Hartford-Bradley.Intl.AP.725080_TMY3.epw	<1940	1	0	0	0	0	0	0	0	0	981130.5502
USA_DE_Wilmington-New.Castle.County.AP.724089_TMY3.epw	<1940	1	0	0	0	0	0	0	0	0	566094.3047
USA_FL_Daytona.Beach.Intl.AP.722056_TMY3.epw	<1940	1	0	0	0	0	0	0	0	0	585421.1152
USA_FL_Jacksonville.Intl.AP.722060_TMY3.epw	<1940	1	0	0	0	0	0	0	0	0	857016.3479
USA_FL_Key.West.Intl.AP.722010_TMY3.epw	<1940	1	0	0	0	0	0	0	0	0	36350.18984
USA_FL_Miami.Intl.AP.722020_TMY3.epw	<1940	1	0	0	0	0	0	0	0	0	2047602.288
USA_FL_Orlando.Intl.AP.722050_TMY3.epw	<1940	1	0	0	0	0	0	0	0	0	3534843.094
USA_FL_Tallahassee.Rgnl.AP.722140_TMY3.epw	<1940	1	0	0	0	0	0	0	0	0	572005.0802
USA_FL_West.Palm.Beach.Intl.AP.722030_TMY3.epw	<1940	1	0	0	0	0	0	0	0	0	1315850.91
USA_GA_Athens-Ben.Epps.AP.723110_TMY3.epw	<1940	1	0	0	0	0	0	0	0	0	428179.681
USA_GA_Atlanta-Hartsfield-Jackson.Intl.AP.722190_TMY3.epw	<1940	1	0	0	0	0	0	0	0	0	2105819.912
USA_GA_Augusta-Bush-Field.722180_TMY3.epw	<1940	1	0	0	0	0	0	0	0	0	299295.1133
USA_GA_Columbus.Metro.AP.722255_TMY3.epw	<1940	1	0	0	0	0	0	0	0	0	328507.5935
USA_GA_Macon-Middle.Georgia.Rgnl.AP.722170_TMY3.epw	<1940	1	0	0	0	0	0	0	0	0	420425.7727
USA_GA_Savannah.Intl.AP.722070_TMY3.epw	<1940	1	0	0	0	0	0	0	0	0	372178.2909
USA_IA_Des.Moines.Intl.AP.725460_TMY3.epw	<1940	1	0	0	0	0	0	0	0	0	422079.2642
USA_IA_Mason.City.Muni.AP.725485_TMY3.epw	<1940	1	0	0	0	0	0	0	0	0	153387.7366
USA_IA_Sioux.City-Sioux.Gateway.AP.725570_TMY3.epw	<1940	1	0	0	0	0	0	0	0	0	114392.3734
USA_IA_Waterloo.Muni.AP.725480_TMY3.epw	<1940	1	0	0	0	0	0	0	0	0	290553.0119
USA_ID_Boise.Air.Terminal.726810_TMY3.epw	<1940	1	0	0	0	0	0	0	0	0	311523.6732
USA_ID_Pocatello.Muni.AP.725780_TMY3.epw	<1940	1	0	0	0	0	0	0	0	0	222651.1389
USA_IL_Chicago-OHare.Intl.AP.725300_TMY3.epw	<1940	1	0	0	0	0	0	0	0	0	3627870.613
USA_IL_Moline-Quad.City.Intl.AP.725440_TMY3.epw	<1940	1	0	0	0	0	0	0	0	0	416916.8254
USA_IL_Peoria-Greater.Peoria.AP.725320_TMY3.epw	<1940	1	0	0	0	0	0	0	0	0	428352.4351
USA_IL_Rockford-Greater.Rockford.AP.725430_TMY3.epw	<1940	1	0	0	0	0	0	0	0	0	378414.0223
USA_IL_Springfield-Capital.AP.724390_TMY3.epw	<1940	1	0	0	0	0	0	0	0	0	365628.7598
USA_IN_Evansville.Rgnl.AP.724320_TMY3.epw	<1940	1	0	0	0	0	0	0	0	0	624021.9414
USA_IN_Fort.Wayne.Intl.AP.725330_TMY3.epw	<1940	1	0	0	0	0	0	0	0	0	485560.6012
USA_IN_Indianapolis.Intl.AP.724380_TMY3.epw	<1940	1	0	0	0	0	0	0	0	0	1258827.337
USA_IN_South.Bend-Michiana.Rgnl.AP.725350_TMY3.epw	<1940	1	0	0	0	0	0	0	0	0	542913.0777
USA_KS_Dodge.City.Rgnl.AP.724510_TMY3.epw	<1940	1	0	0	0	0	0	0	0	0	128787.3239
USA_KS_Goodland-Renner.Field.724650_TMY3.epw	<1940	1	0	0	0	0	0	0	0	0	39580.044
USA_KS_Topeka-Phillip.Billard.Muni.AP.724560_TMY3.epw	<1940	1	0	0	0	0	0	0	0	0	299832.1458
