Dependency=Vintage ACS	Option=<1940	Option=1940-59s	Option=1960-79s	Option=1980-99s	Option=2000-09s	Option=2010s
<1940	1	0	0	0	0	0
1940s	0	1	0	0	0	0
1950s	0	1	0	0	0	0
1960s	0	0	1	0	0	0
1970s	0	0	1	0	0	0
1980s	0	0	0	1	0	0
1990s	0	0	0	1	0	0
2000s	0	0	0	0	1	0
2010s	0	0	0	0	0	1
