Dependency=Geometry Building Type	Dependency=Geometry Building Floors	Dependency=Geometry Number Units	Option=None	Option=2	Option=3	Option=4	Option=6	Option=8	Option=9	Option=10	Option=12	Option=15	Option=18	Option=20	Option=24	Option=30	Option=33	Option=40	Option=50	Option=51	Option=60	Option=70	Option=72	Option=99	Option=100	Option=141	Option=200	Count	Weight
Multi-Family with 2 - 4 Units	1	10 to 19 Units	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Multi-Family with 2 - 4 Units	1	20 to 49 Units	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Multi-Family with 2 - 4 Units	1	5 to 9 Units	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Multi-Family with 2 - 4 Units	1	50 or more	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Multi-Family with 2 - 4 Units	1	<5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Multi-Family with 2 - 4 Units	2	10 to 19 Units	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Multi-Family with 2 - 4 Units	2	20 to 49 Units	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Multi-Family with 2 - 4 Units	2	5 to 9 Units	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Multi-Family with 2 - 4 Units	2	50 or more	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Multi-Family with 2 - 4 Units	2	<5	0	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Multi-Family with 2 - 4 Units	3	10 to 19 Units	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Multi-Family with 2 - 4 Units	3	20 to 49 Units	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Multi-Family with 2 - 4 Units	3	5 to 9 Units	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Multi-Family with 2 - 4 Units	3	50 or more	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Multi-Family with 2 - 4 Units	3	<5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Multi-Family with 5+ Units	1	10 to 19 Units	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Multi-Family with 5+ Units	1	20 to 49 Units	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Multi-Family with 5+ Units	1	5 to 9 Units	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Multi-Family with 5+ Units	1	50 or more	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Multi-Family with 5+ Units	1	<5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Multi-Family with 5+ Units	2	10 to 19 Units	0	0	0	0	0	0	0	0.3	0.45	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215	2171189.32
Multi-Family with 5+ Units	2	20 to 49 Units	0	0	0	0	0	0	0	0	0	0	0	0.36	0.32	0.17	0	0.15	0	0	0	0	0	0	0	0	0	91	834300.4592
Multi-Family with 5+ Units	2	5 to 9 Units	0	0	0	0	0.3	0.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	399	3981383.297
Multi-Family with 5+ Units	2	50 or more	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0.2	0	0.1	0	0.2	0	0.2	34	364928.1717
Multi-Family with 5+ Units	2	<5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Multi-Family with 5+ Units	3	10 to 19 Units	0	0	0	0	0	0	0	0	0.8	0.11	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	1915426.45
Multi-Family with 5+ Units	3	20 to 49 Units	0	0	0	0	0	0	0	0	0	0	0	0	0.49	0	0.51	0	0	0	0	0	0	0	0	0	0	172	1604580.432
Multi-Family with 5+ Units	3	5 to 9 Units	0	0	0	0	0.8	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	1427735.029
Multi-Family with 5+ Units	3	50 or more	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22	0.2	0.13	0	0.3	0	0.15	0	90	913834.3333
Multi-Family with 5+ Units	3	<5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
