Dependency=Location EPW	Option=East North Central	Option=Middle Atlantic	Option=Mountain - Pacific	Option=New England	Option=South Atlantic - East South Central	Option=West North Central	Option=West South Central	Count	Weight
USA_AL_Birmingham.Muni.AP.722280_TMY3.epw	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1	494704.067486
USA_AL_Huntsville.Intl.AP-Jones.Field.723230_TMY3.epw	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1	405125.509263
USA_AL_Mobile-Rgnl.AP.722230_TMY3.epw	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1	542238.429725
USA_AL_Montgomery-Dannelly.Field.722260_TMY3.epw	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1	288899.483318
USA_AR_Fort.Smith.Rgnl.AP.723440_TMY3.epw	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1	251796.091549
USA_AR_Little.Rock-Adams.Field.723403_TMY3.epw	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1	444018.733926
USA_AZ_Flagstaff-Pulliam.AP.723755_TMY3.epw	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1	104470.294437
USA_AZ_Phoenix-Sky.Harbor.Intl.AP.722780_TMY3.epw	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1	1162538.61604
USA_AZ_Prescott-Love.Field.723723_TMY3.epw	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1	105809.703978
USA_AZ_Tucson.Intl.AP.722740_TMY3.epw	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1	326092.118159
USA_CA_Arcata.AP.725945_TMY3.epw	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1	123960.668712
USA_CA_Bakersfield-Meadows.Field.723840_TMY3.epw	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1	230011.126175
USA_CA_Barstow.Daggett.AP.723815_TMY3.epw	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1	457051.624574
USA_CA_Fresno.Air.Terminal.723890_TMY3.epw	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1	451045.418028
USA_CA_Long.Beach-Daugherty.Field.722970_TMY3.epw	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1	1770829.58159
USA_CA_Los.Angeles.Intl.AP.722950_TMY3.epw	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1	1140484.36504
USA_CA_Sacramento.Exec.AP.724830_TMY3.epw	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1	1257715.50701
USA_CA_San.Diego-Lindbergh.Field.722900_TMY3.epw	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1	781285.503565
USA_CA_San.Francisco.Intl.AP.724940_TMY3.epw	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1	1495638.77545
USA_CA_Santa.Maria.Public.AP.723940_TMY3.epw	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1	166393.909313
USA_CO_Alamosa.Muni.AP.724620_TMY3.epw	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1	89471.5556338
USA_CO_Boulder-Broomfield-Jefferson.County.AP.724699_TMY3.epw	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1	767919.155647
USA_CO_Colorado.Springs-Peterson.Field.724660_TMY3.epw	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1	304080.645747
USA_CO_Eagle.County.Rgnl.AP.724675_TMY3.epw	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1	75561.1347858
USA_CO_Grand.Junction-Walker.Field.724760_TMY3.epw	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1	93518.9035325
USA_CO_Pueblo.Mem.AP.724640_TMY3.epw	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1	71594.3653881
USA_CT_Bridgeport-Sikorsky.Mem.AP.725040_TMY3.epw	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1	893251.228418
USA_CT_Hartford-Bradley.Intl.AP.725080_TMY3.epw	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1	585406.416881
USA_DE_Wilmington-New.Castle.County.AP.724089_TMY3.epw	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1	352069.653977
USA_FL_Daytona.Beach.Intl.AP.722056_TMY3.epw	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1	369001.397109
USA_FL_Jacksonville.Intl.AP.722060_TMY3.epw	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1	514492.120618
USA_FL_Key.West.Intl.AP.722010_TMY3.epw	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1	18727.4594921
USA_FL_Miami.Intl.AP.722020_TMY3.epw	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1	860658.588993
USA_FL_Orlando.Intl.AP.722050_TMY3.epw	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1	2084805.2827
USA_FL_Tallahassee.Rgnl.AP.722140_TMY3.epw	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1	335737.136926
USA_FL_West.Palm.Beach.Intl.AP.722030_TMY3.epw	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1	658564.406092
USA_GA_Athens-Ben.Epps.AP.723110_TMY3.epw	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1	306034.041725
USA_GA_Atlanta-Hartsfield-Jackson.Intl.AP.722190_TMY3.epw	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1	1390666.445
USA_GA_Augusta-Bush-Field.722180_TMY3.epw	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1	193874.98615
USA_GA_Columbus.Metro.AP.722255_TMY3.epw	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1	211210.85849
USA_GA_Macon-Middle.Georgia.Rgnl.AP.722170_TMY3.epw	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1	274704.178772
USA_GA_Savannah.Intl.AP.722070_TMY3.epw	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1	224014.385722
USA_IA_Des.Moines.Intl.AP.725460_TMY3.epw	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1	297862.232182
USA_IA_Mason.City.Muni.AP.725485_TMY3.epw	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1	125887.297123
USA_IA_Sioux.City-Sioux.Gateway.AP.725570_TMY3.epw	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1	87237.1826435
USA_IA_Waterloo.Muni.AP.725480_TMY3.epw	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1	217039.869635
USA_ID_Boise.Air.Terminal.726810_TMY3.epw	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1	232676.118811
USA_ID_Pocatello.Muni.AP.725780_TMY3.epw	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1	158617.516935
USA_IL_Chicago-OHare.Intl.AP.725300_TMY3.epw	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1860815.30477
USA_IL_Moline-Quad.City.Intl.AP.725440_TMY3.epw	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1	299990.186844
USA_IL_Peoria-Greater.Peoria.AP.725320_TMY3.epw	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1	322250.96879
USA_IL_Rockford-Greater.Rockford.AP.725430_TMY3.epw	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1	274972.700681
USA_IL_Springfield-Capital.AP.724390_TMY3.epw	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1	264179.267001
USA_IN_Evansville.Rgnl.AP.724320_TMY3.epw	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1	456379.242562
USA_IN_Fort.Wayne.Intl.AP.725330_TMY3.epw	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1	371367.398879
USA_IN_Indianapolis.Intl.AP.724380_TMY3.epw	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1	880923.493779
USA_IN_South.Bend-Michiana.Rgnl.AP.725350_TMY3.epw	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1	419643.507709
USA_KS_Dodge.City.Rgnl.AP.724510_TMY3.epw	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1	97168.2861416
USA_KS_Goodland-Renner.Field.724650_TMY3.epw	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1	31419.4516746
USA_KS_Topeka-Phillip.Billard.Muni.AP.724560_TMY3.epw	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1	209634.71817
USA_KS_Wichita-Mid.Continent.AP.724500_TMY3.epw	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1	324111.269572
USA_KY_Cincinnati-Northern.Kentucky.AP.724210_TMY3.epw	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1	620089.088888
USA_KY_Lexington-Bluegrass.AP.724220_TMY3.epw	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1	348942.977104
USA_KY_Louisville-Standiford.Field.724230_TMY3.epw	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1	508454.104403
USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3.epw	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1	460424.865361
USA_LA_Lake.Charles.Rgnl.AP.722400_TMY3.epw	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1	144712.231694
USA_LA_New.Orleans.Intl.AP.722310_TMY3.epw	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1	484500.555634
