Dependency=Location EPW	Option=<1940	Option=1940s	Option=1950s	Option=1960s	Option=1970s	Option=1980s	Option=1990s	Option=2000s	Option=2010s	Total
USA_AL_Birmingham.Muni.AP.722280_TMY3.epw	0.071065057	0.057261442	0.104947197	0.119253171	0.17523966	0.145707154	0.1744705	0.149100914	0.002954904	718615.5032
USA_AL_Huntsville.Intl.AP-Jones.Field.723230_TMY3.epw	0.055774578	0.042383103	0.086133595	0.138211802	0.168163075	0.165717656	0.191406208	0.14810026	0.004109722	560362.5616
USA_AL_Mobile-Rgnl.AP.722230_TMY3.epw	0.035323584	0.034607424	0.082649391	0.10571438	0.177946119	0.166676601	0.18961014	0.203374673	0.004097687	813853.1705
USA_AL_Montgomery-Dannelly.Field.722260_TMY3.epw	0.058748044	0.045660212	0.085741903	0.119361836	0.186006631	0.157577135	0.190992668	0.151425412	0.004486159	429625.9272
USA_AR_Fort.Smith.Rgnl.AP.723440_TMY3.epw	0.064128388	0.045114998	0.072032896	0.112911588	0.19810262	0.170246912	0.181475883	0.151297099	0.004689617	351789.8623
USA_AR_Little.Rock-Adams.Field.723403_TMY3.epw	0.052223076	0.047109733	0.086841846	0.120956207	0.199897309	0.165642621	0.170028312	0.151819344	0.005481553	643952.2791
USA_AZ_Flagstaff-Pulliam.AP.723755_TMY3.epw	0.025993948	0.015663997	0.050807547	0.09694015	0.199969511	0.231006472	0.204627652	0.171661736	0.003328987	159063.4879
USA_AZ_Phoenix-Sky.Harbor.Intl.AP.722780_TMY3.epw	0.010876567	0.01536892	0.05650545	0.071602633	0.17513012	0.188346536	0.210310993	0.268829525	0.003029257	1806022.958
USA_AZ_Prescott-Love.Field.723723_TMY3.epw	0.028492447	0.012220416	0.034577142	0.056969555	0.171815923	0.217682895	0.241676356	0.234707515	0.001857752	159347.0742
USA_AZ_Tucson.Intl.AP.722740_TMY3.epw	0.029688103	0.031167223	0.083402726	0.08754407	0.206536807	0.175766363	0.182022986	0.200925124	0.002946598	541526.3515
USA_CA_Arcata.AP.725945_TMY3.epw	0.083348223	0.050199829	0.121469529	0.116557029	0.194962556	0.174267184	0.14479111	0.112412669	0.001991872	182752.1311
USA_CA_Bakersfield-Meadows.Field.723840_TMY3.epw	0.065605402	0.061881885	0.121187076	0.107234677	0.166810478	0.160468017	0.136450865	0.177295383	0.003066218	321702.4125
USA_CA_Barstow.Daggett.AP.723815_TMY3.epw	0.031891191	0.033326762	0.09772042	0.1103647	0.176754211	0.238808162	0.124434551	0.185054569	0.001645435	666873.9619
USA_CA_Fresno.Air.Terminal.723890_TMY3.epw	0.060003253	0.053779725	0.103721682	0.107997502	0.19016915	0.153689118	0.154031695	0.172873711	0.003734164	637167.1927
USA_CA_Long.Beach-Daugherty.Field.722970_TMY3.epw	0.06074909	0.063473617	0.179092347	0.159316241	0.187943454	0.152025438	0.096606265	0.098945935	0.001847611	2951871.708
USA_CA_Los.Angeles.Intl.AP.722950_TMY3.epw	0.159200551	0.100977623	0.168810882	0.150189721	0.147711848	0.126228803	0.07208848	0.072873914	0.001918179	2493298.723
USA_CA_Sacramento.Exec.AP.724830_TMY3.epw	0.057245787	0.046115731	0.102878156	0.107500157	0.192448297	0.171916697	0.145228112	0.174880251	0.001786812	1790891.037
USA_CA_San.Diego-Lindbergh.Field.722900_TMY3.epw	0.038288084	0.034840577	0.099704851	0.116262989	0.225955911	0.194409482	0.13513808	0.152989966	0.00241006	1461594.383
USA_CA_San.Francisco.Intl.AP.724940_TMY3.epw	0.15483064	0.076523037	0.145229505	0.150540644	0.181606232	0.121416314	0.08589325	0.082323717	0.001636661	2805576.074
USA_CA_Santa.Maria.Public.AP.723940_TMY3.epw	0.062436652	0.041042899	0.105660155	0.160476154	0.195518755	0.19103992	0.115068446	0.127042202	0.001714817	263828.7434
USA_CO_Alamosa.Muni.AP.724620_TMY3.epw	0.150716606	0.040292103	0.063229798	0.071242721	0.166820814	0.162322519	0.194035426	0.148064279	0.003275733	130976.556
USA_CO_Boulder-Broomfield-Jefferson.County.AP.724699_TMY3.epw	0.082760963	0.031633695	0.096052848	0.109997786	0.213035552	0.145283045	0.15263541	0.165565948	0.003034752	1294339.97
USA_CO_Colorado.Springs-Peterson.Field.724660_TMY3.epw	0.046325574	0.012865536	0.050729448	0.079865081	0.166346597	0.176223068	0.208834691	0.254316622	0.004493382	433876.2049
USA_CO_Eagle.County.Rgnl.AP.724675_TMY3.epw	0.064582252	0.014058835	0.036239309	0.067942689	0.230853823	0.184541636	0.240555714	0.159394638	0.001831105	150011.7246
USA_CO_Grand.Junction-Walker.Field.724760_TMY3.epw	0.093941139	0.038880907	0.066592997	0.065305927	0.206592085	0.143347692	0.182933528	0.19965774	0.002747984	132162.4594
USA_CO_Pueblo.Mem.AP.724640_TMY3.epw	0.202528272	0.069644194	0.128015635	0.098850999	0.159790515	0.074344217	0.13284847	0.132670435	0.001307263	94213.2465
USA_CT_Bridgeport-Sikorsky.Mem.AP.725040_TMY3.epw	0.174128081	0.062880006	0.159129409	0.164997804	0.160051012	0.121637387	0.083675112	0.071967168	0.001534021	1323820.282
USA_CT_Hartford-Bradley.Intl.AP.725080_TMY3.epw	0.249878429	0.072130456	0.155350384	0.128899452	0.134639958	0.124590275	0.071390503	0.061847084	0.001273459	981130.5502
USA_DE_Wilmington-New.Castle.County.AP.724089_TMY3.epw	0.145876604	0.056499292	0.117493475	0.110238754	0.131057196	0.131288529	0.152419832	0.151565607	0.00356071	566094.3047
USA_FL_Daytona.Beach.Intl.AP.722056_TMY3.epw	0.022519818	0.015320641	0.053654667	0.075697556	0.168914111	0.234581247	0.183226569	0.243252767	0.002832624	585421.1152
USA_FL_Jacksonville.Intl.AP.722060_TMY3.epw	0.040405464	0.039056896	0.08176971	0.091805146	0.145174832	0.187280326	0.189103294	0.222250863	0.003153469	857016.3479
USA_FL_Key.West.Intl.AP.722010_TMY3.epw	0.080494765	0.036212202	0.093705137	0.12616418	0.201071653	0.216659941	0.144535254	0.098460871	0.002695997	36350.18984
USA_FL_Miami.Intl.AP.722020_TMY3.epw	0.021335056	0.036642935	0.106752633	0.122011992	0.210429018	0.185164657	0.163457981	0.152634292	0.001571437	2047602.288
