Dependency=Geometry Foundation Type	Dependency=Vintage	Dependency=Geometry Building Type	"Option=10% Leakage, Uninsulated"	"Option=20% Leakage, Uninsulated"	"Option=30% Leakage, Uninsulated"	"Option=10% Leakage, R-4"	"Option=20% Leakage, R-4"	"Option=30% Leakage, R-4"	"Option=10% Leakage, R-6"	"Option=20% Leakage, R-6"	"Option=30% Leakage, R-6"	"Option=10% Leakage, R-8"	"Option=20% Leakage, R-8"	"Option=30% Leakage, R-8"	Option=In Finished Space
Pier & Beam	<1950	Single-Family Detached	0	0	0	0.26	0.47	0.27	0	0	0	0	0	0	0
Pier & Beam	1950s	Single-Family Detached	0	0	0	0.26	0.47	0.27	0	0	0	0	0	0	0
Pier & Beam	1960s	Single-Family Detached	0	0	0	0.26	0.47	0.27	0	0	0	0	0	0	0
Pier & Beam	1970s	Single-Family Detached	0	0	0	0.26	0.47	0.27	0	0	0	0	0	0	0
Pier & Beam	1980s	Single-Family Detached	0	0	0	0.26	0.47	0.27	0	0	0	0	0	0	0
Pier & Beam	1990s	Single-Family Detached	0	0	0	0.26	0.47	0.27	0	0	0	0	0	0	0
Pier & Beam	2000s	Single-Family Detached	0	0	0	0	0	0	0	0	0	0.26	0.47	0.27	0
Unheated Basement	<1950	Single-Family Detached	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0
Unheated Basement	1950s	Single-Family Detached	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0
Unheated Basement	1960s	Single-Family Detached	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0
Unheated Basement	1970s	Single-Family Detached	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0
Unheated Basement	1980s	Single-Family Detached	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0
Unheated Basement	1990s	Single-Family Detached	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0
Unheated Basement	2000s	Single-Family Detached	0	0	0	0	0	0	0.26	0.47	0.27	0	0	0	0
Heated Basement	<1950	Single-Family Detached	0	0	0	0	0	0	0	0	0	0	0	0	1
Heated Basement	1950s	Single-Family Detached	0	0	0	0	0	0	0	0	0	0	0	0	1
Heated Basement	1960s	Single-Family Detached	0	0	0	0	0	0	0	0	0	0	0	0	1
Heated Basement	1970s	Single-Family Detached	0	0	0	0	0	0	0	0	0	0	0	0	1
Heated Basement	1980s	Single-Family Detached	0	0	0	0	0	0	0	0	0	0	0	0	1
Heated Basement	1990s	Single-Family Detached	0	0	0	0	0	0	0	0	0	0	0	0	1
Heated Basement	2000s	Single-Family Detached	0	0	0	0	0	0	0	0	0	0	0	0	1
Crawl	<1950	Single-Family Detached	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0
Crawl	1950s	Single-Family Detached	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0
Crawl	1960s	Single-Family Detached	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0
