Dependency=Location Region	Dependency=Vintage	Dependency=Heating Fuel	Dependency=HVAC System Is Central	Option=No	Option=Yes	Count	Weight
CR02	<1950	Electricity	Both Shared	1	0	0	0
CR02	<1950	Electricity	Neither Shared	0.848828986	0.151171014	24	144978.322
CR02	<1950	Electricity	Only Cooling Shared	1	0	0	0
CR02	<1950	Electricity	Only Heating Shared	1	0	4	30758.90955
CR02	<1950	Fuel Oil	Both Shared	1	0	0	0
CR02	<1950	Fuel Oil	Neither Shared	1	0	14	89823.42602
CR02	<1950	Fuel Oil	Only Cooling Shared	1	0	0	0
CR02	<1950	Fuel Oil	Only Heating Shared	1	0	0	0
CR02	<1950	Natural Gas	Both Shared	1	0	1	5381.467147
CR02	<1950	Natural Gas	Neither Shared	0.981357377	0.018642623	115	728641.0725
CR02	<1950	Natural Gas	Only Cooling Shared	1	0	2	8464.973288
CR02	<1950	Natural Gas	Only Heating Shared	1	0	8	77578.9245
CR02	<1950	None	Both Shared	1	0	0	0
CR02	<1950	None	Neither Shared	1	0	0	0
CR02	<1950	None	Only Cooling Shared	1	0	0	0
CR02	<1950	None	Only Heating Shared	1	0	0	0
CR02	<1950	Other Fuel	Both Shared	1	0	0	0
CR02	<1950	Other Fuel	Neither Shared	1	0	16	127416.2619
CR02	<1950	Other Fuel	Only Cooling Shared	1	0	0	0
CR02	<1950	Other Fuel	Only Heating Shared	1	0	1	11025.58267
CR02	<1950	Propane	Both Shared	1	0	1	10253.67767
CR02	<1950	Propane	Neither Shared	0.93930132	0.06069868	23	177741.1741
CR02	<1950	Propane	Only Cooling Shared	1	0	0	0
CR02	<1950	Propane	Only Heating Shared	1	0	1	10379.46848
CR02	1950s	Electricity	Both Shared	1	0	1	7114.251497
CR02	1950s	Electricity	Neither Shared	0.856659417	0.143340583	10	57891.18994
CR02	1950s	Electricity	Only Cooling Shared	1	0	0	0
CR02	1950s	Electricity	Only Heating Shared	1	0	0	0
CR02	1950s	Fuel Oil	Both Shared	1	0	0	0
CR02	1950s	Fuel Oil	Neither Shared	1	0	9	71551.22055
CR02	1950s	Fuel Oil	Only Cooling Shared	1	0	0	0
CR02	1950s	Fuel Oil	Only Heating Shared	1	0	1	7464.501564
CR02	1950s	Natural Gas	Both Shared	1	0	2	25066.15268
CR02	1950s	Natural Gas	Neither Shared	0.981374851	0.018625149	81	510274.7357
CR02	1950s	Natural Gas	Only Cooling Shared	1	0	0	0
CR02	1950s	Natural Gas	Only Heating Shared	1	0	4	31711.59579
CR02	1950s	None	Both Shared	1	0	0	0
CR02	1950s	None	Neither Shared	1	0	0	0
CR02	1950s	None	Only Cooling Shared	1	0	0	0
CR02	1950s	None	Only Heating Shared	1	0	0	0
CR02	1950s	Other Fuel	Both Shared	1	0	0	0
CR02	1950s	Other Fuel	Neither Shared	1	0	1	10505.26849
CR02	1950s	Other Fuel	Only Cooling Shared	1	0	0	0
CR02	1950s	Other Fuel	Only Heating Shared	1	0	0	0
CR02	1950s	Propane	Both Shared	1	0	0	0
CR02	1950s	Propane	Neither Shared	1	0	9	66435.42553
CR02	1950s	Propane	Only Cooling Shared	1	0	0	0
CR02	1950s	Propane	Only Heating Shared	1	0	0	0
CR02	1960s	Electricity	Both Shared	1	0	0	0
CR02	1960s	Electricity	Neither Shared	0.845373563	0.154626437	11	70869.26311
CR02	1960s	Electricity	Only Cooling Shared	1	0	0	0
CR02	1960s	Electricity	Only Heating Shared	1	0	4	23906.45643
CR02	1960s	Fuel Oil	Both Shared	1	0	0	0
CR02	1960s	Fuel Oil	Neither Shared	1	0	4	33089.9291
CR02	1960s	Fuel Oil	Only Cooling Shared	1	0	0	0
CR02	1960s	Fuel Oil	Only Heating Shared	1	0	0	0
CR02	1960s	Natural Gas	Both Shared	1	0	0	0
CR02	1960s	Natural Gas	Neither Shared	1	0	62	405601.651
CR02	1960s	Natural Gas	Only Cooling Shared	1	0	1	8639.692398
CR02	1960s	Natural Gas	Only Heating Shared	1	0	9	54107.87747
CR02	1960s	None	Both Shared	1	0	0	0
CR02	1960s	None	Neither Shared	1	0	1	5675.987321
CR02	1960s	None	Only Cooling Shared	1	0	0	0
CR02	1960s	None	Only Heating Shared	1	0	0	0
CR02	1960s	Other Fuel	Both Shared	1	0	0	0
CR02	1960s	Other Fuel	Neither Shared	1	0	3	23909.61916
CR02	1960s	Other Fuel	Only Cooling Shared	1	0	0	0
CR02	1960s	Other Fuel	Only Heating Shared	1	0	0	0
CR02	1960s	Propane	Both Shared	1	0	0	0
CR02	1960s	Propane	Neither Shared	1	0	4	35164.87961
CR02	1960s	Propane	Only Cooling Shared	1	0	0	0
CR02	1960s	Propane	Only Heating Shared	1	0	0	0
CR02	1970s	Electricity	Both Shared	1	0	0	0
CR02	1970s	Electricity	Neither Shared	0.899328779	0.100671221	29	186514.2269
CR02	1970s	Electricity	Only Cooling Shared	1	0	2	11100.27053
CR02	1970s	Electricity	Only Heating Shared	1	0	5	30518.12464
CR02	1970s	Fuel Oil	Both Shared	1	0	0	0
CR02	1970s	Fuel Oil	Neither Shared	1	0	4	23089.46157
CR02	1970s	Fuel Oil	Only Cooling Shared	1	0	0	0
CR02	1970s	Fuel Oil	Only Heating Shared	1	0	1	5620.543436
CR02	1970s	Natural Gas	Both Shared	1	0	0	0
CR02	1970s	Natural Gas	Neither Shared	0.957590788	0.042409212	96	610178.0137
CR02	1970s	Natural Gas	Only Cooling Shared	1	0	0	0
CR02	1970s	Natural Gas	Only Heating Shared	1	0	10	69593.09808
CR02	1970s	None	Both Shared	1	0	0	0
CR02	1970s	None	Neither Shared	1	0	0	0
CR02	1970s	None	Only Cooling Shared	1	0	0	0
CR02	1970s	None	Only Heating Shared	1	0	0	0
CR02	1970s	Other Fuel	Both Shared	1	0	0	0
CR02	1970s	Other Fuel	Neither Shared	1	0	4	34181.63758
CR02	1970s	Other Fuel	Only Cooling Shared	1	0	0	0
CR02	1970s	Other Fuel	Only Heating Shared	1	0	0	0
CR02	1970s	Propane	Both Shared	1	0	0	0
CR02	1970s	Propane	Neither Shared	1	0	16	120005.1818
CR02	1970s	Propane	Only Cooling Shared	1	0	0	0
CR02	1970s	Propane	Only Heating Shared	1	0	1	8316.769082
CR02	1980s	Electricity	Both Shared	1	0	0	0
CR02	1980s	Electricity	Neither Shared	0.945858595	0.054141405	18	111085.0095
CR02	1980s	Electricity	Only Cooling Shared	1	0	0	0
CR02	1980s	Electricity	Only Heating Shared	1	0	1	10368.71261
CR02	1980s	Fuel Oil	Both Shared	1	0	0	0
CR02	1980s	Fuel Oil	Neither Shared	1	0	3	23959.9372
CR02	1980s	Fuel Oil	Only Cooling Shared	1	0	0	0
CR02	1980s	Fuel Oil	Only Heating Shared	1	0	0	0
CR02	1980s	Natural Gas	Both Shared	1	0	4	29628.08489
CR02	1980s	Natural Gas	Neither Shared	0.989948929	0.010051071	68	417268.2925
CR02	1980s	Natural Gas	Only Cooling Shared	1	0	0	0
CR02	1980s	Natural Gas	Only Heating Shared	1	0	8	52385.59506
CR02	1980s	None	Both Shared	1	0	0	0
CR02	1980s	None	Neither Shared	1	0	0	0
CR02	1980s	None	Only Cooling Shared	1	0	0	0
CR02	1980s	None	Only Heating Shared	1	0	0	0
CR02	1980s	Other Fuel	Both Shared	1	0	0	0
CR02	1980s	Other Fuel	Neither Shared	1	0	4	23014.72928
