Column Type,Import From Raw,Publish In Full,Data Type,Timeseries Publish In Full,Annual Name,Annual Units,Published Annual Name,Published Annual Name Sightglass,Published Annual Unit,ResStock To Published Annual Unit Conversion Factor,Timeseries Name,Timeseries Units,Published Timeseries Name,Published Timeseries Name Sightglass,Published Timeseries Unit,ResStock To Published Timeseries Unit Conversion Factor,Notes
Input,yes,yes,string,no,building_id,,bldg_id,bldg_id,,,,,,,,,The dwelling unit model ID number (between 1 and the number of samples).
Input,yes,yes,string,no,completed_status,,completed_status,,,,,,,,,,The simulation status.
Input,yes,yes,string,no,upgrade,,upgrade,upgrade,,,,,,,,,The upgrade number.
Input,yes,yes,string,no,apply_upgrade.upgrade_name,,in.upgrade_name,upgrade_name,,,,,,,,,User-specificed name that describes the upgrade.
Input,yes,yes,float,no,build_existing_model.sample_weight,,weight,weight,,1,,,,,,,Number of dwelling units this model represents in real life.
Calculated,yes,yes,boolean,no,,,applicability,applicability,,,,,,,,,Whether the upgrade is applicable to the dwelling unit model. Will be always True for baseline.
Output,yes,yes,float,no,upgrade_costs.floor_area_conditioned_ft_2,ft^2,in.sqft..ft2,in.sqft,ft2,1,,,,,,,"Floor Area, Conditioned"
Calculated,yes,yes,float,no,,,in.representative_income,in.representative_income,usd,,,,,,,,Income for this dwelling unit.
Calculated,yes,yes,string,no,,,in.county_name,in.county_name,,,,,,,,,County name
Calculated,yes,yes,string,no,,,in.american_housing_survey_region,in.american_housing_survey_region,,,,,,,,,American Housing Survey region where the dwelling unit is located.
Calculated,yes,yes,string,no,,,in.ashrae_iecc_climate_zone_2006,in.ashrae_iecc_climate_zone_2006,,,,,,,,,ASHRAE Standard 169 - 2006 Climate Zone.
Calculated,yes,yes,string,no,,,in.building_america_climate_zone,in.building_america_climate_zone,,,,,,,,,DOE Building America climate zone.
Calculated,yes,yes,string,no,,,in.cambium_grid_region,in.cambium_grid_region,,,,,,,,,Specifies Cambium grid region.
Calculated,yes,yes,string,no,,,in.cec_climate_zone,in.cec_climate_zone,,,,,,,,,Specifies the California Energy Commission climate zone. Only applicable inside California.
Calculated,yes,yes,string,no,,,in.census_division_name,in.census_division_name,,,,,,,,,Census division name.
Calculated,yes,yes,string,no,,,in.census_division_name_recs,in.census_division_name_recs,,,,,,,,,"Census division name as used in RECS 2015. RECS 2015 split the Mountain Census Division into north (CO, ID, MT, UT, WY) and south (AZ, NM, NV)."
Calculated,yes,yes,string,no,,,in.census_region_name,in.census_region_name,,,,,,,,,Census region name
Calculated,yes,yes,integer,no,,,in.cluster_id,in.cluster_id,,,,,,,,,The identifier for the geographic cluster ResStock uses to group together areas with similar building stocks.
Calculated,yes,yes,string,no,,,in.cluster_name,in.cluster_name,,,,,,,,,The name for the geographic cluster ResStock uses to group together areas with similar building stocks.
Calculated,yes,yes,integer,no,,,in.electric_utility_eia_code,in.electric_utility_eia_code,,,,,,,,,The EIA ID of the electric utility for this building.
Calculated,yes,yes,string,no,,,in.iso_rto_region,in.iso_rto_region,,,,,,,,,Electric system ISO/RTO region.
