,,,Interzonal Floor,Interzonal Floor,Interzonal Floor,Interzonal Floor,Interzonal Floor,,
Location,Location Name,Vintage,Uninsulated,R-13 Fiberglass Batt, Gr-1,R-19 Fiberglass Batt, Gr-1,R-30 Fiberglass Batt, Gr-1,R-38 Fiberglass Batt, Gr-1,Check Sum,Source
CR01,Alaska,pre-1950,1,0,0,0,0,1,Same as PierBeam worksheet
CR02,Upper Midwest,pre-1950,1,0,0,0,0,1,Same as PierBeam worksheet
CR03,Mountain North,pre-1950,1,0,0,0,0,1,Same as PierBeam worksheet
CR04,New England,pre-1950,1,0,0,0,0,1,Same as PierBeam worksheet
CR05,Great Lakes,pre-1950,1,0,0,0,0,1,Same as PierBeam worksheet
CR06,Pacific Northwest,pre-1950,1,0,0,0,0,1,Same as PierBeam worksheet
CR07,Mid Atlantic,pre-1950,1,0,0,0,0,1,Same as PierBeam worksheet
CR08,Zone 4A,pre-1950,1,0,0,0,0,1,Same as PierBeam worksheet
CR09,Southeast,pre-1950,1,0,0,0,0,1,Same as PierBeam worksheet
CR10,Southwest,pre-1950,1,0,0,0,0,1,Same as PierBeam worksheet
CR11,California,pre-1950,1,0,0,0,0,1,Same as PierBeam worksheet
CR12,Hawaii,pre-1950,1,0,0,0,0,1,Same as PierBeam worksheet
CR01,Alaska,1950s,1,0,0,0,0,1,Same as PierBeam worksheet
CR02,Upper Midwest,1950s,1,0,0,0,0,1,Same as PierBeam worksheet
CR03,Mountain North,1950s,1,0,0,0,0,1,Same as PierBeam worksheet
CR04,New England,1950s,1,0,0,0,0,1,Same as PierBeam worksheet
CR05,Great Lakes,1950s,1,0,0,0,0,1,Same as PierBeam worksheet
CR06,Pacific Northwest,1950s,1,0,0,0,0,1,Same as PierBeam worksheet
CR07,Mid Atlantic,1950s,1,0,0,0,0,1,Same as PierBeam worksheet
CR08,Zone 4A,1950s,1,0,0,0,0,1,Same as PierBeam worksheet
CR09,Southeast,1950s,1,0,0,0,0,1,Same as PierBeam worksheet
CR10,Southwest,1950s,1,0,0,0,0,1,Same as PierBeam worksheet
CR11,California,1950s,1,0,0,0,0,1,Same as PierBeam worksheet
CR12,Hawaii,1950s,1,0,0,0,0,1,Same as PierBeam worksheet
CR01,Alaska,1960s,1,0,0,0,0,1,Same as PierBeam worksheet
CR02,Upper Midwest,1960s,1,0,0,0,0,1,Same as PierBeam worksheet
CR03,Mountain North,1960s,1,0,0,0,0,1,Same as PierBeam worksheet
CR04,New England,1960s,1,0,0,0,0,1,Same as PierBeam worksheet
CR05,Great Lakes,1960s,1,0,0,0,0,1,Same as PierBeam worksheet
CR06,Pacific Northwest,1960s,1,0,0,0,0,1,Same as PierBeam worksheet
CR07,Mid Atlantic,1960s,1,0,0,0,0,1,Same as PierBeam worksheet
CR08,Zone 4A,1960s,1,0,0,0,0,1,Same as PierBeam worksheet
CR09,Southeast,1960s,1,0,0,0,0,1,Same as PierBeam worksheet
CR10,Southwest,1960s,1,0,0,0,0,1,Same as PierBeam worksheet
CR11,California,1960s,1,0,0,0,0,1,Same as PierBeam worksheet
CR12,Hawaii,1960s,1,0,0,0,0,1,Same as PierBeam worksheet
CR01,Alaska,1970s,1,0,0,0,0,1,Same as PierBeam worksheet
CR02,Upper Midwest,1970s,1,0,0,0,0,1,Same as PierBeam worksheet
CR03,Mountain North,1970s,1,0,0,0,0,1,Same as PierBeam worksheet
CR04,New England,1970s,1,0,0,0,0,1,Same as PierBeam worksheet
CR05,Great Lakes,1970s,1,0,0,0,0,1,Same as PierBeam worksheet
CR06,Pacific Northwest,1970s,1,0,0,0,0,1,Same as PierBeam worksheet
CR07,Mid Atlantic,1970s,1,0,0,0,0,1,Same as PierBeam worksheet
CR08,Zone 4A,1970s,1,0,0,0,0,1,Same as PierBeam worksheet
CR09,Southeast,1970s,1,0,0,0,0,1,Same as PierBeam worksheet
CR10,Southwest,1970s,1,0,0,0,0,1,Same as PierBeam worksheet
CR11,California,1970s,1,0,0,0,0,1,Same as PierBeam worksheet
CR12,Hawaii,1970s,1,0,0,0,0,1,Same as PierBeam worksheet
CR01,Alaska,1980s,0.231694220201373,0.171695475889143,0.596610303909485,0,0,1,Same as PierBeam worksheet
CR02,Upper Midwest,1980s,0.620364985587907,0.141082709654744,0.23855230475735,0,0,1,Same as PierBeam worksheet
CR03,Mountain North,1980s,0.769959146779153,6.27420398252439E-02,0.167298813395603,0,0,1,Same as PierBeam worksheet
CR04,New England,1980s,0.412169523661292,0.260818965822185,0.327011510516523,0,0,1,Same as PierBeam worksheet
CR05,Great Lakes,1980s,0.558987082538017,0.19785393563559,0.243158981826393,0,0,1,Same as PierBeam worksheet
