,,Ducts,Ducts,Ducts,Ducts,Ducts,Ducts,Ducts,Ducts,Ducts,Ducts,Ducts,Ducts,Ducts,,
Foundation Type,Vintage,10% Leakage, Uninsulated,20% Leakage, Uninsulated,30% Leakage, Uninsulated,10% Leakage, R-4,20% Leakage, R-4,30% Leakage, R-4,10% Leakage, R-6,20% Leakage, R-6,30% Leakage, R-6,10% Leakage, R-8,20% Leakage, R-8,30% Leakage, R-8,In Finished Space,Check Sum,Source
None,pre-1950,0,0,0,0.259,0.47,0.271,0,0,0,0,0,0,0,1,PNNL 2009 normal distribution; insul. values rom IECC
None,1950s,0,0,0,0.259,0.47,0.271,0,0,0,0,0,0,0,1,PNNL 2009 normal distribution; insul. values rom IECC
None,1960s,0,0,0,0.259,0.47,0.271,0,0,0,0,0,0,0,1,PNNL 2009 normal distribution; insul. values rom IECC
None,1970s,0,0,0,0.259,0.47,0.271,0,0,0,0,0,0,0,1,PNNL 2009 normal distribution; insul. values rom IECC
None,1980s,0,0,0,0.259,0.47,0.271,0,0,0,0,0,0,0,1,PNNL 2009 normal distribution; insul. values rom IECC
None,1990s,0,0,0,0.259,0.47,0.271,0,0,0,0,0,0,0,1,PNNL 2009 normal distribution; insul. values rom IECC
None,2000s,0,0,0,0,0,0,0,0,0,0.259,0.47,0.271,0,1,PNNL 2009 normal distribution; insul. values rom IECC
Unheated Basement,pre-1950,0.259,0.47,0.271,0,0,0,0,0,0,0,0,0,0,1,PNNL 2009 normal distribution; insul. values rom IECC
Unheated Basement,1950s,0.259,0.47,0.271,0,0,0,0,0,0,0,0,0,0,1,PNNL 2009 normal distribution; insul. values rom IECC
Unheated Basement,1960s,0.259,0.47,0.271,0,0,0,0,0,0,0,0,0,0,1,PNNL 2009 normal distribution; insul. values rom IECC
Unheated Basement,1970s,0.259,0.47,0.271,0,0,0,0,0,0,0,0,0,0,1,PNNL 2009 normal distribution; insul. values rom IECC
Unheated Basement,1980s,0.259,0.47,0.271,0,0,0,0,0,0,0,0,0,0,1,PNNL 2009 normal distribution; insul. values rom IECC
Unheated Basement,1990s,0.259,0.47,0.271,0,0,0,0,0,0,0,0,0,0,1,PNNL 2009 normal distribution; insul. values rom IECC
Unheated Basement,2000s,0,0,0,0,0,0,0.259,0.47,0.271,0,0,0,0,1,PNNL 2009 normal distribution; insul. values rom IECC
Heated Basement,pre-1950,0,0,0,0,0,0,0,0,0,0,0,0,1,1,PNNL 2009 normal distribution; insul. values rom IECC
Heated Basement,1950s,0,0,0,0,0,0,0,0,0,0,0,0,1,1,PNNL 2009 normal distribution; insul. values rom IECC
Heated Basement,1960s,0,0,0,0,0,0,0,0,0,0,0,0,1,1,PNNL 2009 normal distribution; insul. values rom IECC
Heated Basement,1970s,0,0,0,0,0,0,0,0,0,0,0,0,1,1,PNNL 2009 normal distribution; insul. values rom IECC
Heated Basement,1980s,0,0,0,0,0,0,0,0,0,0,0,0,1,1,PNNL 2009 normal distribution; insul. values rom IECC
Heated Basement,1990s,0,0,0,0,0,0,0,0,0,0,0,0,1,1,PNNL 2009 normal distribution; insul. values rom IECC
Heated Basement,2000s,0,0,0,0,0,0,0,0,0,0,0,0,1,1,PNNL 2009 normal distribution; insul. values rom IECC
Crawl,pre-1950,0.259,0.47,0.271,0,0,0,0,0,0,0,0,0,0,1,PNNL 2009 normal distribution; insul. values rom IECC
Crawl,1950s,0.259,0.47,0.271,0,0,0,0,0,0,0,0,0,0,1,PNNL 2009 normal distribution; insul. values rom IECC
Crawl,1960s,0.259,0.47,0.271,0,0,0,0,0,0,0,0,0,0,1,PNNL 2009 normal distribution; insul. values rom IECC
Crawl,1970s,0.259,0.47,0.271,0,0,0,0,0,0,0,0,0,0,1,PNNL 2009 normal distribution; insul. values rom IECC
