,,,Slab,Slab,Slab,Slab,Slab,,
CR07,Mid Atlantic,1970s,1,0,0,0,0,1,Engineering judgment
CR08,Zone 4A,1970s,1,0,0,0,0,1,Engineering judgment
CR09,Southeast,1970s,1,0,0,0,0,1,Engineering judgment
CR10,Southwest,1970s,1,0,0,0,0,1,Engineering judgment
CR11,California,1970s,1,0,0,0,0,1,Engineering judgment
CR12,Hawaii,1970s,1,0,0,0,0,1,Engineering judgment
CR01,Alaska,1980s,0.255830609321629,0.139383700003673,0.604785690674698,0,0,1,1988 NAHB survey
CR02,Upper Midwest,1980s,0.839043383115684,0.073039375897006,8.79172409873105E-02,0,0,1,1988 NAHB survey
CR03,Mountain North,1980s,0.83183454578535,0.109421930319055,5.87435238955949E-02,0,0,1,1988 NAHB survey
CR04,New England,1980s,1,0,0,0,0,1,1988 NAHB survey
CR05,Great Lakes,1980s,0.255830609321629,0.139383700003673,0.604785690674698,0,0,1,1988 NAHB survey
CR06,Pacific Northwest,1980s,1,0,0,0,0,1,1988 NAHB survey
CR07,Mid Atlantic,1980s,0.445450478487513,0.458317124406753,9.62323971057341E-02,0,0,1,1988 NAHB survey
CR08,Zone 4A,1980s,0.910975008685956,8.90249913140438E-02,0,0,0,1,1988 NAHB survey
CR09,Southeast,1980s,0.858003019193444,0.141996980806556,0,0,0,1,1988 NAHB survey
CR10,Southwest,1980s,0.84044602856461,0.15955397143539,0,0,0,1,1988 NAHB survey
CR11,California,1980s,1,0,0,0,0,1,1988 NAHB survey
CR12,Hawaii,1980s,1,0,0,0,0,1,1988 NAHB survey
CR01,Alaska,1990s,2.99999999999999E-02,0.39,0.18,0.05,0.35,1,1999 HIRL
CR02,Upper Midwest,1990s,2.99999999999999E-02,0.39,0.18,0.05,0.35,1,1999 HIRL
CR03,Mountain North,1990s,0.03,0.39,0.01,0,0.57,1,1999 HIRL
CR04,New England,1990s,0.07,0.34,0.32,0.02,0.25,1,1999 HIRL
CR05,Great Lakes,1990s,0.02,0.17,0.23,0.22,0.36,1,1999 HIRL
CR06,Pacific Northwest,1990s,0.01,0,0.28,0,0.71,1,1999 HIRL
CR07,Mid Atlantic,1990s,9.9999999999999E-03,0.12,0.08,0.65,0.14,1,1999 HIRL
CR08,Zone 4A,1990s,2.99999999999999E-02,0.05,0.31,0.46,0.15,1,1999 HIRL
CR09,Southeast,1990s,0.63,0.14,0.12,0.06,0.05,1,1999 HIRL
CR10,Southwest,1990s,0.87,0.01,0.01,0.08,0.03,1,1999 HIRL
CR11,California,1990s,0.54,0.31,0.03,0.05,0.07,1,1999 HIRL
CR12,Hawaii,1990s,1,0,0,0,0,1,1999 HIRL
CR01,Alaska,2000s,1.06353968494408E-02,4.50856884762552E-02,0.040004225972397,0.187782613158006,0.716492075543901,1,2007 HIRL
CR02,Upper Midwest,2000s,1.06353968494408E-02,4.50856884762552E-02,0.040004225972397,0.187782613158006,0.716492075543901,1,2007 HIRL
CR03,Mountain North,2000s,5.74377479369625E-03,1.73562029888236E-02,0.14164422236437,3.19995896749616E-03,0.832055840885614,1,2007 HIRL
CR04,New England,2000s,0.0496824321252,0,0.496972331849,0,0.453345236026,1.0000000000002,2007 HIRL
CR05,Great Lakes,2000s,5.75929230426353E-03,3.74150832230665E-02,0.136286204957322,0.197999001379004,0.622540418136344,1,2007 HIRL
CR06,Pacific Northwest,2000s,5.94432461475303E-03,0,0.292655790986406,0,0.701399884398841,1,2007 HIRL
CR07,Mid Atlantic,2000s,5.21501970696736E-03,0.507768073560676,3.41581091853597E-02,0.03282227455583,0.420036522991167,1,2007 HIRL
CR08,Zone 4A,2000s,0.106667392090358,0.268127598744135,2.97434968162782E-02,0.383873073935022,0.211588438414207,1,2007 HIRL
CR09,Southeast,2000s,0.665666769136946,1.75231679936943E-02,0.18184156775348,5.80786881729655E-02,7.68898069429137E-02,1,2007 HIRL
CR10,Southwest,2000s,0.692820000000001,0.101505644080052,7.21182222355936E-02,5.91875875641488E-02,7.43685461202048E-02,1,2007 HIRL
CR11,California,2000s,0.744030000000001,0.133718471430577,1.02272728385161E-02,0.106994932743763,5.0293229871432E-03,1,2007 HIRL
CR12,Hawaii,2000s,1,0,0,0,0,1,2007 HIRL
