,,,Interzonal Walls,Interzonal Walls,Interzonal Walls,Interzonal Walls,,
Location,Location Name,Vintage,Uninsulated, 2x4, 16 in o.c.,R-7 Fiberglass Batt, Gr-1, 2x4, 16 in o.c.,R-13 Fiberglass Batt, Gr-1, 2x4, 16 in o.c.,R-19 Fiberglass Batt, Gr-1, 2x6, 24 in o.c.,Check Sum,Source
CR01,Alaska,1950s,1,0,0,0,1,Same as Walls worksheet
CR01,Alaska,1960s,1,0,0,0,1,Same as Walls worksheet
CR01,Alaska,1970s,0.497513436117216,0.502486563882784,0,0,1,Same as Walls worksheet
CR01,Alaska,1980s,1.47125364435124E-02,1.96856642090806E-02,0.900881249273058,6.47205500743486E-02,1,Same as Walls worksheet
CR01,Alaska,1990s,1.47125364435124E-02,1.96856642090806E-02,0.900881249273058,6.47205500743486E-02,1,Same as Walls worksheet
CR01,Alaska,2000s,1.47125364435124E-02,1.96856642090806E-02,0.900881249273058,6.47205500743486E-02,1,Same as Walls worksheet
CR01,Alaska,pre-1950,1,0,0,0,1,Same as Walls worksheet
CR02,Upper Midwest,1950s,1,0,0,0,1,Same as Walls worksheet
CR02,Upper Midwest,1960s,1,0,0,0,1,Same as Walls worksheet
CR02,Upper Midwest,1970s,0.502080473442404,0.497919526557596,0,0,1,Same as Walls worksheet
CR02,Upper Midwest,1980s,1.06169888362183E-02,6.45604195140987E-03,0.746741771659357,0.236185197553014,1,Same as Walls worksheet
CR02,Upper Midwest,1990s,1.06169888362183E-02,6.45604195140987E-03,0.746741771659357,0.236185197553014,1,Same as Walls worksheet
CR02,Upper Midwest,2000s,1.06169888362183E-02,6.45604195140987E-03,0.746741771659357,0.236185197553014,1,Same as Walls worksheet
CR02,Upper Midwest,pre-1950,1,0,0,0,1,Same as Walls worksheet
CR03,Mountain North,1950s,1,0,0,0,1,Same as Walls worksheet
CR03,Mountain North,1960s,1,0,0,0,1,Same as Walls worksheet
CR03,Mountain North,1970s,0.478,0.522,0,0,1,Same as Walls worksheet
CR03,Mountain North,1980s,0.021,0.065,0.834,0.08,1,Same as Walls worksheet
CR03,Mountain North,1990s,0.021,0.065,0.834,0.08,1,Same as Walls worksheet
CR03,Mountain North,2000s,0.021,0.065,0.834,0.08,1,Same as Walls worksheet
CR03,Mountain North,pre-1950,1,0,0,0,1,Same as Walls worksheet
CR04,New England,1950s,1,0,0,0,1,Same as Walls worksheet
CR04,New England,1960s,1,0,0,0,1,Same as Walls worksheet
CR04,New England,1970s,0.496207352909068,0.503792647090932,0,0,1,Same as Walls worksheet
CR04,New England,1980s,8.00896959956938E-03,1.55942637814325E-02,0.571311812327664,0.405084954291334,1,Same as Walls worksheet
CR04,New England,1990s,8.00896959956938E-03,1.55942637814325E-02,0.571311812327664,0.405084954291334,1,Same as Walls worksheet
CR04,New England,2000s,8.00896959956938E-03,1.55942637814325E-02,0.571311812327664,0.405084954291334,1,Same as Walls worksheet
CR04,New England,pre-1950,1,0,0,0,1,Same as Walls worksheet
CR05,Great Lakes,1950s,1,0,0,0,1,Same as Walls worksheet
CR05,Great Lakes,1960s,1,0,0,0,1,Same as Walls worksheet
CR05,Great Lakes,1970s,0.500861092141852,0.499138907858148,0,0,1,Same as Walls worksheet
CR05,Great Lakes,1980s,6.73709148122452E-03,5.01490719751949E-03,0.821451852872082,0.166796148449174,1,Same as Walls worksheet
CR05,Great Lakes,1990s,6.73709148122452E-03,5.01490719751949E-03,0.821451852872082,0.166796148449174,1,Same as Walls worksheet
CR05,Great Lakes,2000s,6.73709148122452E-03,5.01490719751949E-03,0.821451852872082,0.166796148449174,1,Same as Walls worksheet
CR05,Great Lakes,pre-1950,1,0,0,0,1,Same as Walls worksheet
CR06,Pacific Northwest,1950s,1,0,0,0,1,Same as Walls worksheet
CR06,Pacific Northwest,1960s,1,0,0,0,1,Same as Walls worksheet
CR06,Pacific Northwest,1970s,0.497513436117216,0.502486563882784,0,0,1,Same as Walls worksheet
CR06,Pacific Northwest,1980s,1.47125364435124E-02,1.96856642090806E-02,0.900881249273058,6.47205500743486E-02,1,Same as Walls worksheet
CR06,Pacific Northwest,1990s,1.47125364435124E-02,1.96856642090806E-02,0.900881249273058,6.47205500743486E-02,1,Same as Walls worksheet
CR06,Pacific Northwest,2000s,1.47125364435124E-02,1.96856642090806E-02,0.900881249273058,6.47205500743486E-02,1,Same as Walls worksheet
CR06,Pacific Northwest,pre-1950,1,0,0,0,1,Same as Walls worksheet
CR07,Mid Atlantic,1950s,1,0,0,0,1,Same as Walls worksheet
CR07,Mid Atlantic,1960s,1,0,0,0,1,Same as Walls worksheet
CR07,Mid Atlantic,1970s,0.506019811214537,0.493980188785463,0,0,1,Same as Walls worksheet
CR07,Mid Atlantic,1980s,1.60943516893688E-02,4.05472926029492E-03,0.839675836128797,0.140175082921539,1,Same as Walls worksheet
CR07,Mid Atlantic,1990s,1.60943516893688E-02,4.05472926029492E-03,0.839675836128797,0.140175082921539,1,Same as Walls worksheet
CR07,Mid Atlantic,2000s,1.60943516893688E-02,4.05472926029492E-03,0.839675836128797,0.140175082921539,1,Same as Walls worksheet
CR07,Mid Atlantic,pre-1950,1,0,0,0,1,Same as Walls worksheet
CR08,Zone 4A,1950s,1,0,0,0,1,Same as Walls worksheet
CR08,Zone 4A,1960s,1,0,0,0,1,Same as Walls worksheet
CR08,Zone 4A,1970s,0.506019811214537,0.493980188785463,0,0,1,Same as Walls worksheet
CR08,Zone 4A,1980s,1.60943516893688E-02,4.05472926029492E-03,0.839675836128797,0.140175082921539,1,Same as Walls worksheet
CR08,Zone 4A,1990s,1.60943516893688E-02,4.05472926029492E-03,0.839675836128797,0.140175082921539,1,Same as Walls worksheet
CR08,Zone 4A,2000s,1.60943516893688E-02,4.05472926029492E-03,0.839675836128797,0.140175082921539,1,Same as Walls worksheet
CR08,Zone 4A,pre-1950,1,0,0,0,1,Same as Walls worksheet
CR09,Southeast,1950s,1,0,0,0,1,Same as Walls worksheet
CR09,Southeast,1960s,1,0,0,0,1,Same as Walls worksheet
CR09,Southeast,1970s,0.511598931336874,0.488401068663126,0,0,1,Same as Walls worksheet
CR09,Southeast,1980s,3.76350475156882E-02,1.44371848419409E-02,0.897510723054834,5.04170445875372E-02,1,Same as Walls worksheet
CR09,Southeast,1990s,3.76350475156882E-02,1.44371848419409E-02,0.897510723054834,5.04170445875372E-02,1,Same as Walls worksheet
CR09,Southeast,2000s,3.76350475156882E-02,1.44371848419409E-02,0.897510723054834,5.04170445875372E-02,1,Same as Walls worksheet
CR09,Southeast,pre-1950,1,0,0,0,1,Same as Walls worksheet
CR10,Southwest,1950s,1,0,0,0,1,Same as Walls worksheet
CR10,Southwest,1960s,1,0,0,0,1,Same as Walls worksheet
CR10,Southwest,1970s,0.477860141824213,0.522139858175787,0,0,1,Same as Walls worksheet
CR10,Southwest,1980s,2.10693889952121E-02,6.53491053467857E-02,0.833484041891076,8.00974637669262E-02,1,Same as Walls worksheet
CR10,Southwest,1990s,2.10693889952121E-02,6.53491053467857E-02,0.833484041891076,8.00974637669262E-02,1,Same as Walls worksheet
CR10,Southwest,2000s,2.10693889952121E-02,6.53491053467857E-02,0.833484041891076,8.00974637669262E-02,1,Same as Walls worksheet
CR10,Southwest,pre-1950,1,0,0,0,1,Same as Walls worksheet
CR11,California,1950s,1,0,0,0,1,Same as Walls worksheet
CR11,California,1960s,1,0,0,0,1,Same as Walls worksheet
CR11,California,1970s,0.497513436117216,0.502486563882784,0,0,1,Same as Walls worksheet
CR11,California,1980s,1.47125364435124E-02,1.96856642090806E-02,0.900881249273058,6.47205500743486E-02,1,Same as Walls worksheet
CR11,California,1990s,1.47125364435124E-02,1.96856642090806E-02,0.900881249273058,6.47205500743486E-02,1,Same as Walls worksheet
CR11,California,2000s,1.47125364435124E-02,1.96856642090806E-02,0.900881249273058,6.47205500743486E-02,1,Same as Walls worksheet
CR11,California,pre-1950,1,0,0,0,1,Same as Walls worksheet
CR12,Hawaii,1950s,1,0,0,0,1,Same as Walls worksheet
CR12,Hawaii,1960s,1,0,0,0,1,Same as Walls worksheet
CR12,Hawaii,1970s,0.497513436117216,0.502486563882784,0,0,1,Same as Walls worksheet
CR12,Hawaii,1980s,1.47125364435124E-02,1.96856642090806E-02,0.900881249273058,6.47205500743486E-02,1,Same as Walls worksheet
CR12,Hawaii,1990s,1.47125364435124E-02,1.96856642090806E-02,0.900881249273058,6.47205500743486E-02,1,Same as Walls worksheet
CR12,Hawaii,2000s,1.47125364435124E-02,1.96856642090806E-02,0.900881249273058,6.47205500743486E-02,1,Same as Walls worksheet
CR12,Hawaii,pre-1950,1,0,0,0,1,Same as Walls worksheet
