Building,Location Weather Year,Usage Level,Geometry Single Unit Level,Geometry Single Unit Horizontal Location,Geometry Single Unit Has Rear Units,Geometry Building Type FPL,Location,Location Region,Location Weather Filename,Vintage FPL,Vintage,Heating Fuel,Geometry Building Type,Geometry Building Number Units HL,Geometry Foundation Type,Geometry House Size,Geometry Building Floors,Geometry Building Number Units MF,Geometry Building Number Units SFA,Geometry Garage,Geometry Unit Stories SF,Geometry Unit Stories MF,Geometry Is Multifamily Low Rise,Geometry Shared Walls SFA,Geometry Shared Walls MF,Geometry Nearest Neighbor LeftRight,Occupants,Orientation,Eaves,Door Area,Window Areas,Overhangs,Insulation Unfinished Attic,Insulation Finished Roof,Roof Material,Insulation Slab,Insulation Crawlspace,Insulation Unfinished Basement,Insulation Finished Basement,Insulation Pier Beam,Insulation Interzonal Floor,Insulation Wall,Windows,Doors,Water Heater,Hot Water Fixtures,Hot Water Distribution,Solar Hot Water,HVAC System Is Shared,HVAC System Is Heatpump,HVAC System Heatpump,HVAC System Heating Electricity,HVAC System Heating Natural Gas,HVAC System Heating Propane,HVAC System Heating Fuel Oil,HVAC System Heating Other Fuel,HVAC System Heating None,HVAC System Cooling,HVAC System Cooling Type,HVAC System Shared,Heating Setpoint,Cooling Setpoint,Ceiling Fan,Dehumidifier,Refrigerator,Cooking Range,Dishwasher,Clothes Washer,Clothes Dryer,Lighting,Plug Loads,Misc Extra Refrigerator,Misc Freezer,Misc Gas Fireplace,Misc Gas Grill,Misc Gas Lighting,Misc Hot Tub Spa,Misc Pool,Misc Well Pump,Ducts,Infiltration,Natural Ventilation,Mechanical Ventilation,Bathroom Spot Vent Hour,Range Spot Vent Hour,PV,Days Shifted,Geometry Perimeter Footprint Ratio
1,TMY3,High,Top,Right,TRUE,10 to 19 Unit,VA_Sterling-Washington.Dulles.Intl.AP.724030,CR08,USA_VA_Sterling-Washington.Dulles.Intl.AP.724030_TMY3.epw,1980-99s,1980s,Natural Gas,Multi-Family with 5+ Units,10 to 19 Units low,Unheated Basement,0-1499,3,12,None,None,N/a,1,True,Left,None,4,Auto,Northeast,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-30, Vented",R-30,"Asphalt Shingles, Medium",None,None,Ceiling R-19,None,None,R-19,"Wood Stud, R-11",2+ Pane,Fiberglass,Gas Standard,200%,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,No,None,None,"Gas Furnace, 80% AFUE",None,None,None,None,"AC, SEER 10",Central,None,68F,73F,National Average,None,EF 15.9,"Electric, 120% Usage","290 Rated kWh, 120% Usage","EnergyStar, 120% Usage","Electric, 120% Usage",100% Incandescent,200%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour21,Hour16,None,Day22,0.13
2,TMY3,Medium,Top,Right,TRUE,10 to 19 Unit,NC_Charlotte-Douglas.Intl.AP.723140,CR09,USA_NC_Charlotte-Douglas.Intl.AP.723140_TMY3.epw,1980-99s,1990s,Electricity,Multi-Family with 5+ Units,10 to 19 Units low,Crawl,0-1499,2,12,None,None,N/a,1,True,LeftRight,None,27,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-30, Vented",R-30,"Asphalt Shingles, Medium",None,"Ceiling R-19, Vented",None,None,None,R-19,"Wood Stud, R-11",1 Pane,Fiberglass,Electric Standard,100%,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,Yes,"ASHP, SEER 10, 6.2 HSPF",None,None,None,None,None,None,None,None,Fan coil with chiller/Boiler,69F,74F,National Average,None,EF 15.9,"Electric, 100% Usage","290 Rated kWh, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage",100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, Uninsulated",10 ACH50,"Year-Round, 3 days/wk",None,Hour22,Hour17,None,Day28,0.13
3,TMY3,Medium,Top,Right,TRUE,10 to 19 Unit,AZ_Tucson.Intl.AP.722740,CR10,USA_AZ_Tucson.Intl.AP.722740_TMY3.epw,1980-99s,1990s,Electricity,Multi-Family with 5+ Units,10 to 19 Units low,Slab,0-1499,3,12,None,None,N/a,1,True,Left,None,12,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-30, Vented",Uninsulated,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"Wood Stud, R-11",1 Pane,Fiberglass,Electric Standard,100%,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,Yes,"ASHP, SEER 13, 7.7 HSPF",None,None,None,None,None,None,None,None,Fan coil with chiller/Boiler,69F,75F,National Average,None,EF 15.9,"Electric, 100% Usage","290 Rated kWh, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage",100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, R-4",10 ACH50,"Year-Round, 3 days/wk",None,Hour3,Hour18,None,Day81,0.13
4,TMY3,High,Top,Right,TRUE,10 to 19 Unit,IL_Chicago-OHare.Intl.AP.725300,CR04,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3.epw,1960-79s,1960s,Natural Gas,Multi-Family with 5+ Units,10 to 19 Units low,Unheated Basement,0-1499,2,12,None,None,N/a,1,True,Left,None,12,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-38, Vented",R-30,"Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, Uninsulated",1 Pane,Fiberglass,Electric Standard,200%,"Uninsulated, TrunkBranch, Copper",None,Only Cooling Shared,No,None,None,"Gas Furnace, 80% AFUE",None,None,None,None,None,Central,None,68F,73F,National Average,None,EF 15.9,"Gas, 120% Usage","318 Rated kWh, 120% Usage","EnergyStar, 120% Usage","Electric, 120% Usage",100% Incandescent,200%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour1,Hour11,None,Day79,0.13
5,TMY3,Low,Top,Right,TRUE,10 to 19 Unit,OR_Portland.Intl.AP.726980,CR06,USA_OR_Portland.Intl.AP.726980_TMY3.epw,1980-99s,1990s,Electricity,Multi-Family with 5+ Units,10 to 19 Units low,Crawl,0-1499,3,15,None,None,N/a,1,True,LeftRight,None,27,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-38, Vented",R-30,"Asphalt Shingles, Medium",None,"Ceiling R-19, Vented",None,None,None,Uninsulated,"Wood Stud, R-11",2+ Pane,Fiberglass,Electric Standard,50%,"Uninsulated, TrunkBranch, Copper",None,Both Shared,No,None,None,None,None,None,None,None,None,Central,None,68F,72F,National Average,None,EF 10.2,"Electric, 80% Usage","290 Rated kWh, 80% Usage","Standard, 80% Usage","Electric, 80% Usage",100% Incandescent,50%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, Uninsulated",10 ACH50,"Year-Round, 3 days/wk",None,Hour13,Hour19,None,Day31,0.13
6,TMY3,Medium,Top,Right,TRUE,10 to 19 Unit,OK_Oklahoma.City-Will.Rogers.World.AP.723530,CR09,USA_OK_Oklahoma.City-Will.Rogers.World.AP.723530_TMY3.epw,1980-99s,1980s,Electricity,Multi-Family with 5+ Units,10 to 19 Units low,Slab,0-1499,2,16,None,None,N/a,1,True,LeftRight,None,7,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-30, Vented",Uninsulated,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,R-19,"Wood Stud, R-11",1 Pane,Fiberglass,Electric Standard,100%,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,No,None,Electric Furnace,None,None,None,None,None,"AC, SEER 10",Central,None,69F,74F,National Average,None,EF 10.5,"Electric, 100% Usage","318 Rated kWh, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage",100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, R-4",15 ACH50,"Year-Round, 3 days/wk",None,Hour0,Hour9,None,Day46,0.13
7,TMY3,Medium,Top,Right,TRUE,10 to 19 Unit,PA_Allentown-Lehigh.Valley.Intl.AP.725170,CR07,USA_PA_Allentown-Lehigh.Valley.Intl.AP.725170_TMY3.epw,1960-79s,1970s,Electricity,Multi-Family with 5+ Units,10 to 19 Units low,Unheated Basement,0-1499,3,12,None,None,N/a,1,True,Left,None,4,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-19, Vented",R-30,"Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, R-7",1 Pane,Fiberglass,Electric Standard,100%,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,No,None,Electric Baseboard,None,None,None,None,None,"AC, SEER 10",Central,None,68F,73F,National Average,None,EF 6.7,"Electric, 100% Usage","290 Rated kWh, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage",100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour21,Hour10,None,Day80,0.13
8,TMY3,Medium,Top,Right,TRUE,10 to 19 Unit,TN_Nashville.Intl.AP.723270,CR08,USA_TN_Nashville.Intl.AP.723270_TMY3.epw,1980-99s,1990s,Electricity,Multi-Family with 5+ Units,10 to 19 Units low,Crawl,0-1499,2,12,None,None,N/a,1,True,LeftRight,None,7,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-30, Vented",R-30,"Asphalt Shingles, Medium",None,"Ceiling R-19, Vented",None,None,None,Uninsulated,"Wood Stud, R-15",1 Pane,Fiberglass,Electric Standard,100%,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,No,None,Electric Baseboard,None,None,None,None,None,"AC, SEER 10",Central,None,69F,74F,National Average,None,EF 15.9,"Electric, 100% Usage","290 Rated kWh, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage",100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"10% Leakage, Uninsulated",10 ACH50,"Year-Round, 3 days/wk",None,Hour4,Hour7,None,Day48,0.13
9,TMY3,Low,Top,Right,TRUE,10 to 19 Unit,LA_Baton.Rouge-Ryan.AP.722317,CR09,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3.epw,1980-99s,1980s,Electricity,Multi-Family with 5+ Units,10 to 19 Units low,Slab,0-1499,2,12,None,None,N/a,1,True,Left,Left,27,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-13, Vented",Uninsulated,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,R-13,"Wood Stud, R-11",1 Pane,Fiberglass,Electric Standard,50%,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,No,None,Electric Furnace,None,None,None,None,None,"AC, SEER 10",Central,None,69F,75F,National Average,None,EF 10.5,"Electric, 80% Usage","290 Rated kWh, 80% Usage","EnergyStar, 80% Usage","Electric, 80% Usage",100% Incandescent,50%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"10% Leakage, R-4",15 ACH50,"Year-Round, 3 days/wk",None,Hour0,Hour18,None,Day94,0.13
10,TMY3,Medium,Top,Right,TRUE,10 to 19 Unit,CT_Bridgeport-Sikorsky.Mem.AP.725040,CR03,USA_CT_Bridgeport-Sikorsky.Mem.AP.725040_TMY3.epw,1960-79s,1960s,Natural Gas,Multi-Family with 5+ Units,10 to 19 Units low,Unheated Basement,0-1499,2,16,None,None,N/a,1,True,Left,None,27,Auto,East,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-19, Vented",Uninsulated,"Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, Uninsulated",1 Pane,Fiberglass,Gas Standard,100%,"Uninsulated, TrunkBranch, Copper",None,Only Heating Shared,No,None,None,None,None,None,None,None,None,None,PTACs with boiler HW,68F,73F,National Average,None,EF 15.9,"Gas, 100% Usage","290 Rated kWh, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage",100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour21,Hour17,None,Day76,0.13
