Parameter Name	Option Name	Measure Dir	Measure Arg 1	Measure Arg 2	...																								
Location Region	CR02																												
Location Region	CR03																												
Location Region	CR04																												
Location Region	CR05																												
Location Region	CR06																												
Location Region	CR07																												
Location Region	CR08																												
Location Region	CR09																												
Location Region	CR10																												
Location Region	CR11																												
Location Heating Region	H1																												
Location Heating Region	H2																												
Location Heating Region	H3																												
Location Cooling Region	C1																												
Location Cooling Region	C2																												
Location Cooling Region	C3																												
Location	NC_Charlotte-Douglas.Intl.AP.723140	BuildResidentialHPXML	weather_station_epw_filepath=../../../weather/USA_NC_Charlotte-Douglas.Intl.AP.723140.epw																										
Location	NC_Greensboro-Piedmont.Triad.Intl.AP.723170	BuildResidentialHPXML	weather_station_epw_filepath=../../../weather/USA_NC_Greensboro-Piedmont.Triad.Intl.AP.723170.epw																										
Location	NC_Raleigh-Durham.Intl.AP.723060	BuildResidentialHPXML	weather_station_epw_filepath=../../../weather/USA_NC_Raleigh-Durham.Intl.AP.723060.epw																										
Location	NC_Wilmington.Intl.AP.723013	BuildResidentialHPXML	weather_station_epw_filepath=../../../weather/USA_NC_Wilmington.Intl.AP.723013.epw																										
Location	ND_Bismarck.Muni.AP.727640	BuildResidentialHPXML	weather_station_epw_filepath=../../../weather/USA_ND_Bismarck.Muni.AP.727640.epw																										
Location	ND_Fargo-Hector.Intl.AP.727530	BuildResidentialHPXML	weather_station_epw_filepath=../../../weather/USA_ND_Fargo-Hector.Intl.AP.727530.epw																										
Location	ND_Minot.Intl.AP.727676	BuildResidentialHPXML	weather_station_epw_filepath=../../../weather/USA_ND_Minot.Intl.AP.727676.epw																										
Location	NE_Grand.Island-Central.Nebraska.Rgnl.AP.725520	BuildResidentialHPXML	weather_station_epw_filepath=../../../weather/USA_NE_Grand.Island-Central.Nebraska.Rgnl.AP.725520.epw																										
Location	NE_Norfolk-Karl.Stefan.Mem.AP.725560	BuildResidentialHPXML	weather_station_epw_filepath=../../../weather/USA_NE_Norfolk-Karl.Stefan.Mem.AP.725560.epw																										
Location	NE_North.Platte.Rgnl.AP.725620	BuildResidentialHPXML	weather_station_epw_filepath=../../../weather/USA_NE_North.Platte.Rgnl.AP.725620.epw																										
Location	NE_Omaha-Eppley.Airfield.725500	BuildResidentialHPXML	weather_station_epw_filepath=../../../weather/USA_NE_Omaha-Eppley.Airfield.725500.epw																										
Location	NE_Scottsbluff-W.B.Heilig.Field.725660	BuildResidentialHPXML	weather_station_epw_filepath=../../../weather/USA_NE_Scottsbluff-W.B.Heilig.Field.725660.epw																										
Location	NH_Concord.Muni.AP.726050	BuildResidentialHPXML	weather_station_epw_filepath=../../../weather/USA_NH_Concord.Muni.AP.726050.epw																										
Location	NJ_Atlantic.City.Intl.AP.724070	BuildResidentialHPXML	weather_station_epw_filepath=../../../weather/USA_NJ_Atlantic.City.Intl.AP.724070.epw																										
Location	NJ_Newark.Intl.AP.725020	BuildResidentialHPXML	weather_station_epw_filepath=../../../weather/USA_NJ_Newark.Intl.AP.725020.epw																										
Location	NM_Albuquerque.Intl.AP.723650	BuildResidentialHPXML	weather_station_epw_filepath=../../../weather/USA_NM_Albuquerque.Intl.AP.723650.epw																										
Location	NM_Tucumcari.AP.723676	BuildResidentialHPXML	weather_station_epw_filepath=../../../weather/USA_NM_Tucumcari.AP.723676.epw																										
Location	NV_Elko.Muni.AP.725825	BuildResidentialHPXML	weather_station_epw_filepath=../../../weather/USA_NV_Elko.Muni.AP.725825.epw																										
Location	NV_Ely-Yelland.Field.724860	BuildResidentialHPXML	weather_station_epw_filepath=../../../weather/USA_NV_Ely-Yelland.Field.724860.epw																										
Location	NV_Las.Vegas-McCarran.Intl.AP.723860	BuildResidentialHPXML	weather_station_epw_filepath=../../../weather/USA_NV_Las.Vegas-McCarran.Intl.AP.723860.epw																										
Location	NV_Reno-Tahoe.Intl.AP.724880	BuildResidentialHPXML	weather_station_epw_filepath=../../../weather/USA_NV_Reno-Tahoe.Intl.AP.724880.epw																										
Location	NV_Tonopah.AP.724855	BuildResidentialHPXML	weather_station_epw_filepath=../../../weather/USA_NV_Tonopah.AP.724855.epw																										
Location	NV_Winnemucca.Muni.AP.725830	BuildResidentialHPXML	weather_station_epw_filepath=../../../weather/USA_NV_Winnemucca.Muni.AP.725830.epw																										
Location	NY_Albany.County.AP.725180	BuildResidentialHPXML	weather_station_epw_filepath=../../../weather/USA_NY_Albany.County.AP.725180.epw																										
Location	NY_Binghamton-Edwin.A.Link.Field.725150	BuildResidentialHPXML	weather_station_epw_filepath=../../../weather/USA_NY_Binghamton-Edwin.A.Link.Field.725150.epw																										
Location	NY_Buffalo-Greater.Buffalo.Intl.AP.725280	BuildResidentialHPXML	weather_station_epw_filepath=../../../weather/USA_NY_Buffalo-Greater.Buffalo.Intl.AP.725280.epw																										
Location	NY_Massena.AP.726223	BuildResidentialHPXML	weather_station_epw_filepath=../../../weather/USA_NY_Massena.AP.726223.epw																										
Location	NY_New.York-J.F.Kennedy.Intl.AP.744860	BuildResidentialHPXML	weather_station_epw_filepath=../../../weather/USA_NY_New.York-J.F.Kennedy.Intl.AP.744860.epw																										
Location	NY_Rochester-Greater.Rochester.Intl.AP.725290	BuildResidentialHPXML	weather_station_epw_filepath=../../../weather/USA_NY_Rochester-Greater.Rochester.Intl.AP.725290.epw																										
Location	NY_Syracuse-Hancock.Intl.AP.725190	BuildResidentialHPXML	weather_station_epw_filepath=../../../weather/USA_NY_Syracuse-Hancock.Intl.AP.725190.epw																										
Location	OH_Akron.Canton.Rgnl.AP.725210	BuildResidentialHPXML	weather_station_epw_filepath=../../../weather/USA_OH_Akron.Canton.Rgnl.AP.725210.epw																										
Location	OH_Cleveland-Hopkins.Intl.AP.725240	BuildResidentialHPXML	weather_station_epw_filepath=../../../weather/USA_OH_Cleveland-Hopkins.Intl.AP.725240.epw																										
Location	OH_Columbus-Port.Columbus.Intl.AP.724280	BuildResidentialHPXML	weather_station_epw_filepath=../../../weather/USA_OH_Columbus-Port.Columbus.Intl.AP.724280.epw																										
Location	OH_Dayton.Intl.AP.724290	BuildResidentialHPXML	weather_station_epw_filepath=../../../weather/USA_OH_Dayton.Intl.AP.724290.epw																										
Location	OH_Mansfield-Lahm.Muni.AP.725246	BuildResidentialHPXML	weather_station_epw_filepath=../../../weather/USA_OH_Mansfield-Lahm.Muni.AP.725246.epw																										
Location	OH_Toledo.Express.AP.725360	BuildResidentialHPXML	weather_station_epw_filepath=../../../weather/USA_OH_Toledo.Express.AP.725360.epw																										
Location	OH_Youngstown.Rgnl.AP.725250	BuildResidentialHPXML	weather_station_epw_filepath=../../../weather/USA_OH_Youngstown.Rgnl.AP.725250.epw																										
Location	OK_Oklahoma.City-Will.Rogers.World.AP.723530	BuildResidentialHPXML	weather_station_epw_filepath=../../../weather/USA_OK_Oklahoma.City-Will.Rogers.World.AP.723530.epw																										
Location	OK_Tulsa.Intl.AP.723560	BuildResidentialHPXML	weather_station_epw_filepath=../../../weather/USA_OK_Tulsa.Intl.AP.723560.epw																										
Location	OR_Astoria.Rgnl.AP.727910	BuildResidentialHPXML	weather_station_epw_filepath=../../../weather/USA_OR_Astoria.Rgnl.AP.727910.epw																										
Location	OR_Burns.Muni.AP.726830	BuildResidentialHPXML	weather_station_epw_filepath=../../../weather/USA_OR_Burns.Muni.AP.726830.epw																										
