Hour of the year,Hour of the day,Day of the year,Month,AZNMc,CAMXc,ERCTc,FRCCc,MROEc,MROWc,NEWEc,NWPPc,NYSTc,RFCEc,RFCMc,RFCWc,RMPAc,SPNOc,SPSOc,SRMVc,SRMWc,SRSOc,SRTVc,SRVCc
0,0,1,1,170.0608681,178.8550213,168.920636,198.3872128,204.1543767,185.6183249,157.177628,162.8432052,143.5772831,211.5399284,169.9468938,210.4598204,157.6057281,188.2161718,163.4783106,171.389263,207.1329938,210.0735528,168.1974456,202.4841971
1,1,1,1,168.548919,181.9526782,166.9970963,200.3954617,201.9404318,180.9308758,155.3197886,165.4193136,143.7593296,209.8205486,172.5366173,208.7539837,159.5437743,192.6444245,162.0173636,170.7568376,209.7281364,211.2486101,168.230709,202.1077308
2,2,1,1,169.7657077,185.20469,165.9894167,207.8267144,204.4556815,177.9881026,157.5820258,166.1353393,143.889685,209.2194528,170.449523,208.563067,162.5286565,186.6158486,161.9556303,170.2122929,206.8148498,211.6553902,167.9105379,201.2519756
3,3,1,1,171.4680383,184.568788,169.6627326,208.9583859,203.9211107,177.6507592,157.9299653,165.8061966,143.9635789,209.9535742,167.7452043,209.4652999,165.7532304,186.5511892,164.6864004,170.1030779,207.7963441,211.2392144,168.2651071,201.1854936
4,4,1,1,169.6351121,178.3967487,171.5734832,200.6282429,216.8665557,188.415145,157.2782406,168.2339129,141.843767,212.7159923,168.8409628,211.4217838,168.0411448,194.2487463,165.8333251,170.8165605,215.9814919,210.5907569,170.6636985,203.0760271
5,5,1,1,170.3050081,174.3478601,182.9608799,192.5295377,225.773919,185.768972,157.2694102,169.2377721,137.4453398,221.6841285,163.3331503,223.907146,174.8825008,192.0739998,169.112112,172.073902,217.1135115,216.0143539,171.1116796,203.3256947
6,6,1,1,169.7151182,168.0184997,186.5635459,192.7640119,221.9005488,189.7233122,160.0353898,169.538044,136.0183663,232.6980435,158.1976384,232.0436083,178.3017585,192.2383945,176.1179971,173.9231507,216.0197229,217.5973695,169.7890741,209.2711054
7,7,1,1,165.0565405,147.930165,172.0887178,138.1936012,171.3246199,175.4257203,150.6582977,159.9486322,128.8879025,191.686128,160.6008713,224.7237483,174.0787203,165.4220501,159.9729335,154.7357891,161.3102394,202.5130183,155.4442784,198.1218715
8,8,1,1,147.7632659,129.5456262,122.3911943,106.5371193,122.0961304,135.3126268,130.0182671,142.8912073,111.7892176,142.7819828,137.6236043,166.9661644,164.8586388,121.594742,120.3047398,124.4134412,120.4138503,138.6738774,144.5107352,148.5941966
9,9,1,1,137.6401857,131.2235433,110.5431898,96.56101924,116.0176287,123.7523315,128.3540259,142.2676785,104.3468748,116.9240265,135.4038687,130.0963961,145.0186665,112.899504,112.8429907,117.3519833,112.4950978,114.2096119,140.4743935,127.1129571
10,10,1,1,138.8558572,129.7355947,110.2937838,93.51958271,111.4189245,124.5047105,127.6873638,142.491996,101.7613411,109.9534741,131.6399481,122.6276178,145.9294358,112.7833561,112.7001365,114.3991703,110.2513286,108.3518248,139.2658191,122.8196269
11,11,1,1,137.3573036,129.5794336,108.9374971,94.32602989,108.8563938,119.3978925,128.4534423,146.3849046,99.88151672,104.4896903,130.8375951,116.5660924,146.3434787,114.6336621,112.4663313,112.2835014,109.5062531,110.6011493,137.4307832,118.2696402
