Hour of the year,Hour of the day,Day of the year,Month,AZNMc,CAMXc,ERCTc,FRCCc,MROEc,MROWc,NEWEc,NWPPc,NYSTc,RFCEc,RFCMc,RFCWc,RMPAc,SPNOc,SPSOc,SRMVc,SRMWc,SRSOc,SRTVc,SRVCc
0,0,1,1,327.3568136,193.0832455,423.9932251,415.5640123,458.814699,478.7784609,299.4021275,290.8881277,193.8357048,432.8500784,385.1047932,466.5433637,309.3977449,496.7802295,397.9077558,427.7795236,469.8238397,492.6472732,433.9092293,413.0995142
1,1,1,1,325.362336,188.8557489,424.8376305,427.0355623,466.3973813,487.5712622,300.9750203,289.2694842,194.9801029,435.6680018,388.3560551,469.1162806,308.4255121,500.2996008,397.2663453,429.8114178,472.7143011,489.5049411,434.16475,410.2346616
2,2,1,1,324.7854431,186.8222685,427.0623349,432.4398796,463.5734532,485.0020828,299.2432465,289.0704441,195.3852811,436.5880198,393.2310093,471.7688765,300.6127577,502.6276408,401.5001832,430.8339479,472.8556777,490.1946914,434.7100071,411.9658731
3,3,1,1,324.2932923,184.5207865,424.6344498,429.8201516,461.6652726,486.8493299,299.0540415,289.0633542,196.5015692,438.3095677,390.3322233,471.5834711,296.2888903,504.1201265,400.3973148,425.3777758,469.5353831,492.1393659,427.787615,413.2209506
4,4,1,1,322.4123623,184.7713594,405.3677763,426.304923,458.3063512,474.4838765,297.8486896,289.3666995,192.2650236,443.9086096,384.8491034,469.4197197,295.5847521,493.2277048,385.4306054,414.5312792,463.9955572,486.5911358,419.6747373,406.8050496
5,5,1,1,324.6452965,181.3658162,400.5442768,410.1664105,459.8211242,459.0456797,298.0313023,291.7202043,188.4348573,453.4206389,379.5335015,477.386852,292.9441748,468.9301807,369.1631772,403.1941853,451.2638753,474.6576722,413.5401636,392.6550557
6,6,1,1,323.4081067,182.0828956,400.2893757,409.2659826,456.3944315,457.4147356,303.2383943,292.7788485,188.4714501,469.9576337,381.3296659,482.5255417,288.5400496,469.1224492,375.1593348,407.5541699,454.4837974,459.9954731,413.8438023,400.5375255
7,7,1,1,316.5841939,178.2974546,383.2553887,391.1634912,405.8243326,423.0301649,296.1635385,287.4835758,183.5061843,437.965738,386.60033,478.1779678,272.8233897,427.8536881,351.4993581,371.6601821,391.4289768,450.5512386,379.4778532,402.1812644
8,8,1,1,303.5771626,165.1914374,333.0612036,364.3778104,349.9009928,297.5840046,274.8504605,282.5873364,162.4082073,372.0924289,367.1886984,409.3159839,266.1923373,310.7215855,286.2757329,345.2334681,323.5855392,423.7222057,360.0659195,378.3293884
9,9,1,1,291.0680047,172.1558524,332.2388797,357.352556,342.0339543,282.3566523,269.9193982,283.9970934,152.7929007,343.0597314,347.2512514,371.0049717,276.4543766,288.8822953,269.9882201,327.815069,306.7423949,399.062588,351.3357569,365.735541
10,10,1,1,290.5717983,172.9261362,330.1850988,359.511142,337.0844364,280.6995919,271.0719889,284.0238855,153.6699202,328.7980752,344.9135923,355.3631198,276.0887899,286.218123,265.3768027,322.2144478,301.4084318,386.1791383,350.4976653,360.7413518
11,11,1,1,293.4893891,170.6627441,328.5899211,362.115608,333.4826443,278.7426277,268.0731481,283.0708803,151.5928542,320.0440474,344.4884904,348.5366974,280.2045598,283.9858268,265.5468983,322.7428654,298.2107525,384.1514003,346.5770928,357.1992575
12,12,1,1,291.7468655,171.6254264,322.2481323,362.9733632,329.832933,276.1354664,266.3961365,283.9862075,149.9137463,313.0483974,341.3644649,343.8485628,279.4235953,285.784044,264.694606,320.7473836,298.8111319,386.9568934,346.4506074,356.4531076
13,13,1,1,291.0762327,170.9922157,332.2470254,360.1023799,332.0246085,273.3146542,267.6983519,283.1825442,150.7740694,311.224091,344.165373,343.2455307,278.6957928,286.6658155,265.8114306,321.7213275,298.1791096,384.0630722,345.5922298,356.3498033
