zip_code,po_name,zip_type,state_abbr,state,reeds_ba,cambium_gea
98001,Auburn,Zip Code Area,WA,Washington,p1,NWPPc
98002,Auburn,Zip Code Area,WA,Washington,p1,NWPPc
98003,Federal Way,Zip Code Area,WA,Washington,p1,NWPPc
98004,Bellevue,Zip Code Area,WA,Washington,p1,NWPPc
98005,Bellevue,Zip Code Area,WA,Washington,p1,NWPPc
98006,Bellevue,Zip Code Area,WA,Washington,p1,NWPPc
98007,Bellevue,Zip Code Area,WA,Washington,p1,NWPPc
98008,Bellevue,Zip Code Area,WA,Washington,p1,NWPPc
98009,Bellevue,Post Office or large volume customer,WA,Washington,p1,NWPPc
98010,Black Diamond,Zip Code Area,WA,Washington,p1,NWPPc
98011,Bothell,Zip Code Area,WA,Washington,p1,NWPPc
98012,Bothell,Zip Code Area,WA,Washington,p1,NWPPc
98013,Burton,Post Office or large volume customer,WA,Washington,p1,NWPPc
98014,Carnation,Zip Code Area,WA,Washington,p1,NWPPc
98015,Bellevue,Post Office or large volume customer,WA,Washington,p1,NWPPc
98019,Duvall,Zip Code Area,WA,Washington,p1,NWPPc
98020,Edmonds,Zip Code Area,WA,Washington,p1,NWPPc
98021,Bothell,Zip Code Area,WA,Washington,p1,NWPPc
98022,Enumclaw,Zip Code Area,WA,Washington,p1,NWPPc
98023,Federal Way,Zip Code Area,WA,Washington,p1,NWPPc
98024,Fall City,Zip Code Area,WA,Washington,p1,NWPPc
98025,Hobart,Post Office or large volume customer,WA,Washington,p1,NWPPc
98026,Edmonds,Zip Code Area,WA,Washington,p1,NWPPc
98027,Issaquah,Zip Code Area,WA,Washington,p1,NWPPc
98028,Kenmore,Zip Code Area,WA,Washington,p1,NWPPc
98029,Issaquah,Zip Code Area,WA,Washington,p1,NWPPc
98030,Kent,Zip Code Area,WA,Washington,p1,NWPPc
98031,Kent,Zip Code Area,WA,Washington,p1,NWPPc
98032,Kent,Zip Code Area,WA,Washington,p1,NWPPc
98033,Kirkland,Zip Code Area,WA,Washington,p1,NWPPc
98034,Kirkland,Zip Code Area,WA,Washington,p1,NWPPc
98035,Kent,Post Office or large volume customer,WA,Washington,p1,NWPPc
98036,Lynnwood,Zip Code Area,WA,Washington,p1,NWPPc
98037,Lynnwood,Zip Code Area,WA,Washington,p1,NWPPc
98038,Maple Valley,Zip Code Area,WA,Washington,p1,NWPPc
98039,Medina,Zip Code Area,WA,Washington,p1,NWPPc
98040,Mercer Island,Zip Code Area,WA,Washington,p1,NWPPc
98041,Bothell,Post Office or large volume customer,WA,Washington,p1,NWPPc
98042,Kent,Zip Code Area,WA,Washington,p1,NWPPc
98043,Mountlake Terrace,Zip Code Area,WA,Washington,p1,NWPPc
98045,North Bend,Zip Code Area,WA,Washington,p1,NWPPc
98046,Lynnwood,Post Office or large volume customer,WA,Washington,p1,NWPPc
98047,Pacific,Zip Code Area,WA,Washington,p1,NWPPc
98050,Preston,Post Office or large volume customer,WA,Washington,p1,NWPPc
98051,Ravensdale,Zip Code Area,WA,Washington,p1,NWPPc
98052,Redmond,Zip Code Area,WA,Washington,p1,NWPPc
98053,Redmond,Zip Code Area,WA,Washington,p1,NWPPc
98055,Renton,Zip Code Area,WA,Washington,p1,NWPPc
98056,Renton,Zip Code Area,WA,Washington,p1,NWPPc
98057,Renton,Zip Code Area,WA,Washington,p1,NWPPc
98058,Renton,Zip Code Area,WA,Washington,p1,NWPPc
98059,Renton,Zip Code Area,WA,Washington,p1,NWPPc
98061,Rollingbay,Post Office or large volume customer,WA,Washington,p1,NWPPc
98062,Seahurst,Post Office or large volume customer,WA,Washington,p1,NWPPc
98063,Federal Way,Post Office or large volume customer,WA,Washington,p1,NWPPc
98064,Kent,Post Office or large volume customer,WA,Washington,p1,NWPPc
98065,Snoqualmie,Zip Code Area,WA,Washington,p1,NWPPc
98068,Snoqualmie Pass,Post Office or large volume customer,WA,Washington,p1,NWPPc
98070,Vashon,Zip Code Area,WA,Washington,p1,NWPPc
98071,Auburn,Post Office or large volume customer,WA,Washington,p1,NWPPc
98072,Woodinville,Zip Code Area,WA,Washington,p1,NWPPc
98073,Redmond,Post Office or large volume customer,WA,Washington,p1,NWPPc
98074,Sammamish,Zip Code Area,WA,Washington,p1,NWPPc
98075,Sammamish,Zip Code Area,WA,Washington,p1,NWPPc
98077,Woodinville,Zip Code Area,WA,Washington,p1,NWPPc
98082,Mill Creek,Post Office or large volume customer,WA,Washington,p1,NWPPc
98083,Kirkland,Post Office or large volume customer,WA,Washington,p1,NWPPc
98087,Lynnwood,Zip Code Area,WA,Washington,p1,NWPPc
98089,Kent,Post Office or large volume customer,WA,Washington,p1,NWPPc
98092,Auburn,Zip Code Area,WA,Washington,p1,NWPPc
98093,Federal Way,Post Office or large volume customer,WA,Washington,p1,NWPPc
98101,Seattle,Zip Code Area,WA,Washington,p1,NWPPc
98102,Seattle,Zip Code Area,WA,Washington,p1,NWPPc
98103,Seattle,Zip Code Area,WA,Washington,p1,NWPPc
98104,Seattle,Zip Code Area,WA,Washington,p1,NWPPc
98105,Seattle,Zip Code Area,WA,Washington,p1,NWPPc
98106,Seattle,Zip Code Area,WA,Washington,p1,NWPPc
98107,Seattle,Zip Code Area,WA,Washington,p1,NWPPc
98108,Seattle,Zip Code Area,WA,Washington,p1,NWPPc
98109,Seattle,Zip Code Area,WA,Washington,p1,NWPPc
98110,Bainbridge Island,Zip Code Area,WA,Washington,p1,NWPPc
98111,Seattle,Post Office or large volume customer,WA,Washington,p1,NWPPc
98112,Seattle,Zip Code Area,WA,Washington,p1,NWPPc
98113,Seattle,Post Office or large volume customer,WA,Washington,p1,NWPPc
98114,Seattle,Post Office or large volume customer,WA,Washington,p1,NWPPc
98115,Seattle,Zip Code Area,WA,Washington,p1,NWPPc
98116,Seattle,Zip Code Area,WA,Washington,p1,NWPPc
98117,Seattle,Zip Code Area,WA,Washington,p1,NWPPc
