Hour of the year,Hour of the day,Day of the year,Month,AZNMc,CAMXc,ERCTc,FRCCc,MROEc,MROWc,NEWEc,NWPPc,NYSTc,RFCEc,RFCMc,RFCWc,RMPAc,SPNOc,SPSOc,SRMVc,SRMWc,SRSOc,SRTVc,SRVCc
0,0,1,1,341.6014353,339.5108515,347.423872,386.2017166,401.4847495,388.5807568,330.4593225,322.9156924,252.7762378,395.4748922,341.7654972,414.9931667,323.4549207,392.3571416,358.9315601,350.7119841,413.4327248,401.2023934,361.0553791,384.7896232
1,1,1,1,342.3009064,346.3122274,348.6985139,385.8620537,401.422225,387.9743891,331.2355203,323.237655,253.7808247,395.6532078,340.9312914,414.0293327,326.5253439,381.9819678,353.6568592,348.6075787,408.6841133,400.9284265,359.7138829,380.7376475
2,2,1,1,343.6809709,349.228125,346.6129422,386.2983868,401.0643936,387.9206441,331.376938,321.8820016,251.9530188,395.2955903,344.0550904,412.6385467,322.5065655,385.1005625,349.1668322,345.515706,414.6077536,399.6721251,358.1702482,380.3473531
3,3,1,1,346.1578089,344.2145095,347.0475716,379.3352287,403.8649286,404.5766533,328.5961571,320.2215374,254.4232226,395.731186,345.9397696,414.5459062,318.9611385,389.9840352,357.62872,349.3202347,414.6647422,395.6428021,359.3099709,379.5884949
4,4,1,1,341.7067528,334.3357411,349.353944,374.243027,410.3304461,400.1389249,331.1784169,317.5453345,251.0283805,405.4483416,341.5317234,421.3241151,309.6711338,392.8213209,357.5555303,349.1253659,411.2239997,396.1553071,355.2100923,381.3858394
5,5,1,1,338.6134554,324.2678427,356.4391687,377.7278701,408.4846497,389.6655009,333.2799912,318.2403528,249.2873061,419.5785378,335.4541787,431.9106257,303.7256389,392.9617546,364.6050655,350.3392824,410.8938802,397.7932767,352.8576555,387.0324492
6,6,1,1,334.8669125,318.8640271,357.8474872,365.0994438,402.9790151,382.2075993,339.3164423,318.053984,249.7988177,435.121629,334.3085302,438.579455,296.8893511,390.9149953,365.135828,348.7956852,399.7393106,397.7884587,350.143309,393.2989599
7,7,1,1,323.9385653,292.7621718,334.2664214,326.1305194,325.0263781,341.1011593,324.302891,296.4631923,235.3116176,400.2722625,332.9180662,419.2741802,299.6646569,350.1698958,343.9211472,306.4439871,320.4041634,393.1784458,316.4257648,380.9024428
8,8,1,1,295.9000324,254.8675254,269.6358564,259.1365771,262.3097872,257.5722407,286.644818,265.3947929,199.5437428,308.8948634,313.9024173,311.8993443,293.3275251,279.1619742,288.6017197,266.6690986,267.0509424,299.9878479,291.018818,306.1143307
9,9,1,1,283.8592591,256.358963,260.5156676,238.5052802,256.6502114,244.131903,280.5943924,261.7140761,182.8023657,268.8132936,297.3066656,262.8821616,272.0906316,271.7967637,268.3438501,254.2686953,257.0216777,252.0811664,285.754045,260.3536285
10,10,1,1,283.965482,255.6817248,257.924507,232.885839,249.9820051,239.0087339,280.7356023,257.7148322,178.3479843,261.0000359,293.0300379,249.7505385,270.5718888,277.4126501,264.3745049,247.9300868,254.5767682,237.6498012,282.5876893,252.5394927
11,11,1,1,282.8030978,253.0535591,256.4225725,228.6515845,243.1346445,238.2921613,285.4791848,256.7737985,173.8717863,251.1772807,290.0742688,239.6869434,279.2549849,269.6460421,261.2435872,243.4051449,249.1037531,235.2843019,279.9286315,249.6115776
12,12,1,1,281.1016868,253.8901699,251.6769511,231.9653752,242.3583379,235.1947006,283.8400658,256.7561689,174.6248338,246.3493378,289.2704376,232.8799892,278.7569535,269.0517038,253.8740653,241.0532963,248.7705097,238.2318489,276.4378346,246.3342881
13,13,1,1,281.3395932,253.161021,254.976599,231.7816334,242.1763135,230.6447753,282.9868055,258.9470538,173.49909,248.4829247,289.9327781,236.270771,280.7457257,275.4334566,259.9495528,244.3188886,255.4787671,239.2619376,275.3691029,247.6366445
14,14,1,1,282.2828562,257.2633519,256.1283172,229.7584679,251.8033383,230.5189005,290.4429759,263.7792874,180.3780754,254.5268839,290.8457566,243.1874052,282.2293283,271.2220684,260.142783,245.9855366,259.1205291,236.2433166,281.3887163,251.3171017
15,15,1,1,291.7617523,274.8472376,255.9390487,238.5862192,312.7150077,252.8102031,318.5477656,279.2997686,210.132657,276.9771392,294.2815789,255.0545814,296.8064195,291.5642971,264.5879642,251.0898769,306.7330637,248.8829662,298.2378197,264.5965461
16,16,1,1,313.9587491,316.0723322,284.1451942,255.8682499,402.2059945,371.4913399,345.3316349,312.9176933,269.4136934,388.4095236,316.0853631,354.1234042,296.9804423,363.2696666,313.1872919,310.3879371,390.3902125,286.8945697,338.139614,344.9801834
17,17,1,1,332.3650055,313.580746,358.700805,322.3218363,410.0760408,395.5536536,353.1899842,316.4600984,288.5523888,430.2078859,335.9004553,432.0673335,306.7560506,395.3902993,375.9635341,345.4178293,406.2419143,378.1939188,347.6578597,386.2994112
18,18,1,1,335.781629,311.0512637,361.038251,347.3177299,409.9064293,394.5428545,354.123304,315.9889556,290.2274935,435.1256164,339.800643,433.1715869,304.4746411,389.9129363,377.2414646,347.3036811,402.3051242,388.5774051,348.0236736,388.6347781
19,19,1,1,334.0475362,310.6785096,357.7130034,346.596143,405.7712157,388.9142348,351.4044825,318.7886632,282.590757,435.688394,339.2835348,431.0993629,303.4474238,388.6241288,374.0906692,347.6382001,405.4638799,389.7681859,348.2374845,386.1030439
20,20,1,1,333.2183631,310.1746183,352.1159494,344.6975311,409.5593458,398.8442752,347.6357239,320.0718626,272.6723185,430.9006459,337.5661668,433.3447797,305.7756425,384.8357411,362.2376703,351.1365816,401.7622926,390.4468392,350.8126041,388.2813004
21,21,1,1,334.6615043,316.2722721,351.7664637,348.7554515,402.2633512,387.0899773,343.3414155,323.1491629,277.2519917,421.5041679,335.6930842,432.9667271,309.6070088,386.9538983,353.5650134,352.1394637,403.2916925,394.1841584,356.6549804,393.9271675
22,22,1,1,336.5669228,318.5609254,349.7671105,385.6502249,404.0325813,387.0255619,340.6132104,323.8278357,270.9299863,411.4653794,338.302149,426.6197991,325.0647419,383.9832388,356.3848035,350.9539573,407.5938459,410.7332609,355.809151,393.3372013
23,23,1,1,339.8850071,328.1316272,347.2119451,403.2731155,400.1871854,390.5679978,333.450374,323.9599262,264.3683852,399.9361982,342.5554699,419.5565818,323.4289925,394.160977,352.8475588,350.1001933,414.2311238,411.2194987,358.9340497,389.8509914
