,building_range,mid_multiplier
bldg_1,"""1,2,3""",48
bldg_2,"""4,5,6""",142
bldg_3,"""7,8,9""",8
bldg_4,"""10,11,12""",4
bldg_5,"""13,14,15""",6
bldg_6,"""16,17,18""",48
bldg_7,"""19,20,21""",6
bldg_8,"""22,23,24""",34
bldg_9,"""25,26,27""",28
bldg_10,"""28,29,30""",10
bldg_11,"""31,32,33""",8
bldg_12,"""34,35,36""",3
bldg_13,"""37,38,39""",4
bldg_14,"""40,41,42""",34
bldg_15,"""43,44,45""",4
bldg_16,"""46,47,48""",6
bldg_17,"""49,50,51""",34
bldg_18,"""52,53,54""",8
bldg_19,"""55,56,57""",4
bldg_20,"""58,59,60""",5
bldg_21,"""61,62,63""",10
bldg_22,"""64,65,66""",6
bldg_23,"""67,68,69""",8
bldg_24,"""70,71,72""",58
bldg_25,"""73,74,75""",6
bldg_26,"""76,77,78""",6
bldg_27,"""79,80,81""",10
bldg_28,"""82,83,84""",10
bldg_29,"""85,86,87""",3
bldg_30,"""88,89,90""",5
bldg_31,"""91,92,93""",6
bldg_32,"""94,95,96""",10
bldg_33,"""97,98,99""",4
bldg_34,"""100,101,102""",6
bldg_35,"""103,104,105""",18
bldg_36,"""106,107,108""",6
bldg_37,"""109,110,111""",22
bldg_38,"""112,113,114""",10
bldg_39,"""115,116,117""",8
bldg_40,"""118,119,120""",4
bldg_41,"""121,122,123""",14
bldg_42,"""124,125,126""",13
bldg_43,"""127,128,129""",8
bldg_44,"""130,131,132""",6
bldg_45,"""133,134,135""",5
bldg_46,"""136,137,138""",4
bldg_47,"""139,140,141""",6
bldg_48,"""142,143,144""",6
bldg_49,"""145,146,147""",28
bldg_50,"""148,149,150""",22
bldg_51,"""151,152,153""",3
bldg_52,"""154,155,156""",5
bldg_53,"""157,158,159""",8
bldg_54,"""160,161,162""",6
bldg_55,"""163,164,165""",22
bldg_56,"""166,167,168""",34
bldg_57,"""169,170,171""",4
bldg_58,"""172,173,174""",28
bldg_59,"""175,176,177""",13
bldg_60,"""178,179,180""",3
bldg_61,"""181,182,183""",3
bldg_62,"""184,185,186""",88
bldg_63,"""187,188,189""",6
bldg_64,"""190,191,192""",6
bldg_65,"""193,194,195""",13
bldg_66,"""196,197,198""",34
bldg_67,"""199,200,201""",5
bldg_68,"""202,203,204""",4
bldg_69,"""205,206,207""",3
bldg_70,"""208,209,210""",58
bldg_71,"""211,212,213""",4
bldg_72,"""214,215,216""",10
bldg_73,"""217,218,219""",88
bldg_74,"""220,221,222""",18
bldg_75,"""223,224,225""",4
bldg_76,"""226,227,228""",14
bldg_77,"""229,230,231""",6
bldg_78,"""232,233,234""",34
bldg_79,"""235,236,237""",6
bldg_80,"""238,239,240""",3
bldg_81,"""241,242,243""",3
bldg_82,"""244,245,246""",6
bldg_83,"""247,248,249""",4
bldg_84,"""250,251,252""",14
bldg_85,"""253,254,255""",4
bldg_86,"""256,257,258""",4
bldg_87,"""259,260,261""",34
bldg_88,"""262,263,264""",22
bldg_89,"""265,266,267""",8
bldg_90,"""268,269,270""",14
bldg_91,"""271,272,273""",10
bldg_92,"""274,275,276""",6
bldg_93,"""277,278,279""",28
bldg_94,"""280,281,282""",3
bldg_95,"""283,284,285""",6
bldg_96,"""286,287,288""",6
bldg_97,"""289,290,291""",3
bldg_98,"""292,293,294""",6
bldg_99,"""295,296,297""",5
bldg_100,"""298,299,300""",3
bldg_101,"""301,302,303""",14
bldg_102,"""304,305,306""",3
bldg_103,"""307,308,309""",4
bldg_104,"""310,311,312""",6
bldg_105,"""313,314,315""",14
bldg_106,"""316,317,318""",10
bldg_107,"""319,320,321""",88
bldg_108,"""322,323,324""",6
bldg_109,"""325,326,327""",28
bldg_110,"""328,329,330""",28
bldg_111,"""331,332,333""",6
bldg_112,"""334,335,336""",3
bldg_113,"""337,338,339""",3
bldg_114,"""340,341,342""",4
bldg_115,"""343,344,345""",18
bldg_116,"""346,347,348""",142
bldg_117,"""349,350,351""",10
bldg_118,"""352,353,354""",22
bldg_119,"""355,356,357""",18
bldg_120,"""358,359,360""",4
bldg_121,"""361,362,363""",28
bldg_122,"""364,365,366""",5
bldg_123,"""367,368,369""",3
bldg_124,"""370,371,372""",5
bldg_125,"""373,374,375""",18
bldg_126,"""376,377,378""",4
bldg_127,"""379,380,381""",10
bldg_128,"""382,383,384""",34
bldg_129,"""385,386,387""",48
bldg_130,"""388,389,390""",3
bldg_131,"""391,392,393""",4
bldg_132,"""394,395,396""",10
bldg_133,"""397,398,399""",34
bldg_134,"""400,401,402""",10
bldg_135,"""403,404,405""",6
bldg_136,"""406,407,408""",6
bldg_137,"""409,410,411""",8
bldg_138,"""412,413,414""",22
bldg_139,"""415,416,417""",5
bldg_140,"""418,419,420""",10
bldg_141,"""421,422,423""",18
bldg_142,"""424,425,426""",6
bldg_143,"""427,428,429""",8
bldg_144,"""430,431,432""",10
bldg_145,"""433,434,435""",28
bldg_146,"""436,437,438""",142
bldg_147,"""439,440,441""",18
bldg_148,"""442,443,444""",10
bldg_149,"""445,446,447""",4
bldg_150,"""448,449,450""",10
bldg_151,"""451,452,453""",14
bldg_152,"""454,455,456""",3
bldg_153,"""457,458,459""",6
bldg_154,"""460,461,462""",6
bldg_155,"""463,464,465""",6
bldg_156,"""466,467,468""",8
bldg_157,"""469,470,471""",4
bldg_158,"""472,473,474""",14
bldg_159,"""475,476,477""",3
bldg_160,"""478,479,480""",5
bldg_161,"""481,482,483""",22
bldg_162,"""484,485,486""",5
bldg_163,"""487,488,489""",4
bldg_164,"""490,491,492""",6
bldg_165,"""493,494,495""",6
bldg_166,"""496,497,498""",6
bldg_167,"""499,500,501""",22
bldg_168,"""502,503,504""",4
bldg_169,"""505,506,507""",14
bldg_170,"""508,509,510""",13
bldg_171,"""511,512,513""",58
bldg_172,"""514,515,516""",8
bldg_173,"""517,518,519""",14
bldg_174,"""520,521,522""",3
bldg_175,"""523,524,525""",28
bldg_176,"""526,527,528""",10
bldg_177,"""529,530,531""",4
bldg_178,"""532,533,534""",6
bldg_179,"""535,536,537""",48
bldg_180,"""538,539,540""",3
bldg_181,"""541,542,543""",3
bldg_182,"""544,545,546""",6
bldg_183,"""547,548,549""",22
bldg_184,"""550,551,552""",3
bldg_185,"""553,554,555""",3
bldg_186,"""556,557,558""",18
bldg_187,"""559,560,561""",4
bldg_188,"""562,563,564""",5
