Time,Heating:Electricity  [kwh],Heating:Gas  [kbtu],Cooling:Electricity  [kwh],InteriorLights:Electricity  [kwh],ExteriorLights:Electricity  [kwh],InteriorEquipment:Electricity  [kwh],InteriorEquipment:Gas  [kbtu],Fans:Electricity  [kwh],Pumps:Electricity  [kwh],WaterSystems:Electricity  [kwh],WaterSystems:Gas  [kbtu],WaterSystems:Water  [gal],Electricity:Facility  [kwh],Gas:Facility  [kbtu],Water:Facility  [gal]
2009/01/01 01:00:00,0.0,0.0,0.138,0.027,0.003,0.66,0.032,0.079,0.031,0.0,0.0,0.0,0.939,0.032,0.0
2009/01/01 02:00:00,0.0,0.0,0.119,0.016,0.002,0.618,0.021,0.07,0.031,0.0,0.0,0.0,0.856,0.021,0.0
2009/01/01 03:00:00,0.0,0.0,0.111,0.011,0.001,0.607,0.017,0.066,0.031,0.0,1.103,0.0,0.828,1.12,0.0
2009/01/01 04:00:00,0.0,0.0,0.108,0.011,0.001,0.592,0.017,0.064,0.031,0.0,0.0,0.0,0.807,0.017,0.0
2009/01/01 05:00:00,0.0,0.0,0.102,0.012,0.001,0.563,0.025,0.06,0.031,0.0,1.103,0.0,0.769,1.128,0.0
2009/01/01 06:00:00,0.0,0.0,0.103,0.033,0.004,0.616,0.037,0.061,0.031,0.0,0.0,0.0,0.848,0.037,0.0
2009/01/01 07:00:00,0.0,0.0,0.065,0.077,0.009,0.758,0.052,0.029,0.031,0.0,1.103,0.0,0.969,1.155,0.0
2009/01/01 08:00:00,0.0,0.0,0.181,0.098,0.012,0.832,0.068,0.124,0.031,0.0,11.387,28.029,1.278,11.455,28.029
2009/01/01 09:00:00,0.0,0.0,0.132,0.104,0.012,0.694,0.099,0.074,0.029,0.0,2.854,0.0,1.046,2.953,0.0
2009/01/01 10:00:00,0.0,0.0,0.126,0.107,0.013,0.575,0.127,0.073,0.031,0.0,0.0,0.0,0.925,0.127,0.0
2009/01/01 11:00:00,0.0,0.0,0.14,0.104,0.012,0.576,0.132,0.08,0.031,0.0,1.103,0.0,0.944,1.235,0.0
2009/01/01 12:00:00,0.0,0.0,0.098,0.1,0.012,0.625,0.128,0.04,0.031,0.0,0.0,0.0,0.906,0.128,0.0
2009/01/01 13:00:00,0.0,0.0,0.144,0.097,0.012,0.611,0.125,0.083,0.031,0.0,1.103,0.0,0.978,1.228,0.0
2009/01/01 14:00:00,0.0,0.0,0.154,0.096,0.012,0.623,0.1,0.088,0.031,0.0,0.0,0.0,1.003,0.1,0.0
2009/01/01 15:00:00,0.0,0.0,0.148,0.097,0.012,0.732,0.093,0.108,0.031,0.0,1.159,1.346,1.128,1.252,1.346
2009/01/01 16:00:00,0.0,0.0,0.144,0.104,0.013,0.681,0.09,0.084,0.031,0.0,1.103,0.443,1.057,1.193,0.443
2009/01/01 17:00:00,0.0,0.0,0.147,0.125,0.015,0.852,0.101,0.086,0.031,0.0,0.0,0.0,1.258,0.101,0.0
2009/01/01 18:00:00,0.0,0.0,0.148,0.166,0.02,1.14,0.106,0.121,0.031,0.0,1.103,0.0,1.627,1.209,0.0
