Dependency=Location Region	Dependency=Vintage	Dependency=Geometry Foundation Type	Dependency=Geometry Building Type RECS	Option=Uninsulated	Option=Wall R-5	Option=Wall R-10	Option=Wall R-15	Option=None
CR02	2050s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	2050s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	2050s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	2050s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	2050s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	2050s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	2050s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	2050s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	2050s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	2050s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	2050s	Crawl	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	2050s	Crawl	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	2050s	Crawl	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	2050s	Crawl	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	2050s	Crawl	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	2050s	Crawl	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	2050s	Crawl	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	2050s	Crawl	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	2050s	Crawl	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	2050s	Crawl	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	2050s	Crawl	Mobile Home	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	2050s	Crawl	Mobile Home	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	2050s	Crawl	Mobile Home	0.000000	0.000000	0.000000	0.000000	1.000000
