Dependency=Geometry Stories	Dependency=Geometry Building Number Units MF	Dependency=Corridor	Option=Yes	Option=No
3	24	Double Exterior	1.000000	0.000000
3	36	Double Exterior	1.000000	0.000000
3	42	Double Exterior	1.000000	0.000000
3	54	Double Exterior	1.000000	0.000000
3	78	Double Exterior	1.000000	0.000000
3	102	Double Exterior	1.000000	0.000000
3	160	Double Exterior	0.000000	1.000000
3	210	Double Exterior	1.000000	0.000000
1	None	Single Exterior Front	0.000000	1.000000
1	2	Single Exterior Front	0.000000	1.000000
1	3	Single Exterior Front	0.000000	1.000000
1	4	Single Exterior Front	0.000000	1.000000
1	6	Single Exterior Front	0.000000	1.000000
1	8	Single Exterior Front	0.000000	1.000000
1	9	Single Exterior Front	0.000000	1.000000
1	12	Single Exterior Front	0.000000	1.000000
1	15	Single Exterior Front	0.000000	1.000000
1	16	Single Exterior Front	0.000000	1.000000
1	18	Single Exterior Front	0.000000	1.000000
1	20	Single Exterior Front	0.000000	1.000000
1	21	Single Exterior Front	0.000000	1.000000
1	24	Single Exterior Front	0.000000	1.000000
1	36	Single Exterior Front	0.000000	1.000000
1	42	Single Exterior Front	0.000000	1.000000
1	54	Single Exterior Front	0.000000	1.000000
1	78	Single Exterior Front	0.000000	1.000000
1	102	Single Exterior Front	0.000000	1.000000
1	160	Single Exterior Front	0.000000	1.000000
1	210	Single Exterior Front	0.000000	1.000000
2	None	Single Exterior Front	0.000000	1.000000
2	2	Single Exterior Front	0.000000	1.000000
2	3	Single Exterior Front	0.000000	1.000000
2	4	Single Exterior Front	0.000000	1.000000
2	6	Single Exterior Front	0.000000	1.000000
2	8	Single Exterior Front	0.000000	1.000000
2	9	Single Exterior Front	0.000000	1.000000
2	12	Single Exterior Front	0.000000	1.000000
2	15	Single Exterior Front	0.000000	1.000000
2	16	Single Exterior Front	0.000000	1.000000
2	18	Single Exterior Front	0.000000	1.000000
2	20	Single Exterior Front	0.000000	1.000000
2	21	Single Exterior Front	0.000000	1.000000
2	24	Single Exterior Front	0.000000	1.000000
2	36	Single Exterior Front	0.000000	1.000000
2	42	Single Exterior Front	0.000000	1.000000
2	54	Single Exterior Front	0.000000	1.000000
2	78	Single Exterior Front	0.000000	1.000000
2	102	Single Exterior Front	0.000000	1.000000
2	160	Single Exterior Front	0.000000	1.000000
2	210	Single Exterior Front	0.000000	1.000000
3	None	Single Exterior Front	0.000000	1.000000
3	2	Single Exterior Front	0.000000	1.000000
3	3	Single Exterior Front	0.000000	1.000000
3	4	Single Exterior Front	0.000000	1.000000
3	6	Single Exterior Front	0.000000	1.000000
3	8	Single Exterior Front	0.000000	1.000000
3	9	Single Exterior Front	0.000000	1.000000
3	12	Single Exterior Front	0.000000	1.000000
3	15	Single Exterior Front	0.000000	1.000000
3	16	Single Exterior Front	0.000000	1.000000
3	18	Single Exterior Front	0.000000	1.000000
3	20	Single Exterior Front	0.000000	1.000000
3	21	Single Exterior Front	0.000000	1.000000
3	24	Single Exterior Front	0.000000	1.000000
3	36	Single Exterior Front	0.000000	1.000000
3	42	Single Exterior Front	0.000000	1.000000
3	54	Single Exterior Front	0.000000	1.000000
3	78	Single Exterior Front	0.000000	1.000000
3	102	Single Exterior Front	0.000000	1.000000
3	160	Single Exterior Front	0.000000	1.000000
3	210	Single Exterior Front	0.000000	1.000000
1	None	None	0.000000	1.000000
1	2	None	1.000000	0.000000
1	3	None	0.000000	1.000000
1	4	None	1.000000	0.000000
1	6	None	1.000000	0.000000
1	8	None	1.000000	0.000000
1	9	None	0.000000	1.000000
1	12	None	1.000000	0.000000
1	15	None	0.000000	1.000000
1	16	None	1.000000	0.000000
1	18	None	1.000000	0.000000
1	20	None	1.000000	0.000000
1	21	None	0.000000	1.000000
1	24	None	1.000000	0.000000
1	36	None	1.000000	0.000000
1	42	None	1.000000	0.000000
1	54	None	1.000000	0.000000
1	78	None	1.000000	0.000000
1	102	None	1.000000	0.000000
1	160	None	1.000000	0.000000
1	210	None	1.000000	0.000000
2	None	None	0.000000	1.000000
2	2	None	0.000000	1.000000
2	3	None	0.000000	1.000000
2	4	None	1.000000	0.000000
2	6	None	0.000000	1.000000
2	8	None	1.000000	0.000000
2	9	None	0.000000	1.000000
2	12	None	1.000000	0.000000
