Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Geometry Building Type RECS	Dependency=HVAC Heating Type	Dependency=Vintage ACS	Option=Central AC	Option=Heat Pump	Option=None	Option=Room AC
1A	Mobile Home	Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
1A	Mobile Home	Ducted Heating	2050s	1.000000	0.000000	0.000000	0.000000
1A	Mobile Home	Non-Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
1A	Mobile Home	Non-Ducted Heating	2050s	0.816508	0.000000	0.008535	0.174957
1A	Mobile Home	None	2050s	0.816508	0.000000	0.008535	0.174957
1A	Multi-Family with 2 - 4 Units	Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
1A	Multi-Family with 2 - 4 Units	Ducted Heating	2050s	0.992747	0.000000	0.001319	0.005934
1A	Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
1A	Multi-Family with 2 - 4 Units	Non-Ducted Heating	2050s	1.000000	0.000000	0.000000	0.000000
1A	Multi-Family with 2 - 4 Units	None	2050s	1.000000	0.000000	0.000000	0.000000
1A	Multi-Family with 5+ Units	Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
1A	Multi-Family with 5+ Units	Ducted Heating	2050s	0.992747	0.000000	0.001319	0.005934
1A	Multi-Family with 5+ Units	Non-Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
1A	Multi-Family with 5+ Units	Non-Ducted Heating	2050s	1.000000	0.000000	0.000000	0.000000
1A	Multi-Family with 5+ Units	None	2050s	1.000000	0.000000	0.000000	0.000000
1A	Single-Family Attached	Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
1A	Single-Family Attached	Ducted Heating	2050s	0.989296	0.000000	0.000336	0.010367
1A	Single-Family Attached	Non-Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
1A	Single-Family Attached	Non-Ducted Heating	2050s	0.644578	0.000000	0.006292	0.349130
1A	Single-Family Attached	None	2050s	0.644578	0.000000	0.006292	0.349130
1A	Single-Family Detached	Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
1A	Single-Family Detached	Ducted Heating	2050s	0.989296	0.000000	0.000336	0.010367
1A	Single-Family Detached	Non-Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
1A	Single-Family Detached	Non-Ducted Heating	2050s	0.644578	0.000000	0.006292	0.349130
1A	Single-Family Detached	None	2050s	0.644578	0.000000	0.006292	0.349130
2A	Mobile Home	Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
2A	Mobile Home	Ducted Heating	2050s	1.000000	0.000000	0.000000	0.000000
2A	Mobile Home	Non-Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
2A	Mobile Home	Non-Ducted Heating	2050s	0.816508	0.000000	0.008535	0.174957
2A	Mobile Home	None	2050s	0.816508	0.000000	0.008535	0.174957
2A	Multi-Family with 2 - 4 Units	Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
2A	Multi-Family with 2 - 4 Units	Ducted Heating	2050s	0.992747	0.000000	0.001319	0.005934
2A	Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
2A	Multi-Family with 2 - 4 Units	Non-Ducted Heating	2050s	1.000000	0.000000	0.000000	0.000000
2A	Multi-Family with 2 - 4 Units	None	2050s	1.000000	0.000000	0.000000	0.000000
2A	Multi-Family with 5+ Units	Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
2A	Multi-Family with 5+ Units	Ducted Heating	2050s	0.992747	0.000000	0.001319	0.005934
2A	Multi-Family with 5+ Units	Non-Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
2A	Multi-Family with 5+ Units	Non-Ducted Heating	2050s	1.000000	0.000000	0.000000	0.000000
2A	Multi-Family with 5+ Units	None	2050s	1.000000	0.000000	0.000000	0.000000
2A	Single-Family Attached	Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
2A	Single-Family Attached	Ducted Heating	2050s	0.989296	0.000000	0.000336	0.010367
2A	Single-Family Attached	Non-Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
2A	Single-Family Attached	Non-Ducted Heating	2050s	0.644578	0.000000	0.006292	0.349130
2A	Single-Family Attached	None	2050s	0.644578	0.000000	0.006292	0.349130
2A	Single-Family Detached	Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
2A	Single-Family Detached	Ducted Heating	2050s	0.989296	0.000000	0.000336	0.010367
2A	Single-Family Detached	Non-Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
2A	Single-Family Detached	Non-Ducted Heating	2050s	0.644578	0.000000	0.006292	0.349130
2A	Single-Family Detached	None	2050s	0.644578	0.000000	0.006292	0.349130
2B	Mobile Home	Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
2B	Mobile Home	Ducted Heating	2050s	0.000000	0.000000	0.000000	1.000000
2B	Mobile Home	Non-Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
2B	Mobile Home	Non-Ducted Heating	2050s	0.500000	0.000000	0.000000	0.500000
2B	Mobile Home	None	2050s	0.500000	0.000000	0.000000	0.500000
2B	Multi-Family with 2 - 4 Units	Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
2B	Multi-Family with 2 - 4 Units	Ducted Heating	2050s	1.000000	0.000000	0.000000	0.000000
2B	Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
2B	Multi-Family with 2 - 4 Units	Non-Ducted Heating	2050s	1.000000	0.000000	0.000000	0.000000
2B	Multi-Family with 2 - 4 Units	None	2050s	1.000000	0.000000	0.000000	0.000000
2B	Multi-Family with 5+ Units	Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
2B	Multi-Family with 5+ Units	Ducted Heating	2050s	1.000000	0.000000	0.000000	0.000000
2B	Multi-Family with 5+ Units	Non-Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
2B	Multi-Family with 5+ Units	Non-Ducted Heating	2050s	1.000000	0.000000	0.000000	0.000000
2B	Multi-Family with 5+ Units	None	2050s	1.000000	0.000000	0.000000	0.000000
2B	Single-Family Attached	Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
2B	Single-Family Attached	Ducted Heating	2050s	0.981519	0.000000	0.003360	0.015121
2B	Single-Family Attached	Non-Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
2B	Single-Family Attached	Non-Ducted Heating	2050s	1.000000	0.000000	0.000000	0.000000
2B	Single-Family Attached	None	2050s	1.000000	0.000000	0.000000	0.000000
2B	Single-Family Detached	Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
2B	Single-Family Detached	Ducted Heating	2050s	0.981519	0.000000	0.003360	0.015121
2B	Single-Family Detached	Non-Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
2B	Single-Family Detached	Non-Ducted Heating	2050s	1.000000	0.000000	0.000000	0.000000
2B	Single-Family Detached	None	2050s	1.000000	0.000000	0.000000	0.000000
3A	Mobile Home	Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
3A	Mobile Home	Ducted Heating	2050s	1.000000	0.000000	0.000000	0.000000
3A	Mobile Home	Non-Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
3A	Mobile Home	Non-Ducted Heating	2050s	0.552083	0.000000	0.020833	0.427083
3A	Mobile Home	None	2050s	0.552083	0.000000	0.020833	0.427083
3A	Multi-Family with 2 - 4 Units	Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
3A	Multi-Family with 2 - 4 Units	Ducted Heating	2050s	0.982749	0.000000	0.003137	0.014115
3A	Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
3A	Multi-Family with 2 - 4 Units	Non-Ducted Heating	2050s	0.552083	0.000000	0.020833	0.427083
3A	Multi-Family with 2 - 4 Units	None	2050s	0.552083	0.000000	0.020833	0.427083
3A	Multi-Family with 5+ Units	Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
3A	Multi-Family with 5+ Units	Ducted Heating	2050s	0.982749	0.000000	0.003137	0.014115
3A	Multi-Family with 5+ Units	Non-Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
3A	Multi-Family with 5+ Units	Non-Ducted Heating	2050s	0.552083	0.000000	0.020833	0.427083
3A	Multi-Family with 5+ Units	None	2050s	0.552083	0.000000	0.020833	0.427083
3A	Single-Family Attached	Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
3A	Single-Family Attached	Ducted Heating	2050s	0.991637	0.000000	0.001521	0.006843
3A	Single-Family Attached	Non-Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
3A	Single-Family Attached	Non-Ducted Heating	2050s	0.636816	0.000000	0.004607	0.358575
3A	Single-Family Attached	None	2050s	0.636816	0.000000	0.004607	0.358575
3A	Single-Family Detached	Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
3A	Single-Family Detached	Ducted Heating	2050s	0.991637	0.000000	0.001521	0.006843
3A	Single-Family Detached	Non-Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
3A	Single-Family Detached	Non-Ducted Heating	2050s	0.636816	0.000000	0.004607	0.358575
3A	Single-Family Detached	None	2050s	0.636816	0.000000	0.004607	0.358575
3B	Mobile Home	Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
3B	Mobile Home	Ducted Heating	2050s	0.937928	0.000000	0.043344	0.018729
3B	Mobile Home	Non-Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
3B	Mobile Home	Non-Ducted Heating	2050s	0.546875	0.000000	0.316406	0.136719
3B	Mobile Home	None	2050s	0.546875	0.000000	0.316406	0.136719
3B	Multi-Family with 2 - 4 Units	Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
3B	Multi-Family with 2 - 4 Units	Ducted Heating	2050s	1.000000	0.000000	0.000000	0.000000
3B	Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
3B	Multi-Family with 2 - 4 Units	Non-Ducted Heating	2050s	0.942517	0.000000	0.040139	0.017344
3B	Multi-Family with 2 - 4 Units	None	2050s	0.942517	0.000000	0.040139	0.017344
3B	Multi-Family with 5+ Units	Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
3B	Multi-Family with 5+ Units	Ducted Heating	2050s	1.000000	0.000000	0.000000	0.000000
3B	Multi-Family with 5+ Units	Non-Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
3B	Multi-Family with 5+ Units	Non-Ducted Heating	2050s	0.942517	0.000000	0.040139	0.017344
3B	Multi-Family with 5+ Units	None	2050s	0.942517	0.000000	0.040139	0.017344
3B	Single-Family Attached	Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
3B	Single-Family Attached	Ducted Heating	2050s	0.940622	0.000000	0.017181	0.042198
3B	Single-Family Attached	Non-Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
3B	Single-Family Attached	Non-Ducted Heating	2050s	0.957656	0.000000	0.029568	0.012776
3B	Single-Family Attached	None	2050s	0.957656	0.000000	0.029568	0.012776
3B	Single-Family Detached	Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
3B	Single-Family Detached	Ducted Heating	2050s	0.940622	0.000000	0.017181	0.042198
3B	Single-Family Detached	Non-Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
3B	Single-Family Detached	Non-Ducted Heating	2050s	0.957656	0.000000	0.029568	0.012776
3B	Single-Family Detached	None	2050s	0.957656	0.000000	0.029568	0.012776
3C	Mobile Home	Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
3C	Mobile Home	Ducted Heating	2050s	0.515624	0.000000	0.105469	0.378906
3C	Mobile Home	Non-Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
3C	Mobile Home	Non-Ducted Heating	2050s	0.515624	0.000000	0.105469	0.378906
3C	Mobile Home	None	2050s	0.515624	0.000000	0.105469	0.378906
3C	Multi-Family with 2 - 4 Units	Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
3C	Multi-Family with 2 - 4 Units	Ducted Heating	2050s	0.306032	0.000000	0.177062	0.516906
3C	Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
3C	Multi-Family with 2 - 4 Units	Non-Ducted Heating	2050s	0.546875	0.000000	0.316406	0.136719
3C	Multi-Family with 2 - 4 Units	None	2050s	0.546875	0.000000	0.316406	0.136719
3C	Multi-Family with 5+ Units	Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
3C	Multi-Family with 5+ Units	Ducted Heating	2050s	0.306032	0.000000	0.177062	0.516906
3C	Multi-Family with 5+ Units	Non-Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
3C	Multi-Family with 5+ Units	Non-Ducted Heating	2050s	0.546875	0.000000	0.316406	0.136719
3C	Multi-Family with 5+ Units	None	2050s	0.546875	0.000000	0.316406	0.136719
3C	Single-Family Attached	Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
3C	Single-Family Attached	Ducted Heating	2050s	0.783514	0.000000	0.151167	0.065319
3C	Single-Family Attached	Non-Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
3C	Single-Family Attached	Non-Ducted Heating	2050s	0.546875	0.000000	0.316406	0.136719
3C	Single-Family Attached	None	2050s	0.546875	0.000000	0.316406	0.136719
3C	Single-Family Detached	Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
3C	Single-Family Detached	Ducted Heating	2050s	0.783514	0.000000	0.151167	0.065319
3C	Single-Family Detached	Non-Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
3C	Single-Family Detached	Non-Ducted Heating	2050s	0.546875	0.000000	0.316406	0.136719
3C	Single-Family Detached	None	2050s	0.546875	0.000000	0.316406	0.136719
4A	Mobile Home	Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
4A	Mobile Home	Ducted Heating	2050s	0.684667	0.000000	0.000000	0.315333
4A	Mobile Home	Non-Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
4A	Mobile Home	Non-Ducted Heating	2050s	0.000000	0.000000	0.000000	1.000000
4A	Mobile Home	None	2050s	0.000000	0.000000	0.000000	1.000000
4A	Multi-Family with 2 - 4 Units	Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
4A	Multi-Family with 2 - 4 Units	Ducted Heating	2050s	0.911819	0.000000	0.009013	0.079168
4A	Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
4A	Multi-Family with 2 - 4 Units	Non-Ducted Heating	2050s	0.249147	0.000000	0.041329	0.709524
4A	Multi-Family with 2 - 4 Units	None	2050s	0.249147	0.000000	0.041329	0.709524
4A	Multi-Family with 5+ Units	Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
4A	Multi-Family with 5+ Units	Ducted Heating	2050s	0.911819	0.000000	0.009013	0.079168
4A	Multi-Family with 5+ Units	Non-Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
4A	Multi-Family with 5+ Units	Non-Ducted Heating	2050s	0.249147	0.000000	0.041329	0.709524
4A	Multi-Family with 5+ Units	None	2050s	0.249147	0.000000	0.041329	0.709524
4A	Single-Family Attached	Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
4A	Single-Family Attached	Ducted Heating	2050s	0.979945	0.000000	0.005167	0.014888
4A	Single-Family Attached	Non-Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
4A	Single-Family Attached	Non-Ducted Heating	2050s	0.642054	0.000000	0.000000	0.357946
4A	Single-Family Attached	None	2050s	0.642054	0.000000	0.000000	0.357946
4A	Single-Family Detached	Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
4A	Single-Family Detached	Ducted Heating	2050s	0.979945	0.000000	0.005167	0.014888
4A	Single-Family Detached	Non-Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
4A	Single-Family Detached	Non-Ducted Heating	2050s	0.642054	0.000000	0.000000	0.357946
4A	Single-Family Detached	None	2050s	0.642054	0.000000	0.000000	0.357946
4B	Mobile Home	Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
4B	Mobile Home	Ducted Heating	2050s	0.937928	0.000000	0.043344	0.018729
4B	Mobile Home	Non-Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
4B	Mobile Home	Non-Ducted Heating	2050s	0.546875	0.000000	0.316406	0.136719
4B	Mobile Home	None	2050s	0.546875	0.000000	0.316406	0.136719
4B	Multi-Family with 2 - 4 Units	Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
4B	Multi-Family with 2 - 4 Units	Ducted Heating	2050s	1.000000	0.000000	0.000000	0.000000
4B	Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
4B	Multi-Family with 2 - 4 Units	Non-Ducted Heating	2050s	0.942517	0.000000	0.040139	0.017344
4B	Multi-Family with 2 - 4 Units	None	2050s	0.942517	0.000000	0.040139	0.017344
4B	Multi-Family with 5+ Units	Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
4B	Multi-Family with 5+ Units	Ducted Heating	2050s	1.000000	0.000000	0.000000	0.000000
4B	Multi-Family with 5+ Units	Non-Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
4B	Multi-Family with 5+ Units	Non-Ducted Heating	2050s	0.942517	0.000000	0.040139	0.017344
4B	Multi-Family with 5+ Units	None	2050s	0.942517	0.000000	0.040139	0.017344
4B	Single-Family Attached	Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
4B	Single-Family Attached	Ducted Heating	2050s	0.940622	0.000000	0.017181	0.042198
