Location,Undajusted,Household,Number of,Total
,Price,Consumption,Customers,Consumption
,[$/therm],[therms/home/yr],[#],[therms/yr]
AK,0.940719145,1768,119039,NA
AL,1.355685131,458,792084,NA
AR,1.088435374,604,556746,NA
AZ,1.655976676,352,1128264,NA
CA,1.105928086,485,10515162,NA
CO,0.759961127,851,1606602,NA
CT,1.211856171,924,487320,NA
DC,1.216715258,966,142819,NA
DE,1.283770651,710,147541,NA
FL,1.874635569,227,679265,NA
GA,1.463556851,642,1791256,NA
HI,3.887269193,202,25632,NA
IA,0.825072886,805,872980,NA
ID,0.837706511,746,336191,NA
IL,0.772594752,1159,3869308,NA
IN,0.819241983,874,1678158,NA
KS,1.027210884,756,853040,NA
KY,1.063168124,687,753531,NA
LA,1.040816327,435,886084,NA
MA,1.406219631,871,1390180,NA
MD,1.171039845,815,1057521,NA
ME,1.641399417,627,19571,NA
MI,0.853255588,1060,3172623,NA
MN,0.859086492,946,1413162,NA
MO,1.126336249,772,1352015,NA
MS,0.943634597,519,443025,NA
MT,0.797862002,821,253122,NA
NC,1.149659864,565,1095362,NA
ND,0.860058309,932,120056,NA
NE,0.868804665,804,512013,NA
NH,1.344995141,801,97855,NA
NJ,0.813411079,899,2601051,NA
NM,0.833819242,629,556905,NA
NV,1.148688047,522,758315,NA
NY,1.088435374,932,4303335,NA
OH,0.922254616,942,3262716,NA
OK,0.997084548,669,923650,NA
OR,1.053449951,664,674421,NA
PA,1.135082604,908,2631340,NA
RI,1.382896016,813,224103,NA
SC,1.227405248,455,561196,NA
SD,0.797862002,781,165694,NA
TN,0.941690962,583,1082102,NA
TX,1.034985423,494,4204004,NA
UT,0.944606414,800,794880,NA
VA,1.125364431,756,1113016,NA
VT,1.414965986,945,35929,NA
WA,1.031098154,805,1047319,NA
WI,0.840621963,827,1646644,NA
WV,1.016520894,786,347368,NA
WY,0.893100097,886,152439,NA
US,1.008746356,748,65253954,NA
,,,,
Software calcuation:,,,,
[Adjusted Price in $/Therm] = ([Unadjusted Price] - 12 * [Monthly Fixed Cost] / [Household Consumption]),,,,
,,,,
,,,,
Sources:,,,,
http://www.eia.gov/dnav/ng/ng_cons_sum_a_EPG0_vrs_mmcf_a.htm,,,,
http://www.eia.gov/dnav/ng/ng_cons_num_a_EPG0_VN3_Count_a.htm,,,,
Date of Latest Data: 2009,,,,
http://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PRS_DMcf_a.htm,,,,
Date of Latest Data: 2015,,,,
,,,,
EIA prices reported in $/Mcf. Converted to $/therm assuming EIA-reported national average of 10.29 therms/Mcf,,,,
"For states with NA, using previous year with data.",,,,
