"id","filename","station_name","state","country","wx_type","usafn","latitude","longitude","time_diff","elevation"
1,"USA_KS_Wichita-Mid.Continent.AP.724500_TMY3.epw","Wichita Mid Continent Ap","KS","USA","TMY3",724500,"37.65","-97.43","-6","402"
2,"USA_TN_Nashville.Intl.AP.723270_TMY3.epw","Nashville International Ap","TN","USA","TMY3",723270,"36.12","-86.68","-6","177"
3,"USA_FL_Orlando.Intl.AP.722050_TMY3.epw","Orlando Intl Arpt","FL","USA","TMY3",722050,"28.43","-81.33","-5","29"
4,"USA_PA_Pittsburgh.Intl.AP.725200_TMY3.epw","Pittsburgh International Ap","PA","USA","TMY3",725200,"40.5","-80.23","-5","350"
5,"USA_MO_Kansas.City.Intl.AP.724460_TMY3.epw","Kansas City IntL Arpt","MO","USA","TMY3",724460,"39.3","-94.72","-6","298"
6,"USA_FL_West.Palm.Beach.Intl.AP.722030_TMY3.epw","West Palm Beach Intl Arpt","FL","USA","TMY3",722030,"26.68","-80.1","-5","6"
7,"USA_MS_Meridian-Key.Field.722340_TMY3.epw","Meridian Key Field","MS","USA","TMY3",722340,"32.33","-88.75","-6","90"
8,"USA_CA_San.Francisco.Intl.AP.724940_TMY3.epw","San Francisco Intl Ap","CA","USA","TMY3",724940,"37.62","-122.4","-8","2"
9,"USA_VA_Richmond.Intl.AP.724010_TMY3.epw","Richmond International Ap","VA","USA","TMY3",724010,"37.52","-77.32","-5","50"
10,"USA_CA_Los.Angeles.Intl.AP.722950_TMY3.epw","Los Angeles Intl Arpt","CA","USA","TMY3",722950,"33.93","-118.4","-8","30"
11,"USA_VA_Lynchburg.Rgnl.AP-Preston.Glen.Field.724100_TMY3.epw","Lynchburg Regional Arpt","VA","USA","TMY3",724100,"37.33","-79.2","-5","286"
12,"USA_PA_Williamsport.Rgnl.AP.725140_TMY3.epw","Williamsport Regional Ap","PA","USA","TMY3",725140,"41.25","-76.92","-5","158"
13,"USA_IN_Indianapolis.Intl.AP.724380_TMY3.epw","Indianapolis Intl Ap","IN","USA","TMY3",724380,"39.72","-86.27","-5","241"
14,"USA_OK_Tulsa.Intl.AP.723560_TMY3.epw","Tulsa International Airport","OK","USA","TMY3",723560,"36.2","-95.88","-6","198"
15,"USA_PA_Harrisburg-Capital.City.AP.725118_TMY3.epw","Harrisburg Capital City Arpt","PA","USA","TMY3",725118,"40.22","-76.85","-5","104"
16,"USA_CA_Sacramento.Exec.AP.724830_TMY3.epw","Sacramento Executive Arpt","CA","USA","TMY3",724830,"38.5","-121.5","-8","5"
17,"USA_AZ_Flagstaff-Pulliam.AP.723755_TMY3.epw","Flagstaff Pulliam Arpt","AZ","USA","TMY3",723755,"35.13","-111.67","-7","2132"
18,"USA_TN_Knoxville-McGhee.Tyson.AP.723260_TMY3.epw","Knoxville Mcghee Tyson Ap","TN","USA","TMY3",723260,"35.82","-83.98","-5","293"
19,"USA_MO_St.Louis-Lambert.Intl.AP.724340_TMY3.epw","St Louis Lambert IntL Arpt","MO","USA","TMY3",724340,"38.75","-90.37","-6","173"
20,"USA_LA_Shreveport.Rgnl.AP.722480_TMY3.epw","Shreveport Regional Arpt","LA","USA","TMY3",722480,"32.45","-93.82","-6","77"
21,"USA_GA_Atlanta-Hartsfield-Jackson.Intl.AP.722190_TMY3.epw","Atlanta Hartsfield Intl Ap","GA","USA","TMY3",722190,"33.63","-84.43","-5","308"
22,"USA_CA_San.Diego-Lindbergh.Field.722900_TMY3.epw","San Diego Lindbergh Field","CA","USA","TMY3",722900,"32.73","-117.17","-8","4"
23,"USA_KY_Louisville-Standiford.Field.724230_TMY3.epw","Louisville Standiford Field","KY","USA","TMY3",724230,"38.18","-85.73","-5","147"
24,"USA_MI_Detroit.Metro.AP.725370_TMY3.epw","Detroit Metropolitan Arpt","MI","USA","TMY3",725370,"42.22","-83.35","-5","194"
25,"USA_MT_Missoula.Intl.AP.727730_TMY3.epw","Missoula International Ap","MT","USA","TMY3",727730,"46.92","-114.1","-7","973"
26,"USA_KY_Lexington-Bluegrass.AP.724220_TMY3.epw","Lexington Bluegrass Ap","KY","USA","TMY3",724220,"38.03","-84.6","-5","294"
27,"USA_AL_Birmingham.Muni.AP.722280_TMY3.epw","Birmingham Municipal Ap","AL","USA","TMY3",722280,"33.57","-86.75","-6","189"
28,"USA_TX_Corpus.Christi.Intl.AP.722510_TMY3.epw","Corpus Christi Intl Arpt  Ut","TX","USA","TMY3",722510,"27.88","-97.63","-6","6"
29,"USA_CA_Long.Beach-Daugherty.Field.722970_TMY3.epw","Long Beach Daugherty Fld","CA","USA","TMY3",722970,"33.83","-118.17","-8","8"
30,"USA_GA_Savannah.Intl.AP.722070_TMY3.epw","Savannah Intl Ap","GA","USA","TMY3",722070,"32.12","-81.2","-5","14"
31,"USA_TX_Houston-Bush.Intercontinental.AP.722430_TMY3.epw","Houston Bush Intercontinental","TX","USA","TMY3",722430,"30","-95.37","-6","29"
32,"USA_GA_Macon-Middle.Georgia.Rgnl.AP.722170_TMY3.epw","Macon Middle Ga Regional Ap","GA","USA","TMY3",722170,"32.68","-83.65","-5","108"
33,"USA_IL_Chicago-OHare.Intl.AP.725300_TMY3.epw","Chicago Ohare Intl Ap","IL","USA","TMY3",725300,"41.98","-87.92","-6","201"
34,"USA_WA_Seattle-Tacoma.Intl.AP.727930_TMY3.epw","Seattle Seattle Tacoma Intl A","WA","USA","TMY3",727930,"47.47","-122.32","-8","122"
35,"USA_IL_Moline-Quad.City.Intl.AP.725440_TMY3.epw","Moline Quad City Intl Ap","IL","USA","TMY3",725440,"41.47","-90.52","-6","180"
36,"USA_NY_Rochester-Greater.Rochester.Intl.AP.725290_TMY3.epw","Rochester Greater Rochester I","NY","USA","TMY3",725290,"43.12","-77.68","-5","183"
37,"USA_MN_St.Cloud.Muni.AP.726550_TMY3.epw","St Cloud Regional Arpt","MN","USA","TMY3",726550,"45.55","-94.05","-6","311"
38,"USA_TN_Memphis.Intl.AP.723340_TMY3.epw","Memphis International Ap","TN","USA","TMY3",723340,"35.07","-89.98","-6","81"
