Dependency=geometry_building_type_recs,Dependency=geometry_unit_cfa_bin,Dependency=vintage,100,101-124,125,126-199,200,201+,<100
single-family attached,0-499,1940s,0.446588,0.007061,0.218337,0.014028,0.161855,0.087755,0.064377
single-family attached,0-499,1950s,0.477432,0.004889,0.146809,0.030789,0.1724,0.06765,0.100032
single-family attached,0-499,1960s,0.564586,0.017464,0.191227,0.016826,0.131643,0.055859,0.022397
single-family attached,0-499,1970s,0.498065,0.008489,0.320035,0.018871,0.069402,0.042369,0.042769
single-family attached,0-499,1980s,0.407468,0.006054,0.418971,0.021647,0.07501,0.032483,0.038367
single-family attached,0-499,1990s,0.372133,0.005081,0.368995,0.018838,0.095389,0.035364,0.1042
single-family attached,0-499,2000s,0.21833,0.006912,0.31666,0.025106,0.309456,0.103561,0.019974
single-family attached,0-499,2010s,0.344318,0.006395,0.181537,0.018245,0.292446,0.104353,0.052707
single-family attached,0-499,<1940,0.493399,0.003789,0.174447,0.014645,0.14132,0.127884,0.044516
single-family attached,1000-1499,1940s,0.306682,0.012928,0.121821,0.038216,0.447907,0.021533,0.050914
single-family attached,1000-1499,1950s,0.335801,0.008886,0.103125,0.029628,0.457412,0.037088,0.02806
single-family attached,1000-1499,1960s,0.339237,0.031068,0.128246,0.030977,0.442718,0.017793,0.00996
single-family attached,1000-1499,1970s,0.471303,0.013369,0.138059,0.042163,0.280104,0.013365,0.041638
single-family attached,1000-1499,1980s,0.507417,0.018502,0.129135,0.026691,0.259624,0.01171,0.046921
single-family attached,1000-1499,1990s,0.319431,0.009197,0.103007,0.036048,0.449462,0.011901,0.070954
single-family attached,1000-1499,2000s,0.166302,0.010516,0.173881,0.049271,0.559855,0.02701,0.013165
single-family attached,1000-1499,2010s,0.220958,0.008635,0.061641,0.021643,0.626212,0.033604,0.027307
single-family attached,1000-1499,<1940,0.473389,0.007007,0.127333,0.022618,0.294074,0.037741,0.037839
single-family attached,1500-1999,1940s,0.544299,0.005244,0.06702,0.047401,0.301086,0.023549,0.011401
single-family attached,1500-1999,1950s,0.46683,0.005607,0.093579,0.04213,0.340474,0.028777,0.022602
single-family attached,1500-1999,1960s,0.444634,0.006664,0.072354,0.044222,0.404894,0.020473,0.006759
