Dependency=clothes_dryer,Dependency=cooking_range,Dependency=geometry_building_type_recs,Dependency=geometry_unit_cfa_bin,Dependency=hvac_cooling_type,Dependency=vintage,Dependency=water_heater_fuel_type,100,101-124,125,126-199,200,201+,<100
electricity,electricity,single-family attached,0-499,central air conditioner,1940s,electricity,0.035241,0.015645,0.276937,0.184607,0.404852,0.045717,0.037002
electricity,electricity,single-family attached,0-499,central air conditioner,1940s,non-electricity,0.192434,0.013458,0.47042,0.158811,0.106623,0.026423,0.031831
electricity,electricity,single-family attached,0-499,central air conditioner,1950s,electricity,0.0355,0.016353,0.316758,0.192962,0.351964,0.047786,0.038677
electricity,electricity,single-family attached,0-499,central air conditioner,1950s,non-electricity,0.181922,0.013202,0.504955,0.155785,0.086991,0.025919,0.031225
electricity,electricity,single-family attached,0-499,central air conditioner,1960s,electricity,0.101561,0.020785,0.236693,0.245271,0.285788,0.06074,0.049161
electricity,electricity,single-family attached,0-499,central air conditioner,1960s,non-electricity,0.411809,0.013278,0.298552,0.156679,0.06221,0.026068,0.031404
electricity,electricity,single-family attached,0-499,central air conditioner,1970s,electricity,0.072526,0.021894,0.127691,0.258349,0.403779,0.063979,0.051782
electricity,electricity,single-family attached,0-499,central air conditioner,1970s,non-electricity,0.380111,0.018077,0.208184,0.213315,0.102066,0.035491,0.042756
electricity,electricity,single-family attached,0-499,central air conditioner,1980s,electricity,0.066038,0.02048,0.347609,0.241669,0.215916,0.059848,0.048439
electricity,electricity,single-family attached,0-499,central air conditioner,1980s,non-electricity,0.275329,0.013452,0.450837,0.158737,0.043417,0.02641,0.031817
electricity,electricity,single-family attached,0-499,central air conditioner,1990s,electricity,0.050826,0.015343,0.220262,0.18105,0.451395,0.044836,0.036289
electricity,electricity,single-family attached,0-499,central air conditioner,1990s,non-electricity,0.27847,0.013244,0.375407,0.156275,0.119281,0.026001,0.031323
electricity,electricity,single-family attached,0-499,central air conditioner,2000s,electricity,0.034953,0.010552,0.129918,0.12451,0.644276,0.030834,0.024956
electricity,electricity,single-family attached,0-499,central air conditioner,2000s,non-electricity,0.259078,0.012321,0.299556,0.145393,0.23032,0.02419,0.029142
electricity,electricity,single-family attached,0-499,central air conditioner,2010s,electricity,0.040464,0.012215,0.175358,0.144139,0.563238,0.035695,0.028891
electricity,electricity,single-family attached,0-499,central air conditioner,2010s,non-electricity,0.260544,0.012391,0.351242,0.146215,0.175973,0.024327,0.029307
electricity,electricity,single-family attached,0-499,central air conditioner,<1940,electricity,0.031469,0.012594,0.180797,0.14861,0.55994,0.036803,0.029787
electricity,electricity,single-family attached,0-499,central air conditioner,<1940,non-electricity,0.211626,0.013343,0.37822,0.157446,0.181612,0.026195,0.031558
