Dependency=PUMA	Dependency=Geometry Building Type RECS	Dependency=Vintage	Option=Electricity	Option=Fuel Oil	Option=Natural Gas	Option=None	Option=Other Fuel	Option=Propane	Region
AL, 00100	Mobile Home	2050s	0.978088	0.000000	0.000000	0.000000	0.021912	0.000000	South
AL, 00100	Multi-Family with 2 - 4 Units	2050s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	South
AL, 00100	Multi-Family with 5+ Units	2050s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	South
AL, 00100	Single-Family Attached	2050s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	South
AL, 00100	Single-Family Detached	2050s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	South
AL, 00200	Mobile Home	2050s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	South
AL, 00200	Multi-Family with 2 - 4 Units	2050s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	South
AL, 00200	Multi-Family with 5+ Units	2050s	0.993436	0.000000	0.000000	0.003938	0.002626	0.000000	South
AL, 00200	Single-Family Attached	2050s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	South
AL, 00200	Single-Family Detached	2050s	0.982956	0.000000	0.000000	0.017043	0.000000	0.000000	South
AL, 00301	Mobile Home	2050s	0.980102	0.000000	0.000000	0.014440	0.005458	0.000000	South
AL, 00301	Multi-Family with 2 - 4 Units	2050s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	South
AL, 00301	Multi-Family with 5+ Units	2050s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	South
AL, 00301	Single-Family Attached	2050s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	South
AL, 00301	Single-Family Detached	2050s	0.988442	0.000000	0.000000	0.011558	0.000000	0.000000	South
AL, 00302	Mobile Home	2050s	0.980102	0.000000	0.000000	0.014440	0.005458	0.000000	South
AL, 00302	Multi-Family with 2 - 4 Units	2050s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	South
AL, 00302	Multi-Family with 5+ Units	2050s	0.986577	0.000000	0.000000	0.000000	0.013423	0.000000	South
AL, 00302	Single-Family Attached	2050s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	South
AL, 00302	Single-Family Detached	2050s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	South
AL, 00400	Mobile Home	2050s	0.980102	0.000000	0.000000	0.014440	0.005458	0.000000	South
AL, 00400	Multi-Family with 2 - 4 Units	2050s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	South
AL, 00400	Multi-Family with 5+ Units	2050s	0.993436	0.000000	0.000000	0.003938	0.002626	0.000000	South
AL, 00400	Single-Family Attached	2050s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	South
AL, 00400	Single-Family Detached	2050s	0.926045	0.000000	0.000000	0.003215	0.070740	0.000000	South
AL, 00500	Mobile Home	2050s	0.980102	0.000000	0.000000	0.014440	0.005458	0.000000	South
AL, 00500	Multi-Family with 2 - 4 Units	2050s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	South
AL, 00500	Multi-Family with 5+ Units	2050s	0.993436	0.000000	0.000000	0.003938	0.002626	0.000000	South
AL, 00500	Single-Family Attached	2050s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	South
AL, 00500	Single-Family Detached	2050s	0.973892	0.000000	0.000000	0.000000	0.026108	0.000000	South
AL, 00600	Mobile Home	2050s	0.980102	0.000000	0.000000	0.014440	0.005458	0.000000	South
AL, 00600	Multi-Family with 2 - 4 Units	2050s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	South
AL, 00600	Multi-Family with 5+ Units	2050s	0.993436	0.000000	0.000000	0.003938	0.002626	0.000000	South
AL, 00600	Single-Family Attached	2050s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	South
AL, 00600	Single-Family Detached	2050s	0.971600	0.000000	0.000000	0.000000	0.028401	0.000000	South
AL, 00700	Mobile Home	2050s	0.956427	0.000000	0.000000	0.043573	0.000000	0.000000	South
AL, 00700	Multi-Family with 2 - 4 Units	2050s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	South
AL, 00700	Multi-Family with 5+ Units	2050s	0.993436	0.000000	0.000000	0.003938	0.002626	0.000000	South
AL, 00700	Single-Family Attached	2050s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	South
AL, 00700	Single-Family Detached	2050s	0.973145	0.000000	0.000000	0.000000	0.026854	0.000000	South
AL, 00800	Mobile Home	2050s	0.863830	0.000000	0.000000	0.000000	0.136170	0.000000	South
AL, 00800	Multi-Family with 2 - 4 Units	2050s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	South
AL, 00800	Multi-Family with 5+ Units	2050s	0.993436	0.000000	0.000000	0.003938	0.002626	0.000000	South
AL, 00800	Single-Family Attached	2050s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	South
AL, 00800	Single-Family Detached	2050s	0.972497	0.000000	0.000000	0.012651	0.014851	0.000000	South
AL, 00900	Mobile Home	2050s	0.980102	0.000000	0.000000	0.014440	0.005458	0.000000	South
AL, 00900	Multi-Family with 2 - 4 Units	2050s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	South
AL, 00900	Multi-Family with 5+ Units	2050s	0.993436	0.000000	0.000000	0.003938	0.002626	0.000000	South
AL, 00900	Single-Family Attached	2050s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	South
AL, 00900	Single-Family Detached	2050s	0.999999	0.000000	0.000000	0.000000	0.000000	0.000000	South
AL, 01000	Mobile Home	2050s	0.956522	0.000000	0.000000	0.043478	0.000000	0.000000	South
AL, 01000	Multi-Family with 2 - 4 Units	2050s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	South
AL, 01000	Multi-Family with 5+ Units	2050s	0.993436	0.000000	0.000000	0.003938	0.002626	0.000000	South
AL, 01000	Single-Family Attached	2050s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	South
AL, 01000	Single-Family Detached	2050s	0.979013	0.000000	0.000000	0.000000	0.020986	0.000000	South
AL, 01100	Mobile Home	2050s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	South
AL, 01100	Multi-Family with 2 - 4 Units	2050s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	South
AL, 01100	Multi-Family with 5+ Units	2050s	0.993436	0.000000	0.000000	0.003938	0.002626	0.000000	South
AL, 01100	Single-Family Attached	2050s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	South
AL, 01100	Single-Family Detached	2050s	0.978916	0.000000	0.000000	0.000000	0.021084	0.000000	South
AL, 01200	Mobile Home	2050s	0.824490	0.000000	0.000000	0.175510	0.000000	0.000000	South
AL, 01200	Multi-Family with 2 - 4 Units	2050s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	South
AL, 01200	Multi-Family with 5+ Units	2050s	0.975830	0.000000	0.000000	0.024169	0.000000	0.000000	South
AL, 01200	Single-Family Attached	2050s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	South
AL, 01200	Single-Family Detached	2050s	0.999999	0.000000	0.000000	0.000000	0.000000	0.000000	South
AL, 01301	Mobile Home	2050s	0.980102	0.000000	0.000000	0.014440	0.005458	0.000000	South
AL, 01301	Multi-Family with 2 - 4 Units	2050s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	South
AL, 01301	Multi-Family with 5+ Units	2050s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	South
AL, 01301	Single-Family Attached	2050s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	South
AL, 01301	Single-Family Detached	2050s	0.986789	0.000000	0.000000	0.005423	0.007789	0.000000	South
AL, 01302	Mobile Home	2050s	0.980102	0.000000	0.000000	0.014440	0.005458	0.000000	South
AL, 01302	Multi-Family with 2 - 4 Units	2050s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	South
AL, 01302	Multi-Family with 5+ Units	2050s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	South
AL, 01302	Single-Family Attached	2050s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	South
AL, 01302	Single-Family Detached	2050s	0.986789	0.000000	0.000000	0.005423	0.007789	0.000000	South
AL, 01303	Mobile Home	2050s	0.980102	0.000000	0.000000	0.014440	0.005458	0.000000	South
AL, 01303	Multi-Family with 2 - 4 Units	2050s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	South
