panel_bin,geometry_unit_cfa_bin,mean,median,mode,count
<100,500-749,59.23076923,60,60,13
<100,750-999,74.87179487,90,90,39
<100,1000-1499,74.17763158,90,90,152
<100,1500-1999,72.42857143,70,90,140
<100,2000-2499,64.23076923,60,60,91
<100,2500-2999,63.5,60,50,30
<100,3000-3999,69.6875,65,90,16
<100,4000+,67.14285714,70,[60. 80.],7
101-124,500-749,116.6666667,120,120,3
101-124,750-999,115,115,[110. 120.],6
101-124,1000-1499,117.25,120,120,40
101-124,1500-1999,114.6666667,110,110,45
101-124,2000-2499,117.2727273,120,120,22
101-124,2500-2999,116.6666667,120,120,9
101-124,3000-3999,117.5,120,120,4
101-124,4000+,120,120,120,2
126-199,500-749,158.3333333,150,150,3
126-199,750-999,153.8541667,150,150,48
126-199,1000-1499,152.5840336,150,150,238
126-199,1500-1999,153.4006211,150,150,322
126-199,2000-2499,153.8737201,150,150,293
126-199,2500-2999,155.4427083,150,150,192
126-199,3000-3999,155.2592593,150,150,135
126-199,4000+,154.2857143,150,150,35
201+,500-749,365.3571429,320,[220. 225. 650.],14
201+,750-999,375.5263158,300,250,38
201+,1000-1499,327.459893,250,220,187
201+,1500-1999,295.456621,240,220,219
201+,2000-2499,319.7586207,250,220,145
201+,2500-2999,321.4893617,245,[240. 250.],94
201+,3000-3999,355.75,250,400,100
201+,4000+,355.4487179,400,400,78
