,sqft,geometry_building_type_recs_simp__Single-Family,heating_fuel_simp__non_Electricity,vintage__1940s,vintage__1950s,vintage__1960s,vintage__1970s,vintage__1980s,vintage__1990s,vintage__2000s,vintage__2010s,vintage__2020s,vintage__lt_1940,panel_amp_pre_bin_7,panel_amp_pre
14294,3288.0,True,True,False,False,False,False,False,True,False,False,False,False,200,200.0
4376,1588.0,True,True,False,False,False,False,False,True,False,False,False,False,200,200.0
16369,8692.0,True,True,True,False,False,False,False,False,False,False,False,False,100,100.0
36714,2424.0,True,True,False,True,False,False,False,False,False,False,False,False,100,100.0
11741,2088.0,True,True,False,False,False,False,False,True,False,False,False,False,100,100.0
5862,1551.0,True,True,False,False,False,True,False,False,False,False,False,False,200,200.0
18642,2989.0,True,True,False,False,False,True,False,False,False,False,False,False,200,200.0
13692,2536.0,True,True,False,False,False,False,False,False,True,False,False,False,200,200.0
16981,2400.0,True,True,False,False,False,False,True,False,False,False,False,False,126-199,150.0
31489,1617.0,True,True,False,False,False,False,False,False,False,False,False,True,100,100.0
36527,1120.0,True,True,False,False,False,False,False,False,False,False,False,True,100,100.0
21376,712.0,True,True,False,True,False,False,False,False,False,False,False,False,200,200.0
3016,2416.0,True,True,False,False,False,False,False,False,False,False,False,True,100,100.0
13607,1400.0,True,True,False,False,False,False,False,False,True,False,False,False,100,100.0
16543,2043.0,True,True,False,False,False,False,False,False,True,False,False,False,200,200.0
30370,1550.0,True,True,False,False,False,True,False,False,False,False,False,False,200,200.0
7433,2455.0,True,True,False,False,False,False,False,False,False,False,False,True,100,100.0
32740,2003.0,True,True,False,False,False,False,False,False,False,False,False,True,100,100.0
9643,2008.0,True,True,False,False,True,False,False,False,False,False,False,False,100,100.0
10592,2420.0,True,True,False,False,False,False,False,True,False,False,False,False,200,200.0
34153,1794.0,True,True,False,True,False,False,False,False,False,False,False,False,100,100.0
13743,2208.0,True,True,False,False,False,False,True,False,False,False,False,False,200,200.0
16561,1352.0,True,True,False,False,True,False,False,False,False,False,False,False,100,100.0
36185,1863.0,True,True,False,False,False,False,False,False,False,False,False,True,200,200.0
35130,2637.0,True,True,False,False,False,False,False,False,False,False,False,True,100,100.0
26561,1480.0,True,True,False,True,False,False,False,False,False,False,False,False,100,100.0
7592,1080.0,True,True,False,True,False,False,False,False,False,False,False,False,100,100.0
30436,2000.0,True,True,False,True,False,False,False,False,False,False,False,False,200,200.0
19223,2552.0,True,True,False,False,False,False,False,True,False,False,False,False,200,200.0
23193,1916.0,True,True,False,True,False,False,False,False,False,False,False,False,201+,400.0
33079,1748.0,True,True,False,False,False,False,False,False,False,False,False,True,100,100.0
27702,1056.0,True,True,False,False,False,False,False,False,False,False,False,True,100,100.0
5807,1998.0,True,True,False,True,False,False,False,False,False,False,False,False,200,200.0
33322,1464.0,True,True,False,False,False,False,False,False,False,False,False,True,100,100.0
20362,1715.0,True,True,False,False,False,False,True,False,False,False,False,False,200,200.0
32939,2832.0,True,True,False,False,False,False,False,False,False,False,False,True,200,200.0
17275,3051.0,True,True,False,False,False,False,False,False,False,False,False,True,200,200.0
30857,1750.0,True,True,False,False,False,False,False,False,False,False,False,True,200,200.0
17838,1124.0,True,True,False,True,False,False,False,False,False,False,False,False,125,125.0
36575,2623.0,True,True,True,False,False,False,False,False,False,False,False,False,100,100.0
5896,1144.0,True,True,False,False,True,False,False,False,False,False,False,False,100,100.0
36586,2351.0,True,True,True,False,False,False,False,False,False,False,False,False,100,100.0
4172,1080.0,True,True,False,True,False,False,False,False,False,False,False,False,200,200.0
36011,2452.0,True,True,False,False,False,False,False,False,False,False,False,True,100,100.0
23593,1200.0,True,True,False,False,False,False,True,False,False,False,False,False,lt_100,90.0
8315,2038.0,True,True,False,False,True,False,False,False,False,False,False,False,200,200.0
31076,2520.0,True,True,False,False,False,False,False,False,False,False,False,True,100,100.0
21282,2053.0,True,True,False,False,False,False,False,True,False,False,False,False,200,200.0
30529,1400.0,True,True,False,False,False,False,False,True,False,False,False,False,200,200.0
33861,1512.0,True,True,False,False,False,False,False,False,False,False,False,True,100,100.0
7628,1339.0,True,True,False,False,False,False,False,False,False,False,False,True,200,200.0
37044,1773.0,True,True,False,False,False,False,False,False,False,False,False,True,100,100.0
31389,2440.0,True,True,False,False,False,False,False,False,False,False,False,True,100,100.0
29167,1190.0,True,True,False,False,False,False,True,False,False,False,False,False,200,200.0
7074,2070.0,True,True,False,True,False,False,False,False,False,False,False,False,200,200.0
24029,1184.0,True,True,True,False,False,False,False,False,False,False,False,False,100,100.0
8000,1140.0,True,True,True,False,False,False,False,False,False,False,False,False,200,200.0
12874,1980.0,True,True,False,False,False,True,False,False,False,False,False,False,100,100.0
26708,1417.0,True,True,False,True,False,False,False,False,False,False,False,False,200,200.0
34962,992.0,True,True,False,False,False,False,False,False,False,False,False,True,100,100.0
36075,2510.0,True,True,False,False,False,False,False,False,False,False,False,True,126-199,150.0
24976,1462.0,True,True,False,False,False,True,False,False,False,False,False,False,100,100.0
5687,1704.0,True,True,False,False,False,False,False,False,False,False,False,True,200,200.0
15515,1898.0,True,True,False,False,False,False,False,True,False,False,False,False,100,100.0
30031,750.0,True,True,False,False,False,False,False,False,False,False,False,True,125,125.0
13197,2912.0,True,True,False,False,False,False,False,False,True,False,False,False,100,100.0
35853,2654.0,True,True,False,False,False,False,False,False,False,False,False,True,100,100.0
27068,1150.0,True,True,False,False,False,False,True,False,False,False,False,False,125,125.0
22238,1600.0,True,True,False,True,False,False,False,False,False,False,False,False,125,125.0
23295,1220.0,True,True,False,False,False,False,False,False,False,False,False,True,200,200.0
7160,3032.0,True,True,False,False,False,False,False,False,False,False,False,True,200,200.0
34526,2477.0,True,True,False,False,False,False,False,False,False,False,False,True,100,100.0
22428,1497.0,True,True,True,False,False,False,False,False,False,False,False,False,100,100.0
16323,1007.0,True,True,False,False,False,False,False,False,False,False,False,True,125,125.0
21942,1114.0,True,True,False,False,False,False,False,False,False,False,False,True,100,100.0
18313,4000.0,True,True,False,False,False,False,False,False,True,False,False,False,200,200.0
20113,1290.0,True,True,False,False,False,False,True,False,False,False,False,False,100,100.0
13873,5231.0,True,True,False,False,False,True,False,False,False,False,False,False,200,200.0
32483,1745.0,True,True,False,False,False,False,False,False,False,False,False,True,100,100.0
14445,1359.0,True,True,False,False,True,False,False,False,False,False,False,False,101-124,120.0
13945,2200.0,True,True,False,False,False,False,True,False,False,False,False,False,100,100.0
35565,2858.0,True,True,False,False,False,False,False,False,False,False,False,True,100,100.0
11072,2259.0,True,True,False,False,False,False,False,False,True,False,False,False,200,200.0
13507,1709.0,True,True,False,False,False,True,False,False,False,False,False,False,100,100.0
20719,1890.0,True,True,False,False,False,True,False,False,False,False,False,False,201+,240.0
22021,553.0,True,True,False,False,False,False,False,False,False,False,False,True,201+,650.0
24216,1760.0,True,True,False,True,False,False,False,False,False,False,False,False,100,100.0
30145,1800.0,True,True,False,False,False,True,False,False,False,False,False,False,126-199,150.0
4498,1886.0,True,True,False,True,False,False,False,False,False,False,False,False,100,100.0
26796,1575.0,True,True,False,False,True,False,False,False,False,False,False,False,200,200.0
20136,3441.0,True,True,False,False,False,False,False,True,False,False,False,False,100,100.0
16975,1388.0,True,True,False,True,False,False,False,False,False,False,False,False,201+,220.0
8922,1950.0,True,True,False,False,False,False,False,True,False,False,False,False,200,200.0
22001,1235.0,True,True,False,False,True,False,False,False,False,False,False,False,125,125.0
22122,1618.0,True,True,False,False,True,False,False,False,False,False,False,False,100,100.0
13597,3636.0,True,True,False,False,False,False,False,False,True,False,False,False,100,100.0
