display_name,display_name_short,export,maximum,measure_id,metadata_id,minimum,name,objective_function,objective_function_group,objective_function_index,output,perturbable,pivot,static_value,units,value_type,visualize,measure_name,measure_display_name,type_of_variable
Building ID,building_id,true,20000,e645a2c5-bfba-465b-99e5-8ace08000a16,,1,build_existing_model.building_id,false,,,false,false,true,0,,integer,true,build_existing_model,Build Existing Model,pivot
ceiling_fan,ceiling_fan,true,,491b49d8-af78-49e3-b9d7-7d3be3a734d0,,,building_characteristics_report.ceiling_fan,false,,,true,false,false,,,string,true,building_characteristics_report,Building Characteristics Report,output
clothes_dryer,clothes_dryer,true,,491b49d8-af78-49e3-b9d7-7d3be3a734d0,,,building_characteristics_report.clothes_dryer,false,,,true,false,false,,,string,true,building_characteristics_report,Building Characteristics Report,output
clothes_washer,clothes_washer,true,,491b49d8-af78-49e3-b9d7-7d3be3a734d0,,,building_characteristics_report.clothes_washer,false,,,true,false,false,,,string,true,building_characteristics_report,Building Characteristics Report,output
cooking_range,cooking_range,true,,491b49d8-af78-49e3-b9d7-7d3be3a734d0,,,building_characteristics_report.cooking_range,false,,,true,false,false,,,string,true,building_characteristics_report,Building Characteristics Report,output
cooling_setpoint,cooling_setpoint,true,,491b49d8-af78-49e3-b9d7-7d3be3a734d0,,,building_characteristics_report.cooling_setpoint,false,,,true,false,false,,,string,true,building_characteristics_report,Building Characteristics Report,output
dehumidifier,dehumidifier,true,,491b49d8-af78-49e3-b9d7-7d3be3a734d0,,,building_characteristics_report.dehumidifier,false,,,true,false,false,,,string,true,building_characteristics_report,Building Characteristics Report,output
dishwasher,dishwasher,true,,491b49d8-af78-49e3-b9d7-7d3be3a734d0,,,building_characteristics_report.dishwasher,false,,,true,false,false,,,string,true,building_characteristics_report,Building Characteristics Report,output
door_area,door_area,true,,491b49d8-af78-49e3-b9d7-7d3be3a734d0,,,building_characteristics_report.door_area,false,,,true,false,false,,,string,true,building_characteristics_report,Building Characteristics Report,output
doors,doors,true,,491b49d8-af78-49e3-b9d7-7d3be3a734d0,,,building_characteristics_report.doors,false,,,true,false,false,,,string,true,building_characteristics_report,Building Characteristics Report,output
ducts,ducts,true,,491b49d8-af78-49e3-b9d7-7d3be3a734d0,,,building_characteristics_report.ducts,false,,,true,false,false,,,string,true,building_characteristics_report,Building Characteristics Report,output
eaves,eaves,true,,491b49d8-af78-49e3-b9d7-7d3be3a734d0,,,building_characteristics_report.eaves,false,,,true,false,false,,,string,true,building_characteristics_report,Building Characteristics Report,output
exterior_finish,exterior_finish,true,,491b49d8-af78-49e3-b9d7-7d3be3a734d0,,,building_characteristics_report.exterior_finish,false,,,true,false,false,,,string,true,building_characteristics_report,Building Characteristics Report,output
floor_covering,floor_covering,true,,491b49d8-af78-49e3-b9d7-7d3be3a734d0,,,building_characteristics_report.floor_covering,false,,,true,false,false,,,string,true,building_characteristics_report,Building Characteristics Report,output
floor_sheathing,floor_sheathing,true,,491b49d8-af78-49e3-b9d7-7d3be3a734d0,,,building_characteristics_report.floor_sheathing,false,,,true,false,false,,,string,true,building_characteristics_report,Building Characteristics Report,output
geometry_foundation_type,geometry_foundation_type,true,,491b49d8-af78-49e3-b9d7-7d3be3a734d0,,,building_characteristics_report.geometry_foundation_type,false,,,true,false,false,,,string,true,building_characteristics_report,Building Characteristics Report,output
geometry_garage,geometry_garage,true,,491b49d8-af78-49e3-b9d7-7d3be3a734d0,,,building_characteristics_report.geometry_garage,false,,,true,false,false,,,string,true,building_characteristics_report,Building Characteristics Report,output
geometry_heated_basement,geometry_heated_basement,true,,491b49d8-af78-49e3-b9d7-7d3be3a734d0,,,building_characteristics_report.geometry_heated_basement,false,,,true,false,false,,,string,true,building_characteristics_report,Building Characteristics Report,output
geometry_house_size,geometry_house_size,true,,491b49d8-af78-49e3-b9d7-7d3be3a734d0,,,building_characteristics_report.geometry_house_size,false,,,true,false,false,,,string,true,building_characteristics_report,Building Characteristics Report,output
geometry_stories,geometry_stories,true,,491b49d8-af78-49e3-b9d7-7d3be3a734d0,,,building_characteristics_report.geometry_stories,false,,,true,false,false,,,string,true,building_characteristics_report,Building Characteristics Report,output
heating_fuel,heating_fuel,true,,491b49d8-af78-49e3-b9d7-7d3be3a734d0,,,building_characteristics_report.heating_fuel,false,,,true,false,false,,,string,true,building_characteristics_report,Building Characteristics Report,output
heating_setpoint,heating_setpoint,true,,491b49d8-af78-49e3-b9d7-7d3be3a734d0,,,building_characteristics_report.heating_setpoint,false,,,true,false,false,,,string,true,building_characteristics_report,Building Characteristics Report,output
hot_water_distribution,hot_water_distribution,true,,491b49d8-af78-49e3-b9d7-7d3be3a734d0,,,building_characteristics_report.hot_water_distribution,false,,,true,false,false,,,string,true,building_characteristics_report,Building Characteristics Report,output
hot_water_fixtures,hot_water_fixtures,true,,491b49d8-af78-49e3-b9d7-7d3be3a734d0,,,building_characteristics_report.hot_water_fixtures,false,,,true,false,false,,,string,true,building_characteristics_report,Building Characteristics Report,output
hvac_sizing,hvac_sizing,true,,491b49d8-af78-49e3-b9d7-7d3be3a734d0,,,building_characteristics_report.hvac_sizing,false,,,true,false,false,,,string,true,building_characteristics_report,Building Characteristics Report,output
hvac_system_combined,hvac_system_combined,true,,491b49d8-af78-49e3-b9d7-7d3be3a734d0,,,building_characteristics_report.hvac_system_combined,false,,,true,false,false,,,string,true,building_characteristics_report,Building Characteristics Report,output
hvac_system_cooling,hvac_system_cooling,true,,491b49d8-af78-49e3-b9d7-7d3be3a734d0,,,building_characteristics_report.hvac_system_cooling,false,,,true,false,false,,,string,true,building_characteristics_report,Building Characteristics Report,output
hvac_system_cooling_type,hvac_system_cooling_type,true,,491b49d8-af78-49e3-b9d7-7d3be3a734d0,,,building_characteristics_report.hvac_system_cooling_type,false,,,true,false,false,,,string,true,building_characteristics_report,Building Characteristics Report,output
hvac_system_heating_electricity,hvac_system_heating_electricity,true,,491b49d8-af78-49e3-b9d7-7d3be3a734d0,,,building_characteristics_report.hvac_system_heating_electricity,false,,,true,false,false,,,string,true,building_characteristics_report,Building Characteristics Report,output
hvac_system_heating_fuel_oil,hvac_system_heating_fuel_oil,true,,491b49d8-af78-49e3-b9d7-7d3be3a734d0,,,building_characteristics_report.hvac_system_heating_fuel_oil,false,,,true,false,false,,,string,true,building_characteristics_report,Building Characteristics Report,output
hvac_system_heating_natural_gas,hvac_system_heating_natural_gas,true,,491b49d8-af78-49e3-b9d7-7d3be3a734d0,,,building_characteristics_report.hvac_system_heating_natural_gas,false,,,true,false,false,,,string,true,building_characteristics_report,Building Characteristics Report,output
hvac_system_heating_none,hvac_system_heating_none,true,,491b49d8-af78-49e3-b9d7-7d3be3a734d0,,,building_characteristics_report.hvac_system_heating_none,false,,,true,false,false,,,string,true,building_characteristics_report,Building Characteristics Report,output
hvac_system_heating_other_fuel,hvac_system_heating_other_fuel,true,,491b49d8-af78-49e3-b9d7-7d3be3a734d0,,,building_characteristics_report.hvac_system_heating_other_fuel,false,,,true,false,false,,,string,true,building_characteristics_report,Building Characteristics Report,output
hvac_system_heating_propane,hvac_system_heating_propane,true,,491b49d8-af78-49e3-b9d7-7d3be3a734d0,,,building_characteristics_report.hvac_system_heating_propane,false,,,true,false,false,,,string,true,building_characteristics_report,Building Characteristics Report,output
