Hour of the year,Hour of the day,Day of the year,Month,AZNMc,CAMXc,ERCTc,FRCCc,MROEc,MROWc,NEWEc,NWPPc,NYSTc,RFCEc,RFCMc,RFCWc,RMPAc,SPNOc,SPSOc,SRMVc,SRMWc,SRSOc,SRTVc,SRVCc
0,0,1,1,271.7207964,269.9688882,285.3874572,313.7336098,338.2922373,332.981055,261.8550949,257.8252374,202.0690812,330.2000978,274.5918213,347.9686127,271.3886878,338.0663391,299.7389006,284.1489214,350.5715977,331.0320681,292.3386545,320.4928244
1,1,1,1,272.1562412,275.2242089,286.6561204,312.891178,338.1276192,332.0433129,262.4320435,257.9340374,202.9147524,330.6411313,273.8041525,347.1407434,274.3033416,328.46368,295.3245043,282.2037983,346.4322694,331.0052488,291.1174988,316.7753285
2,2,1,1,273.261563,277.5925981,284.983299,313.1133353,337.7634566,332.0816216,262.5518079,256.5594138,201.1654642,330.188757,277.0334466,345.8195608,270.058118,331.1552743,290.9846278,279.3976204,352.0180374,329.8194151,289.5934745,316.1985867
3,3,1,1,275.3245343,273.7103532,285.6045775,306.5391482,340.4126668,347.4211076,260.2260419,255.3786753,203.4553688,330.4966542,278.9386295,347.5272745,266.8058999,335.6625498,298.4610965,282.9987748,352.2298965,326.0031302,290.7256841,315.2722173
4,4,1,1,271.7465872,266.1370358,286.4753398,302.4656162,347.3170121,343.9228966,262.215118,253.2693062,200.2037867,339.6237811,274.3450058,354.1824219,258.0455317,337.9142358,297.517567,282.4058971,349.1094283,326.6592474,286.994765,316.8780432
5,5,1,1,269.4413419,258.3024075,291.4673665,307.3548046,344.9864703,333.7205789,263.8838802,253.8884238,198.5007879,353.5408692,268.1840024,364.4660425,252.6668781,336.7303898,302.5376634,283.3227277,347.7458389,328.8641525,284.8330639,322.4917929
6,6,1,1,266.3982354,254.0711335,292.3319457,295.6187296,339.9238155,326.1131028,268.6834116,253.3994007,198.8739719,367.5331666,266.5890393,370.0529896,246.7081699,333.8335109,303.2601121,282.2541193,336.9337526,329.1687743,282.3654377,327.8200653
7,7,1,1,257.3389793,233.9168489,272.7480995,262.7448191,270.4520848,288.8389604,256.8289217,236.6120652,187.7602706,337.4694237,265.2647554,352.9306763,249.3883649,298.0203766,285.3512179,247.0437321,268.0392696,326.1017194,254.992025,317.0503066
8,8,1,1,235.5830868,204.5905495,219.8632034,207.5635082,216.5144874,215.2192566,227.2670996,212.1133012,160.0330455,258.246428,249.874623,259.0065728,243.6179292,236.3314224,239.3757889,215.010679,222.2980205,247.6628987,234.4425962,253.7355359
9,9,1,1,226.6151286,205.7863069,212.7240889,191.3088424,212.0887729,203.7068894,222.4006317,209.0631019,147.2571499,223.4005735,236.3918913,216.2578079,224.7967152,230.6035804,222.673024,205.1168815,213.8457052,206.8698366,229.8625281,213.7204137
10,10,1,1,226.8500304,205.2454579,210.5157558,186.7220982,206.0312742,199.2002251,222.402641,205.9161603,143.3596879,216.5901739,232.8617126,204.9065739,223.2962621,235.5895541,219.0579397,199.7984073,211.5814599,194.5676926,227.1242534,207.0797479
11,11,1,1,225.8936845,203.2262103,208.8887863,183.1587008,199.6066075,198.1922988,226.243973,205.2240658,139.8789292,208.0179861,230.418101,195.9876537,230.7899409,228.6829891,216.5107765,196.2065339,206.6825553,192.5132613,224.9404392,204.6001896
12,12,1,1,224.4900475,203.8571968,204.9740007,185.8538843,199.0430832,195.524181,224.9626835,205.421871,140.3693498,203.6192984,229.8372694,189.7174585,230.338194,228.3342651,209.894436,194.1463793,206.5636425,195.5165012,221.8188796,201.8169877
13,13,1,1,224.6980323,203.2141751,208.1550096,185.6825963,199.0853385,191.6315049,224.4851928,207.1749669,139.4874504,205.5438823,230.5097444,192.8668086,232.2468635,234.518778,215.5096086,197.1629298,213.0366919,196.4493238,220.8429121,203.0116352
14,14,1,1,225.6631332,206.4980536,209.1951441,184.1663791,207.5199809,191.5060122,230.5000805,210.9769892,145.1918183,210.9203497,231.8100029,199.1811764,233.3597154,230.2522871,215.7422526,198.5354528,215.8027511,193.3706657,225.9722769,206.3152636
15,15,1,1,233.2707378,220.0182216,208.6975674,191.7246834,261.3538754,211.412369,252.9143522,223.1906331,169.1515305,230.5246905,234.136599,209.3074263,245.4675091,247.488302,219.1024793,202.3075886,256.4996482,204.3848037,240.5311845,217.3276688
