Hour of the year,Hour of the day,Day of the year,Month,AZNMc,CAMXc,ERCTc,FRCCc,MROEc,MROWc,NEWEc,NWPPc,NYSTc,RFCEc,RFCMc,RFCWc,RMPAc,SPNOc,SPSOc,SRMVc,SRMWc,SRSOc,SRTVc,SRVCc
0,0,1,1,211.8960906,223.3215979,205.0409535,257.6420926,247.3525742,218.0540674,198.6427698,201.6414898,179.8486229,255.9634731,221.8589457,258.4482567,184.4429973,222.4892825,197.5868662,214.9883383,248.6910288,259.5453269,212.6720916,253.9671408
1,1,1,1,210.3989969,226.9992506,203.1117437,260.5816457,245.01805,213.0338441,196.3434022,204.8653279,180.2233748,253.9274053,224.6547012,256.410558,186.4746575,226.7993384,196.1377091,213.9910924,251.5039421,260.9249427,212.6364746,253.6319178
2,2,1,1,211.8887751,230.9417216,202.0411285,269.3068866,247.9655305,209.514566,199.3164073,205.5550255,180.4153258,253.6621992,221.8577987,256.4043315,189.7376997,220.3784389,196.2908439,213.4740239,248.0178335,261.4177671,212.224053,253.0381651
3,3,1,1,213.657887,229.9483355,206.8759264,270.2174795,247.2403722,209.0163132,199.7513929,205.0145063,180.3561328,254.2570022,218.7227269,257.324415,193.5882278,220.4795078,199.5800278,213.6203643,249.1514072,260.6387977,212.6597198,252.8717367
4,4,1,1,211.3933502,222.1776061,209.1626649,260.4641384,260.2848202,220.3284687,198.9700816,207.6110467,178.1697396,256.7128324,220.3108134,259.3149694,195.9861943,228.2642644,200.8439824,214.1374937,257.0514715,259.2128913,215.1201486,254.8784302
5,5,1,1,211.7021282,216.8438664,222.5859526,250.3431322,269.879834,217.7583293,199.0376952,208.7330573,172.847732,264.8282275,213.7797403,271.6419455,203.2448276,226.17751,204.5095939,215.3059881,258.5602797,264.0664517,215.4210192,254.714089
6,6,1,1,211.0252503,208.9524637,226.9102558,249.4839181,265.6399974,222.4011037,202.4527514,209.1481123,170.9216752,275.6935798,208.2100396,280.4384821,207.5213443,227.0314212,212.1223301,217.0505861,257.8153182,265.9775341,213.8327532,261.276635
7,7,1,1,205.2617529,183.8369885,209.8261039,184.3114724,207.8751773,206.6648155,190.2278806,197.4368282,161.0636439,227.4887044,211.026444,271.7942284,202.6066952,196.6308682,193.7305105,194.099325,195.216397,247.1363326,195.7432888,247.3305755
8,8,1,1,185.1367495,159.9309567,150.0236663,142.3990497,150.6096441,161.2125435,163.8079823,176.3503656,138.3904254,170.6223126,184.0428398,204.7579947,192.2479643,146.2398702,146.2367121,156.2020211,147.312088,171.8023281,181.8876079,187.2463462
9,9,1,1,172.2696198,161.9377296,135.9783929,127.1949233,143.811938,147.8263239,161.9081821,175.3970347,129.0265282,140.3869492,180.0191545,161.736295,170.629162,135.7185803,137.3343727,147.5680183,137.8436105,142.6169831,177.1566651,161.2653519
10,10,1,1,173.2762392,160.0572739,135.7497399,123.5287149,138.591348,148.8057341,161.0260874,175.5867071,125.598256,132.5788924,175.7702903,153.1340337,171.6331943,135.640554,137.1918456,143.946343,135.3142582,135.8299973,175.7915901,156.3919758
11,11,1,1,171.6118282,159.7869967,134.2959767,124.7628225,135.9355355,143.2052553,161.9505669,180.1678957,123.4101317,125.9748855,174.979645,146.2874115,172.1579422,137.8314764,136.7920762,141.2500137,134.7951638,138.2069651,173.7039422,151.5284319
12,12,1,1,171.4826199,160.0598109,131.6758426,124.5823937,132.9802687,140.6073937,163.938212,179.3469124,121.9173235,122.7165595,172.0629545,142.6068721,170.6969456,132.7707722,135.1439342,138.7685177,130.0893059,130.8033684,171.2286056,147.2643985
