Building,ASHRAE IECC Climate Zone 2004,County and PUMA,CEC Climate Zone,County,PUMA,Geometry Building Type ACS,PUMA Metro Status,State,Census Division,Vacancy Status,Vintage ACS,Tenure,Income,Income RECS2015,Income RECS2020,Geometry Floor Area,Bedrooms,Occupants,Bathroom Spot Vent Hour,Dehumidifier,Door Area,Doors,Eaves,Electric Vehicle Battery,Electric Vehicle Miles Traveled,HVAC System Is Faulted,HVAC System Is Scaled,Holiday Lighting,Hot Water Distribution,Interior Shading,Lighting Interior Use,Lighting Other Use,Mechanical Ventilation,Misc Gas Fireplace,Misc Gas Grill,Misc Gas Lighting,Natural Ventilation,Orientation,Range Spot Vent Hour,Usage Level,Clothes Dryer Usage Level,Clothes Washer Usage Level,Cooking Range Usage Level,Dishwasher Usage Level,Ground Thermal Conductivity,Hot Water Fixtures,Plug Load Diversity,Refrigerator Usage Level,AIANNH Area,City,AHS Region,ASHRAE IECC Climate Zone 2004 - Sub-CZ Split,Building America Climate Zone,Energystar Climate Zone 2023,Generation And Emissions Assessment Region,ISO RTO Region,Metropolitan and Micropolitan Statistical Area,REEDS Balancing Area,Sampling Region,Census Division RECS,County Metro Status,Custom State,Geometry Building Number Units SFA,Geometry Building Type RECS,Location Region,Vintage,Census Region,Cooling Setpoint Has Offset,Corridor,Geometry Building Horizontal Location SFA,Heating Fuel,Lighting,Neighbors,Plug Loads,Radiant Barrier,Ceiling Fan,Cooling Setpoint Offset Magnitude,Cooling Setpoint Offset Period,Geometry Foundation Type,HVAC Heating Type,HVAC Secondary Heating Fuel,Has PV,Roof Material,Water Heater Fuel,Water Heater In Unit,Battery,HVAC Cooling Type,HVAC Secondary Heating Type,Insulation Floor,Insulation Foundation Wall,Insulation Slab,PV Orientation,PV System Size,Water Heater Efficiency,Cooling Setpoint,HVAC Has Shared System,HVAC Secondary Heating Efficiency,HVAC Secondary Heating Partial Space Conditioning,Insulation Rim Joist,HVAC Cooling Efficiency,HVAC Has Ducts,HVAC Heating Efficiency,HVAC Shared Efficiencies,Geometry Floor Area Bin,HVAC Cooling Autosizing Factor,HVAC Has Zonal Electric Heating,HVAC Heating Autosizing Factor,HVAC Heating Type And Fuel,HVAC System Single Speed AC Airflow,HVAC System Single Speed AC Charge,HVAC System Single Speed ASHP Airflow,HVAC System Single Speed ASHP Charge,Infiltration,Geometry Stories,HVAC Cooling Partial Space Conditioning,Heating Setpoint,Heating Setpoint Has Offset,Area Median Income,Federal Poverty Level,Geometry Building Level MF,Geometry Building Number Units MF,Geometry Building Type Height,Geometry Stories Low Rise,Geometry Story Bin,Heating Setpoint Offset Magnitude,Heating Setpoint Offset Period,Clothes Washer Presence,Cooking Range,Cooling Unavailable Days,Dishwasher,Electric Vehicle Charge At Home,Electric Vehicle Ownership,Geometry Attic Type,Geometry Building Horizontal Location MF,Geometry Garage,Geometry Wall Type,Household Has Tribal Persons,Misc Extra Refrigerator,Misc Freezer,Misc Hot Tub Spa,Misc Pool,Misc Well Pump,Refrigerator,State Metro Median Income,Window Areas,Windows,Clothes Dryer,Clothes Washer,Electric Vehicle Charger,Geometry Space Combination,Geometry Wall Exterior Finish,Heating Unavailable Days,Insulation Ceiling,Insulation Roof,Insulation Wall,Misc Pool Heater,Misc Pool Pump,Duct Location,Electric Vehicle Outlet Access,Water Heater Location,Duct Leakage and Insulation
100683,4A,"G2901770, G29000800",None,"MO, Ray County","MO, 00800",Single-Family Detached,Not/partially in metro area,MO,West North Central,Occupied,1980-99,Owner,100000-119999,100000-119999,100000-149999,2500-2999,4,1,Hour21,None,20 ft^2,Fiberglass,2 ft,"Compact, Battery Electric Vehicle, 300 mile range",7000,No,No,No Exterior Use,Uninsulated,Light Curtains,100% Usage,100% Usage,None,None,None,None,"Cooling Season, 7 days/wk",West,Hour17,High,120% Usage,120% Usage,120% Usage,120% Usage,1.1,140% Usage,200%,105% Usage,No,In another census Place,Non-CBSA West North Central,4A,Mixed-Humid,North-Central,SPP South,None,"Kansas City, MO-KS MSA",54,13,West North Central,Metropolitan,Others,None,Single-Family Detached,CR08,<1940,Midwest,No,Not Applicable,None,Propane,100% CFL,Left/Right at 15ft,95%,No,None,0F,None,Vented Crawlspace,Ducted Heating,None,No,Composition Shingles,Propane,Yes,None,Central AC,None,Uninsulated,Uninsulated,None,None,None,Propane Standard,75F,None,None,0%,Uninsulated,"AC, SEER2 12.4",Yes,"Fuel Furnace, 80% AFUE",None,2500-3999,None,No,None,Propane Fuel Furnace,None,None,None,None,10 ACH50,2,100% Conditioned,70F,No,150%+,400%+,None,None,Single-Family Detached,2,<8,0F,None,Yes,Gas,Never,EnergyStar,80-99%,No,Vented Attic,None,2 Car,Wood Frame,No,EF 6.7,None,None,None,None,EF 19.9,150%+,F12 B12 L12 R12,"Double, Clear, Non-metal, Air",Electric,EnergyStar,None,"Single-Family Detached, Vented Crawlspace, Vented Attic, 2 Car Garage","Wood, Medium/Dark",Never,R-19,"Unfinished, Uninsulated","Wood Stud, Uninsulated",None,None,Crawlspace,Yes,Garage,"20% Leakage to Outside, Uninsulated"
323564,3B,"G0600730, G06007304",7,"CA, San Diego County","CA, 07304",50 or more Unit,"In metro area, not/partially in principal city",CA,Pacific,Vacant,1960-79,Not Available,Not Available,Not Available,Not Available,500-749,1,0,Hour3,None,20 ft^2,Fiberglass,2 ft,"SUV, Battery Electric Vehicle, 300 mile range",11000,No,No,No Exterior Use,Uninsulated,Light Curtains,100% Usage,100% Usage,None,None,None,None,"Cooling Season, 7 days/wk",East,Hour17,Low,80% Usage,80% Usage,80% Usage,80% Usage,1.4,70% Usage,50%,95% Usage,No,"CA, Carlsbad",Non-CBSA Pacific,3B,Hot-Dry,South-Central,CAISO,CAISO,"San Diego-Carlsbad, CA MSA",11,103,Pacific,Metropolitan,Others,None,Multi-Family with 5+ Units,CR11,2000s,West,Yes,Double-Loaded Interior,None,Electricity,100% LED,12,91%,None,"Standard Efficiency, No usage",5F,Night Setback +4h,Slab,Non-Ducted Heating,None,No,"Asphalt Shingles, Medium",Natural Gas,No,None,None,None,None,None,Uninsulated,None,None,Natural Gas Standard,68F,Heating Only,None,0%,None,None,No,Shared Heating,"Boiler Baseboards Heating Only, Electricity",0-1499,None,No,None,Electricity Shared Heating,None,None,None,None,15 ACH50,35,None,55F,Yes,Not Available,Not Available,Middle,67,"Multi-Family with 5+ Units, 8+ Stories",4+,8+,12F,Night -5h,None,Electric Induction,Never,Standard,100%,No,None,Right,None,Steel Frame,Not Available,None,None,None,None,None,EF 17.6,Not Available,F30 B30 L30 R30,"Double, Clear, Metal, Air",None,None,None,"Multi-Family with 5+ Units Middle Unit, Slab, No Attic, No Garage","Vinyl, Light",Never,None,"Finished, R-30","Wood Stud, R-11",None,None,None,No,Conditioned Mechanical Room,None
323563,5A,"G4200030, G42001701",None,"PA, Allegheny County","PA, 01701",Single-Family Attached,"In metro area, principal city",PA,Middle Atlantic,Occupied,1980-99,Renter,<10000,<20000,<20000,1500-1999,3,1,Hour2,None,20 ft^2,Fiberglass,2 ft,"Compact, Battery Electric Vehicle, 300 mile range",13000,No,No,No Exterior Use,Uninsulated,Light Curtains,100% Usage,100% Usage,None,None,None,None,"Cooling Season, 7 days/wk",Northwest,Hour11,Medium,100% Usage,100% Usage,100% Usage,100% Usage,1.4,100% Usage,100%,100% Usage,No,"PA, Pittsburgh",Non-CBSA Middle Atlantic,5A,Cold,Northern,PJM East,PJM,"Pittsburgh, PA MSA",115,30,Middle Atlantic,Metropolitan,Others,12,Single-Family Attached,CR07,2000s,Northeast,Yes,Not Applicable,Middle,Natural Gas,100% Incandescent,None,108%,No,None,2F,Night Setback +1h,Unheated Basement,Ducted Heating,None,No,Composition Shingles,Electricity,Yes,None,Room AC,None,Ceiling R-19,Uninsulated,None,None,None,Electric Standard,72F,None,None,0%,Uninsulated,"Room AC, CEER 11.9",Yes,"Fuel Furnace, 80% AFUE",None,1500-2499,None,No,None,Natural Gas Fuel Furnace,None,None,None,None,6 ACH50,3,20% Conditioned,68F,No,0-30%,0-100%,None,None,Single-Family Attached,3,<8,0F,None,Yes,Electric Resistance,2 weeks,Standard,100%,No,Finished Attic or Cathedral Ceilings,None,None,Brick,No,None,None,None,None,None,EF 19.9,0-30%,F30 B30 L30 R30,"Single, Clear, Metal",Gas,Standard,None,"Single-Family Attached, Unheated Basement, Finished Attic, No Garage",None,2 weeks,None,"Finished, R-19","Brick, 12-in, 3-wythe, R-11",None,None,Unheated Basement,No,Unheated Basement,"20% Leakage to Outside, R-6"
182087,1A,"G1500030, G15000302",None,"HI, Honolulu County","HI, 00302",Single-Family Detached,"In metro area, not/partially in principal city",HI,Pacific,Occupied,1980-99,Renter,50000-59999,40000-59999,40000-59999,1000-1499,2,2,Hour1,None,20 ft^2,Fiberglass,2 ft,"SUV, Battery Electric Vehicle, 300 mile range",7000,No,No,No Exterior Use,Uninsulated,Light Curtains,100% Usage,100% Usage,None,None,None,None,"Cooling Season, 7 days/wk",South,Hour11,Medium,100% Usage,100% Usage,100% Usage,100% Usage,1.1,110% Usage,100%,100% Usage,No,"HI, Kailua",Non-CBSA Pacific,1A - HI,Hot-Humid,Southern,None,None,"Urban Honolulu, HI MSA",None,14,Pacific,Metropolitan,Others,None,Single-Family Detached,CRHI,2010s,West,Yes,Not Applicable,None,Electricity,100% LED,Left/Right at 15ft,94%,No,Standard Efficiency,2F,Night Setback -3h,Slab,Ducted Heat Pump,None,Yes,"Tile, Clay or Ceramic",Electricity,Yes,None,Ducted Heat Pump,None,None,None,"2ft R5 Perimeter, Vertical",South,5.0 kWDC,Electric Standard,75F,None,None,0%,None,Ducted Heat Pump,Yes,"ASHP, SEER2 14.3, 7.4 HSPF2",None,0-1499,None,No,None,Electricity ASHP,None,None,None,None,30 ACH50,1,100% Conditioned,70F,No,60-80%,300-400%,None,None,Single-Family Detached,1,<8,0F,None,Yes,Electric Resistance,Never,EnergyStar,100%,No,Vented Attic,None,1 Car,Brick,No,EF 17.6,"EF 12, National Average",None,Has Pool,None,EF 17.6,80-100%,F15 B15 L15 R15,"Single, Clear, Non-metal",Electric,EnergyStar,None,"Single-Family Detached, Slab, Vented Attic, 1 Car Garage","Stucco, Light",Never,R-30,"Unfinished, Uninsulated","Brick, 12-in, 3-wythe, R-19",Electricity,1.0 HP Pump,Attic,Yes,Outside,"30% Leakage to Outside, R-8"
230875,7AK,"G0201220, G02000200",None,"AK, Kenai Peninsula Borough","AK, 00200",20 to 49 Unit,Not/partially in metro area,AK,Pacific,Occupied,1980-99,Renter,15000-19999,<20000,<20000,750-999,1,1,Hour0,None,20 ft^2,Fiberglass,2 ft,"Compact, Battery Electric Vehicle, 300 mile range",3000,No,No,No Exterior Use,Uninsulated,Light Curtains,100% Usage,100% Usage,None,None,None,None,"Cooling Season, 7 days/wk",Southeast,Hour10,High,120% Usage,120% Usage,120% Usage,120% Usage,1.1,110% Usage,200%,105% Usage,Yes,In another census Place,Non-CBSA Pacific,7AK,Very Cold,Northern,None,None,None,None,1,Pacific,Non-Metropolitan,AK,None,Multi-Family with 5+ Units,CRAK,1990s,West,No,Double-Loaded Interior,None,Natural Gas,100% CFL,7,91%,None,Standard Efficiency,0F,None,Slab,Non-Ducted Heating,Natural Gas,No,"Asphalt Shingles, Medium",Natural Gas,Yes,None,None,Ducted Heating,None,None,"2ft R10 Perimeter, Vertical",None,None,Natural Gas Standard,72F,None,"Fuel Furnace, 92.5% AFUE",20%,None,None,Yes,"Fuel Boiler, 76% AFUE",None,0-1499,None,No,None,Natural Gas Fuel Boiler,None,None,None,None,8 ACH50,3,None,75F,No,30-60%,100-150%,Middle,43,"Multi-Family with 5+ Units, 1-3 Stories",3,<8,0F,None,Yes,Electric Resistance,Never,Standard,0-19%,No,None,Right,None,Wood Frame,Yes,None,None,None,None,None,EF 17.6,30-60%,F18 B18 L18 R18,"Double, Clear, Non-metal, Air",Electric,EnergyStar,None,"Multi-Family with 5+ Units Middle Unit, Slab, No Attic, No Garage","Wood, Medium/Dark",Never,None,"Finished, R-13","Wood Stud, R-19",None,None,Living Space,No,Living Space,"0% Leakage to Outside, Uninsulated"
175902,6A,"G3300090, G33000100",None,"NH, Grafton County","NH, 00100",Single-Family Detached,Not/partially in metro area,NH,New England,Occupied,<1940,Owner,60000-69999,60000-79999,60000-99999,2000-2499,3,4,Hour2,None,20 ft^2,Fiberglass,2 ft,"SUV, Battery Electric Vehicle, 300 mile range",9000,No,No,No Exterior Use,Uninsulated,Light Curtains,100% Usage,100% Usage,None,None,None,None,"Cooling Season, 7 days/wk",North,Hour6,High,120% Usage,120% Usage,120% Usage,120% Usage,1.7,130% Usage,200%,105% Usage,No,In another census Place,Non-CBSA New England,6A,Cold,Northern,ISONE,NEISO,"Claremont-Lebanon, NH-VT MicroSA",130,24,New England,Non-Metropolitan,Others,None,Single-Family Detached,CR03,1980s,Northeast,No,Not Applicable,None,Fuel Oil,100% Incandescent,Left/Right at 15ft,99%,No,None,0F,None,Heated Basement,Ducted Heating,None,No,"Asphalt Shingles, Medium",Fuel Oil,Yes,None,Room AC,None,Uninsulated,"Wall R-10, Exterior",None,None,None,FIXME Fuel Oil Indirect,60F,None,None,0%,"R-10, Exterior","Room AC, CEER 11.9",Yes,"Fuel Furnace, 80% AFUE",None,1500-2499,None,No,None,Fuel Oil Fuel Furnace,None,None,None,None,20 ACH50,1,<10% Conditioned,68F,Yes,80-100%,200-300%,None,None,Single-Family Detached,1,<8,6F,Night -2h,Yes,Electric Resistance,Never,EnergyStar,80-99%,No,Vented Attic,None,1 Car,Wood Frame,No,None,"EF 12, National Average",Electricity,None,Typical Efficiency,EF 6.7,100-120%,F9 B9 L9 R9,"Single, Clear, Non-metal",Electric,EnergyStar,None,"Single-Family Detached, Heated Basement, Vented Attic, 1 Car Garage","Wood, Medium/Dark",Never,R-30,"Unfinished, Uninsulated","Wood Stud, R-19",None,None,Heated Basement,Yes,Heated Basement,"0% Leakage to Outside, Uninsulated"
208201,2A,"G2200510, G22002301",None,"LA, Jefferson Parish","LA, 02301",3 or 4 Unit,"In metro area, principal city",LA,West South Central,Occupied,1940-59,Renter,20000-24999,20000-39999,20000-39999,750-999,2,4,Hour3,None,20 ft^2,Fiberglass,2 ft,"Midsize, Battery Electric Vehicle, 300 mile range",3000,No,No,No Exterior Use,Uninsulated,Light Curtains,100% Usage,100% Usage,None,None,None,None,"Cooling Season, 7 days/wk",Southwest,Hour16,Low,80% Usage,80% Usage,80% Usage,80% Usage,1.1,80% Usage,50%,95% Usage,No,"LA, Metairie",Non-CBSA West South Central,"2A - TX, LA",Hot-Humid,Southern,MISO South,MISO,"New Orleans-Metairie, LA MSA",58,22,West South Central,Metropolitan,Others,None,Multi-Family with 2 - 4 Units,CR09,1960s,South,Yes,Double-Loaded Interior,None,Electricity,100% LED,12,123%,None,Standard Efficiency,9F,Night Setback -3h,Vented Crawlspace,Non-Ducted Heating,None,No,"Asphalt Shingles, Medium",Electricity,Yes,None,Central AC,None,Uninsulated,Uninsulated,None,None,None,Electric Premium,72F,None,None,0%,Uninsulated,"AC, SEER2 12.4",Yes,"Electric Baseboard, 100% Efficiency",None,0-1499,None,Yes,None,Electricity Baseboard,None,None,None,None,40 ACH50,3,100% Conditioned,78F,Yes,0-30%,0-100%,Top,3,Multi-Family with 2 - 4 Units,3,<8,3F,Night,Yes,Electric Resistance,Never,None,100%,No,None,Not Applicable,None,Brick,No,None,None,None,None,None,None,30-60%,F15 B15 L15 R15,"Single, Clear, Non-metal, Exterior Clear Storm",Electric,EnergyStar,None,"Multi-Family with 2 - 4 Units Top Unit, Vented Crawlspace, No Attic, No Garage",None,Never,None,"Finished, Uninsulated","Brick, 12-in, 3-wythe, Uninsulated",None,None,Living Space,No,Living Space,"0% Leakage to Outside, Uninsulated"
67722,5B,"G0400170, G04000300",None,"AZ, Navajo County","AZ, 00300",Mobile Home,Not/partially in metro area,AZ,Mountain,Occupied,2000-09,Owner,60000-69999,60000-79999,60000-99999,1000-1499,2,7,Hour1,None,20 ft^2,Fiberglass,2 ft,"SUV, Battery Electric Vehicle, 300 mile range",13000,No,No,No Exterior Use,Uninsulated,Light Curtains,100% Usage,100% Usage,None,None,None,None,"Cooling Season, 7 days/wk",South,Hour19,Low,80% Usage,80% Usage,80% Usage,80% Usage,0.8,50% Usage,50%,95% Usage,No,Not in a census Place,Non-CBSA Mountain,5B,Cold,Northern,West Connect South,None,"Show Low, AZ MicroSA",28,35,Mountain South,Non-Metropolitan,Others,None,Mobile Home,CR10,2000s,West,No,Not Applicable,None,Electricity,100% LED,Left/Right at 15ft,166%,No,Standard Efficiency,0F,None,Ambient,Ducted Heating,None,No,Slate,Electricity,Yes,None,Central AC,None,Ceiling R-13,None,None,None,None,Electric Standard,60F,None,None,0%,None,"AC, SEER2 14.3",Yes,"Electric Furnace, 100% AFUE",None,0-1499,None,No,None,Electricity Electric Furnace,None,None,None,None,6 ACH50,1,100% Conditioned,70F,No,60-80%,150-200%,None,None,Mobile Home,1,<8,0F,None,Yes,Electric Resistance,3 days,Standard,60-79%,No,None,None,None,Wood Frame,No,EF 21.9,None,None,None,None,EF 19.9,60-80%,F15 B15 L15 R15,"Double, Low-E, Non-metal, Air, M-Gain",Electric,Standard,None,"Mobile Home, Ambient, No Attic, No Garage","Wood, Medium/Dark",Never,None,"Finished, R-38","Wood Stud, R-19",None,None,Living Space,Yes,Living Space,"0% Leakage to Outside, Uninsulated"
120603,4A,"G3901670, G39003600",None,"OH, Washington County","OH, 03600",Single-Family Detached,Not/partially in metro area,OH,East North Central,Occupied,2010s,Owner,180000-199999,140000+,150000+,3000-3999,5,10+,Hour6,None,20 ft^2,Fiberglass,2 ft,"Midsize, Battery Electric Vehicle, 200 mile range",11000,No,No,No Exterior Use,Uninsulated,Light Curtains,100% Usage,100% Usage,None,None,Gas Grill,None,"Cooling Season, 7 days/wk",South,Hour16,Low,80% Usage,80% Usage,80% Usage,80% Usage,1.7,80% Usage,50%,95% Usage,No,Not in a census Place,Non-CBSA East North Central,4A,Mixed-Humid,North-Central,PJM East,PJM,"Marietta, OH MicroSA",112,17,East North Central,Non-Metropolitan,Others,None,Single-Family Detached,CR04,1950s,Midwest,Yes,Not Applicable,None,Propane,100% CFL,Left/Right at 15ft,85%,No,None,2F,Night Setback,Unvented Crawlspace,Ducted Heating,None,No,Composition Shingles,Propane,Yes,None,Central AC,None,Uninsulated,Uninsulated,None,None,None,Propane Standard,70F,None,None,0%,Uninsulated,"AC, SEER2 12.4",Yes,"Fuel Furnace, 80% AFUE",None,2500-3999,None,No,None,Propane Fuel Furnace,None,None,None,None,20 ACH50,1,60% Conditioned,70F,No,150%+,300-400%,None,None,Single-Family Detached,1,<8,0F,None,Yes,Propane,Never,None,80-99%,No,Vented Attic,None,2 Car,Wood Frame,No,EF 17.6,"EF 12, National Average",None,None,None,EF 15.9,150%+,F6 B6 L6 R6,"Double, Low-E, Non-metal, Air, M-Gain",Electric,Standard,None,"Single-Family Detached, Unvented Crawlspace, Vented Attic, 2 Car Garage","Brick, Medium/Dark",Never,R-13,"Unfinished, Uninsulated","Wood Stud, Uninsulated",None,None,Crawlspace,Yes,Crawlspace,"20% Leakage to Outside, Uninsulated"
102924,4A,"G3600610, G36003805",None,"NY, New York County","NY, 03805",10 to 19 Unit,"In metro area, principal city",NY,Middle Atlantic,Occupied,<1940,Renter,80000-99999,80000-99999,60000-99999,0-499,1,1,Hour6,None,20 ft^2,Fiberglass,2 ft,"SUV, Battery Electric Vehicle, 300 mile range",17000,No,No,No Exterior Use,Uninsulated,Light Curtains,100% Usage,100% Usage,None,None,None,None,"Cooling Season, 7 days/wk",East,Hour17,Medium,100% Usage,100% Usage,100% Usage,100% Usage,1.7,90% Usage,100%,100% Usage,No,"NY, New York","CBSA New York-Newark-Jersey City, NY-NJ-PA",4A,Mixed-Humid,North-Central,NYISO,NYISO,"New York-Newark-Jersey City, NY-NJ-PA MSA",127,48,Middle Atlantic,Metropolitan,Others,None,Multi-Family with 5+ Units,CR07,<1940,Northeast,Yes,Double-Loaded Interior,None,Natural Gas,100% LED,27,89%,None,Standard Efficiency,5F,Night Setback +4h,Unheated Basement,Non-Ducted Heating,None,No,"Asphalt Shingles, Medium",Natural Gas,No,None,Room AC,None,Uninsulated,Uninsulated,None,None,None,Natural Gas Standard,72F,Heating Only,None,0%,Uninsulated,"Room AC, CEER 10.6",No,Shared Heating,"Boiler Baseboards Heating Only, Fuel",0-1499,None,No,None,Natural Gas Shared Heating,None,None,None,None,50 ACH50,3,80% Conditioned,60F,No,100-120%,400%+,Bottom,18,"Multi-Family with 5+ Units, 1-3 Stories",3,<8,0F,None,None,Gas,Never,EnergyStar,0-19%,Yes,None,Middle,None,Wood Frame,No,None,None,None,None,None,EF 19.9,120-150%,F12 B12 L12 R12,"Double, Clear, Metal, Air",None,None,Level 1 charger,"Multi-Family with 5+ Units Bottom Unit, Unheated Basement, No Attic, No Garage","Vinyl, Light",Never,None,"Finished, R-7","Wood Stud, Uninsulated",None,None,None,No,Conditioned Mechanical Room,None
