Dependency=Geometry Building Type RECS,Option=Mobile Home,Option=Multi-Family with 2 - 4 Units,Option=Multi-Family with 5+ Units,Option=Single-Family Attached,Option=Single-Family Detached,Option=<1940,Option=1940s,Option=1950s,Option=1960s,Option=1970s,Option=1980s,Option=1990s,Option=2000s,Option=2010s,Option=0-100%,Option=100-150%,Option=150-200%,Option=200-300%,Option=300-400%,Option=400%+,Option=Not Available,Dependency=Vintage,Dependency=State,Option=Electricity,Option=Fuel Oil,Option=Natural Gas,Option=None,Option=Other Fuel,Option=Propane,Option=Wood,Option=0-1499,Option=1500-2499,Option=2500-3999,Option=4000+,Option=AK,Option=AL,Option=AR,Option=AZ,Option=CA,Option=CO,Option=CT,Option=DC,Option=DE,Option=FL,Option=GA,Option=HI,Option=IA,Option=ID,Option=IL,Option=IN,Option=KS,Option=KY,Option=LA,Option=MA,Option=MD,Option=ME,Option=MI,Option=MN,Option=MO,Option=MS,Option=MT,Option=NC,Option=ND,Option=NE,Option=NH,Option=NJ,Option=NM,Option=NV,Option=NY,Option=OH,Option=OK,Option=OR,Option=PA,Option=RI,Option=SC,Option=SD,Option=TN,Option=TX,Option=UT,Option=VA,Option=VT,Option=WA,Option=WI,Option=WV,Option=WY
Mobile Home,0.0624897,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multi-Family with 2 - 4 Units,0.0,0.0799763,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multi-Family with 5+ Units,0.0,0.0,0.1842267,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single-Family Attached,0.0,0.0,0.0,0.0585642,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single-Family Detached,0.0,0.0,0.0,0.0,0.614743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,0.0003861547376540388,0.0002593714745133681,0.0008861928296805723,0.0036054112596722292,0.012744959547788787,0.01393796146820039,0.017738147814876495,0.009915343195575042,0.0030161581428002006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multi-Family with 2 - 4 Units,,,,,,0.021292352450832542,0.004937855639791233,0.007217564607783592,0.008350572821595115,0.012167873146870298,0.010173006719715298,0.00753310643060612,0.005864822637366861,0.002439163325840134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multi-Family with 5+ Units,,,,,,0.01889594746580627,0.0056732583280273965,0.010862619894083023,0.020579096645627168,0.03455439570140448,0.03014393776106014,0.02509722619030939,0.02406832582776276,0.014351899026938477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single-Family Attached,,,,,,0.008102703646549213,0.002816603297464912,0.004048044482702206,0.003761944705260967,0.00802261257759934,0.010217082351719262,0.008177079043135709,0.010064723852076149,0.0033533899011070584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single-Family Detached,,,,,,0.07871810067784832,0.035719595181848224,0.08082667222754622,0.07034339445002098,0.08483246295150566,0.06986114908202978,0.07935687430049244,0.08751033488258077,0.027574530414596204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.10416296916436475,0.07547544436780083,0.07176250919810723,0.13934216626950371,0.11684615422064071,0.3708939843227186,0.121517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1940s,G01,5.26422987945992e-06,0.0,1.23864051033284e-07,0.0,0.0,7.307993198367199e-07,4.95456820976764e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1940s,G02,5.1976362415955e-08,7.186195100677001e-07,4.8837475102440004e-08,0.0,1.95926254251e-09,2.0900135316564e-08,6.356931352757e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1940s,G04,2.88793205558715e-06,0.0,1.14521586363418e-06,0.0,3.7343953194067004e-07,4.14932867393083e-07,4.9792099969105e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1940s,G05,2.124375889608e-06,0.0,6.424941714912e-07,0.0,0.0,1.6787750932512e-06,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1940s,G06,1.1031867347919847e-05,7.614979295266808e-07,2.0572431144473176e-05,2.445752249923171e-06,6.222981993084071e-07,2.5219481317105545e-06,1.3510445911976752e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1940s,G08,2.6582592277e-07,0.0,3.07074772855e-06,0.0,0.0,3.2999080068e-07,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1940s,G09,0.0,1.3739391996291599e-06,4.5488530373754e-07,0.0,1.0211700684735601e-07,1.5472286405136e-07,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1940s,G10,4.9143515496e-08,1.862286982704e-07,8.27683103424e-08,0.0,0.0,1.319118258384e-07,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1940s,G11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1940s,G12,1.700237949642477e-05,1.6287531991990602e-07,1.2849059031836434e-06,7.238913850288408e-07,0.0,1.6287531991990602e-07,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1940s,G13,7.2899388125925e-06,7.589810677469076e-08,2.192763456711096e-06,2.111297949211956e-07,0.0,9.202647434250172e-07,2.3718187599722e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1940s,G15,5.470355098665e-08,0.0,4.66185638949e-09,1.3610540815544999e-07,6.072440323845e-09,2.30512395942e-09,1.376191886325e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1940s,G16,1.75439331984051e-07,1.422483477853836e-08,3.95924048337954e-07,0.0,0.0,4.33856919869919e-07,5.71363380322005e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1940s,G17,4.5697944207283286e-07,0.0,5.272188011832469e-06,7.61629246913327e-08,0.0,4.400540671155239e-07,6.77008685209571e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1940s,G18,1.7603861605925998e-06,0.0,3.6110544719506e-06,0.0,0.0,1.0607445174568e-06,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1940s,G19,9.166617628192e-07,0.0,1.2401867371808e-06,0.0,0.0,1.437899e-07,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1940s,G20,5.2604176812976e-07,0.0,1.0116180533874e-06,3.6418173848284e-07,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1940s,G21,1.210633341892416e-06,0.0,7.09681943502072e-07,2.817852809619312e-07,0.0,2.817852809619312e-07,6.992444613075841e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1940s,G22,4.165224728e-06,0.0,1.041306182e-06,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1940s,G23,0.0,1.1675230665687e-06,0.0,0.0,2.3397319842270002e-08,1.4272316538117e-07,1.3804378971393e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
