SiteID,All Screens Plus No Secondary HVAC
10002,1
10005,1
10011,1
10016,1
10021,1
10030,0
10040,0
10044,0
10055,1
10062,0
10068,1
10079,1
10082,0
10083,1
10087,1
10096,1
10100,1
10134,0
10141,1
10144,1
10150,1
10172,0
10174,1
10176,0
10178,0
10186,1
10191,0
10192,0
10229,0
10230,0
10231,0
10235,0
10245,1
10254,1
10259,0
10265,1
10268,0
10282,1
10288,1
10289,0
10292,1
10298,0
10299,0
10305,0
10306,1
10309,1
10313,1
10318,1
10319,1
10322,1
10325,1
10332,1
10334,1
10335,0
10337,1
10348,1
10352,0
10369,0
10384,0
10388,1
10398,0
10401,1
10408,0
10411,0
10413,0
10421,1
10425,1
10430,1
10435,1
10459,1
10462,1
10466,0
10476,0
10486,1
10490,1
10491,0
10493,1
10496,0
10510,0
10514,0
10516,1
10518,1
10525,0
10537,1
10540,1
10551,0
10552,0
10557,1
10565,0
10567,0
10579,0
10580,1
10585,0
10595,1
10605,1
10612,0
10627,1
10629,0
10630,1
10638,1
10649,0
10657,0
10658,0
10661,0
10664,1
10681,1
10688,1
10690,0
10695,0
10696,0
10697,0
10699,0
10701,1
10705,0
10709,1
10710,1
10713,0
10715,1
10728,1
10733,0
10738,1
10741,0
10752,0
10764,1
10786,0
10795,0
10801,1
10807,1
10809,1
10811,0
10822,1
10823,0
10840,0
10843,1
10848,0
10866,0
10887,1
10895,1
10911,0
10915,1
10927,1
10946,1
10948,1
10951,1
10978,1
10986,0
10990,0
11003,0
11006,1
11014,1
11021,1
11030,1
11035,1
11041,1
11047,0
11048,1
11051,0
11054,1
11055,1
11061,0
11084,0
11086,0
11089,1
11094,0
11110,0
11118,1
11119,1
11138,1
11145,0
11154,0
11163,0
11178,1
11187,0
11194,0
11210,1
11217,1
11219,1
11221,0
11222,1
11233,1
11236,1
11246,1
11273,1
11282,1
11283,1
11284,0
11289,0
11302,1
11315,1
11317,1
11323,1
11327,1
11332,1
11339,1
11341,1
11342,1
11346,0
11347,1
11349,1
11352,1
11375,0
11377,1
11411,1
11414,1
11417,1
11418,0
11420,1
11437,0
11439,0
11452,1
11467,0
11472,1
11475,0
11476,0
11478,1
11494,0
11496,1
11499,0
11503,1
11504,1
11512,1
11516,1
11520,1
11531,0
11533,0
11535,0
11536,1
11549,1
11552,1
11555,0
11574,1
11585,1
11602,0
11633,1
11636,1
11639,1
11645,0
11653,1
11670,0
11675,1
11677,1
11679,1
11702,0
11705,1
11713,0
11717,1
11725,1
11729,0
11732,1
11734,0
11739,0
11749,1
11752,0
11753,1
11762,0
11766,1
11769,1
11774,0
11775,1
11779,0
11780,0
11788,1
11794,0
11802,0
11808,1
11815,1
11825,1
11827,1
11835,1
11836,0
11838,1
11842,0
11844,1
11860,1
11872,1
11873,0
11880,0
11894,1
11900,1
11904,1
11908,0
11910,1
11914,1
11925,1
11933,1
11943,1
11953,1
11954,1
11958,1
11967,0
11971,0
11980,1
11988,1
11992,1
12016,0
12018,1
12022,1
12029,0
12033,1
12035,0
12039,1
12049,1
12054,1
12060,1
12062,1
12063,1
12064,0
12086,1
12092,1
12101,1
12103,0
12105,1
12107,0
12108,0
12111,1
12114,1
12131,0
12142,1
12144,1
12145,0
12146,1
12148,1
12153,0
12163,0
12169,0
12176,1
12186,1
12190,1
12197,0
12199,1
12203,0
12207,1
12213,0
12214,1
12215,1
12226,1
12229,0
12230,0
12232,1
12242,0
12247,1
12255,0
12263,0
12264,1
12266,1
12270,0
12271,0
12274,1
12278,1
12295,1
12303,0
12307,0
12315,1
12320,0
12321,1
12339,0
12341,1
12348,1
12358,0
12370,1
12376,1
12377,1
12398,1
12399,0
12404,0
12407,0
12408,1
12414,0
12427,0
12434,1
12458,1
12460,0
12478,0
12482,1
12483,1
12486,1
12489,0
12494,1
12496,1
12499,1
12504,0
12505,1
12507,1
12510,1
12514,0
12524,1
12556,1
12561,1
12564,1
12572,1
12582,1
12600,0
12614,0
12620,1
12621,0
12630,1
12640,1
12643,1
12648,1
12656,1
12657,0
12661,1
12669,1
12670,1
12675,1
12678,0
12679,0
12693,1
12724,1
12730,1
12737,1
12738,0
12739,0
12743,1
12745,1
12753,1
12755,1
12759,0
12771,1
12773,1
12777,0
12782,1
12814,1
12818,1
12825,0
12833,1
12845,1
12853,1
12856,1
12889,1
12895,1
12897,1
12898,1
12902,1
12906,1
12908,0
12939,1
12944,1
12956,0
12975,1
12977,1
12992,0
12994,1
13004,0
13017,1
13019,1
13023,0
13041,0
13046,1
13051,0
13055,1
13094,0
13113,0
13129,0
13131,1
13141,1
13154,1
13165,0
13166,0
13169,0
13188,0
13191,1
13222,1
13232,1
13242,0
13246,1
13248,1
13250,0
13261,0
13265,1
13273,1
13275,0
13292,1
13293,1
13303,0
13310,0
13315,1
13319,1
13323,1
13327,0
13328,1
13336,0
13347,1
13359,0
13365,0
13400,0
13401,0
13420,1
13426,0
13427,1
13435,0
13445,1
13451,0
13453,0
13455,1
13462,1
13474,1
13490,0
13494,1
13495,1
13505,0
13507,1
13514,1
13554,1
13621,0
13643,1
13655,1
13656,1
13672,1
13678,0
13691,0
13713,0
13752,1
13756,1
13785,0
13803,1
13817,1
13829,0
13863,0
13867,0
13871,1
13880,1
13895,1
13898,0
13903,1
13912,1
13948,1
13956,1
13970,1
13974,1
13975,1
14000,1
14012,1
14015,1
14017,1
14037,1
14046,1
14051,1
14052,0
14073,1
14078,0
14102,0
14117,0
14122,1
14140,1
14143,1
14150,0
14153,0
14162,1
14174,1
14181,1
14210,0
14211,1
14222,1
14264,1
14277,1
14284,0
14285,1
14300,1
14329,0
14331,1
14457,0
14508,1
14542,1
14545,0
14560,1
14577,0
14646,0
14674,1
20007,0
20016,1
20020,1
20028,0
20034,1
20038,0
20042,1
20043,1
20051,0
20058,0
20065,1
20066,0
20076,0
20078,0
20080,1
20081,1
20085,1
20089,0
20095,1
20100,0
20106,0
20108,1
20109,0
20111,1
20125,1
20152,1
20154,1
20155,0
20156,1
20163,1
20166,0
20168,1
20180,1
20182,1
20184,1
20185,1
20188,1
20200,0
20206,1
20215,1
20230,1
20244,0
20245,0
20250,1
20264,1
20265,0
20266,1
20274,0
20287,0
20288,1
20290,0
20294,1
20297,1
20303,1
20305,1
20311,0
20324,1
20325,1
20338,0
20340,1
20344,1
20357,1
20360,0
20363,1
20371,1
20374,0
20381,1
20384,1
20390,0
20392,1
20395,0
20408,1
20411,0
20426,1
20430,0
20433,1
20440,0
20445,1
20448,1
20457,1
20458,1
20466,1
20469,0
20472,1
20477,0
20485,1
20491,1
20505,1
20516,0
20540,1
20547,0
20553,1
20565,0
20574,0
20586,1
20593,0
20601,1
20603,0
20606,1
20612,1
20613,1
20618,1
20619,1
20626,0
20632,1
20635,0
20646,0
20650,0
20671,1
20685,1
20688,0
20702,1
20707,1
20712,0
20716,0
20746,0
20748,1
20753,1
20758,1
20770,0
20775,1
20777,0
20778,1
20779,1
20783,0
20792,1
20807,1
20808,1
20809,0
20814,1
20817,1
20819,1
20825,1
20839,0
20853,1
20859,0
20861,1
20863,1
20878,0
20894,0
20895,0
20902,0
20905,1
20920,0
20930,1
20936,1
20941,0
20946,1
20958,0
20965,0
20968,1
20970,1
20974,0
20976,0
20998,0
21002,0
21003,1
21006,1
21012,0
21016,0
21018,0
21021,1
21038,0
21045,0
21049,1
21070,1
21085,1
21089,0
21091,1
21103,0
21107,0
21109,1
21112,0
21122,0
21132,1
21137,0
21143,1
21155,1
21160,0
21176,1
21180,0
21188,1
21201,1
21203,1
21218,1
21219,0
21225,0
21228,0
21231,1
21233,0
21238,0
21242,1
21252,1
21258,1
21259,0
21263,0
21264,1
21277,1
21291,0
21293,0
21294,1
21295,1
21296,0
21298,1
21305,0
21316,1
21319,0
21320,1
21326,1
21334,1
21343,1
21350,0
21353,1
21355,0
21366,0
21367,0
21372,0
21374,1
21376,1
21384,0
21390,0
21391,0
21394,0
21401,0
21403,0
21405,0
21408,1
21411,0
21414,0
21417,1
21419,0
21427,0
21431,1
21436,0
21437,0
21438,1
21452,1
21459,0
21460,1
21463,0
21464,1
21469,1
21471,0
21483,0
21484,1
21486,1
21487,0
21494,1
21501,0
21503,0
21504,0
21524,1
21531,0
21532,1
21537,1
21546,1
21566,0
21578,0
21598,1
21601,1
21605,0
21612,0
21615,0
21623,0
21647,1
21654,0
21668,0
21672,1
21684,1
21689,1
21692,1
21700,1
21701,1
21703,0
21707,1
21708,0
21710,1
21719,0
21720,1
21722,1
21733,0
21741,1
21746,1
21748,1
21753,0
21768,0
21777,0
21781,1
21783,1
21787,1
21791,1
21796,1
21799,1
21816,1
21828,0
21831,0
21856,0
21862,1
21877,0
21881,1
21883,0
21888,1
21889,0
21896,1
21899,1
21905,1
21906,0
21914,1
21922,0
21950,0
21951,1
21961,1
21967,0
21974,0
21977,1
21978,1
21979,1
21988,0
22000,1
22005,0
22015,0
22019,1
22021,0
22023,0
22024,0
22039,0
22041,0
22047,1
22052,1
22053,0
22059,1
22061,1
22077,0
22084,0
22086,0
22087,1
22095,0
22096,1
22108,1
22109,1
22123,0
22124,1
22125,1
22131,1
22138,1
22144,0
22153,1
22159,1
22172,1
22175,0
22176,0
22177,1
22179,1
22180,1
22181,1
22186,0
22187,1
22198,0
22200,0
22203,1
22205,1
22212,1
22214,1
22215,1
22222,0
22225,1
22226,1
22228,1
22232,0
22233,1
22240,1
22246,1
22250,1
22273,0
22280,1
22284,1
22288,0
22289,1
22291,0
22293,0
22295,0
22302,1
22306,0
22312,1
22319,1
22322,0
22333,1
22352,0
22369,0
22375,0
22398,1
22411,1
22425,0
22432,0
22439,1
22445,1
22458,1
22474,1
22475,1
22479,1
22493,1
22509,1
22514,0
22515,1
22519,0
22521,1
22530,1
22533,1
22557,1
22559,1
22566,0
22570,1
22571,0
22576,0
