SiteID,All Screens,All Screens except SEEM Run,All Screens Plus No Secondary HVAC
10002,0,0,1
10005,1,1,1
10011,1,1,1
10016,0,0,1
10021,0,0,1
10030,1,0,1
10040,1,0,1
10044,0,0,0
10052,0,0,0
10055,1,1,1
10062,0,0,0
10068,1,1,1
10079,1,1,1
10082,1,1,1
10083,1,1,1
10087,1,1,1
10096,1,1,1
10100,0,0,1
10134,0,0,0
10141,1,1,1
10144,1,1,1
10150,1,1,1
10172,0,0,0
10174,1,1,1
10176,0,0,0
10178,0,0,0
10186,1,0,1
10191,1,1,1
10192,1,0,1
10211,0,0,0
10229,1,1,1
10230,0,0,0
10231,1,1,1
10235,0,0,0
10244,1,1,1
10245,1,0,1
10254,0,0,1
10259,0,0,0
10265,1,1,1
10268,1,1,1
10282,1,1,1
10288,1,1,1
10289,0,0,0
10292,1,1,1
10298,1,0,1
10299,0,0,0
10305,1,1,1
10306,1,1,1
10309,0,0,1
10313,1,1,1
10318,1,1,1
10319,1,1,1
10322,1,1,1
10325,1,1,1
10332,1,1,1
10334,1,1,1
10335,0,0,0
10337,1,1,1
10338,0,0,0
10348,1,1,1
10352,1,1,1
10369,0,0,0
10384,0,0,0
10388,0,0,1
10398,0,0,0
10401,1,1,1
10408,0,0,0
10411,0,0,0
10413,1,1,1
10421,1,1,1
10425,1,1,1
10430,1,0,1
10435,1,1,1
10459,1,1,1
10462,0,0,1
10466,0,0,0
10476,1,1,1
10486,1,1,1
10490,1,1,1
10491,1,1,1
10493,1,1,1
10496,0,0,0
10510,0,0,0
10514,0,0,0
10516,1,1,1
10518,1,1,1
10525,0,0,0
10537,1,1,1
10540,1,1,1
10551,1,0,1
10552,0,0,0
10557,1,1,1
10561,1,0,1
10565,1,1,1
10567,0,0,0
10579,0,0,0
10580,1,1,1
10585,1,0,1
10595,1,0,1
10605,1,1,1
10612,1,1,1
10627,1,1,1
10629,0,0,0
10630,1,1,1
10636,1,1,1
10637,1,1,1
10638,1,1,1
10649,0,0,0
10657,1,0,1
10658,0,0,0
10661,0,0,0
10664,1,1,1
10681,1,1,1
10688,0,0,1
10690,1,0,1
10695,1,1,1
10696,0,0,0
10697,0,0,0
10699,0,0,0
10701,1,1,1
10705,0,0,0
10709,1,0,1
10710,1,1,1
10713,1,1,1
10715,1,1,1
10728,1,1,1
10733,1,1,1
10738,0,0,1
10741,0,0,0
10752,0,0,0
10764,1,1,1
10786,1,0,1
10795,0,0,0
10801,1,1,1
10807,1,1,1
10809,1,1,1
10811,0,0,0
10822,0,0,1
10823,1,1,1
10840,1,1,1
10843,1,1,1
10848,1,1,1
10852,1,1,1
10866,0,0,0
10887,1,1,1
10895,0,0,1
10911,1,1,1
10915,1,1,1
10927,1,0,1
10946,0,0,1
10948,1,1,1
10951,1,1,1
10965,1,0,1
10978,1,1,1
10986,0,0,0
10990,1,1,1
10995,0,0,0
11003,1,1,1
11006,1,0,1
11014,1,1,1
11021,1,0,1
11030,0,0,1
11032,1,1,1
11035,1,0,1
11041,1,1,1
11047,0,0,0
11048,1,1,1
11051,0,0,0
11054,1,1,1
11055,1,0,1
11061,0,0,0
11084,1,0,1
11086,1,1,1
11089,1,1,1
11094,0,0,0
11110,0,0,0
11118,1,1,1
11119,0,0,1
11138,1,1,1
11145,0,0,0
11154,1,1,1
11163,1,0,1
11178,1,1,1
11187,0,0,0
11194,0,0,0
11210,1,1,1
11217,1,1,1
11219,1,1,1
11221,0,0,0
11222,1,1,1
11233,0,0,1
11236,1,1,1
11246,1,1,1
11273,0,0,1
11282,1,1,1
11283,0,0,1
11284,0,0,0
11289,0,0,0
11302,0,0,1
11315,0,0,1
11317,1,1,1
11323,1,1,1
11327,1,1,1
11332,1,1,1
11339,1,1,1
11341,1,1,1
11342,1,1,1
11346,0,0,0
11347,1,1,1
11349,1,1,1
11352,0,0,1
11375,1,0,1
11377,0,0,1
11409,0,0,0
11411,1,1,1
11414,1,0,1
11416,0,0,1
11417,0,0,1
11418,0,0,0
11420,1,1,1
11437,1,1,1
11439,0,0,0
11452,1,1,1
11467,1,0,1
11472,1,1,1
11475,1,0,1
11476,1,0,1
11478,1,1,1
11494,1,1,1
11496,0,0,1
11499,1,1,1
11503,0,0,1
11504,1,1,1
11512,0,0,1
11516,1,1,1
11520,1,1,1
11531,1,1,1
11533,0,0,0
11535,1,1,1
11536,1,1,1
11539,0,0,0
11544,1,1,1
11549,1,1,1
11552,1,1,1
11555,1,1,1
11574,1,1,1
11585,1,1,1
11602,1,1,1
11633,1,1,1
11636,1,1,1
11639,1,1,1
11645,1,1,1
11653,1,1,1
11670,0,0,0
11675,1,1,1
11677,1,1,1
11679,1,0,1
11684,1,1,1
11702,0,0,0
11705,0,0,1
11713,0,0,0
11717,0,0,1
11725,1,1,1
11729,0,0,0
11732,1,1,1
11734,1,1,1
11739,1,1,1
11749,1,1,1
11752,1,1,1
11753,1,1,1
11762,1,0,1
11766,0,0,1
11769,1,0,1
11772,1,1,1
11774,1,0,1
11775,1,1,1
11779,0,0,0
11780,0,0,0
11788,1,1,1
11794,0,0,0
11802,0,0,0
11808,1,1,1
11815,1,1,1
11825,1,1,1
11827,1,1,1
11835,1,1,1
11836,1,1,1
11838,1,1,1
11842,0,0,0
11844,0,0,1
11860,1,1,1
11871,0,0,0
11872,1,1,1
11873,0,0,0
11880,1,1,1
11894,1,1,1
11896,1,0,1
11900,1,1,1
11904,1,1,1
11908,1,1,1
11910,1,1,1
11914,0,0,1
11925,1,1,1
11933,1,1,1
11943,1,1,1
11953,1,1,1
11954,0,0,1
11958,1,1,1
11967,0,0,0
11971,1,0,1
11978,1,1,1
11980,1,1,1
11988,1,1,1
11992,0,0,1
11993,0,0,1
12016,1,0,1
