"","Estimate","Std. Error","t value","Pr(>|t|)"
"size3500+",74803.031,1665.6133,44.9102,0
"size2500-3499",46572.8193,1342.3457,34.6951,0
"size1500-2499",19282.7239,1017.8356,18.9448,0
"vintage1990s",24130.3876,1623.2907,14.8651,0
"vintage2000s",22033.4814,1547.0715,14.2421,0
"heatingfuelNatural Gas",12909.1101,1044.6238,12.3577,0
"heatingfuelFuel Oil",23604.3448,2017.6859,11.6987,0
"vintage1980s",19508.9633,1677.5251,11.6296,0
"actypeRoom",-12891.099,1276.1419,-10.1016,0
"actypeNone",-8601.3236,1530.147,-5.6212,0
"smsaWashington-Arlington-Alexandria, DC-VA-MD-WV",63049.1391,12736.3111,4.9503,0
"vintage1970s",6636.9403,1445.8667,4.5903,0
"smsaAnaheim-Santa Ana (Orange County), CA",53599.8904,12849.138,4.1715,0
"smsaOakland, CA",51445.1003,12781.7088,4.0249,1e-04
"smsaBoston, MA",48582.7059,12887.0451,3.7699,2e-04
"smsaNorthern NJ, NJ",44920.2576,12387.8404,3.6262,3e-04
"smsaNassau-Suffolk, NY",46568.7793,13097.9168,3.5554,4e-04
"smsaBaltimore, MD",45583.1655,13568.0414,3.3596,8e-04
"smsaSeattle-Tacoma-Bellevue, WA",42421.3181,12927.8249,3.2814,0.001
"smsaNewark, NJ",49632.0662,16253.0237,3.0537,0.0023
"smsaSalem-Gloucester, MA",61359.1462,20762.3239,2.9553,0.0031
"(Intercept)",33776.8772,11789.7806,2.8649,0.0042
"smsaMinneapolis-Saint Paul, MN",36304.7381,12751.0329,2.8472,0.0044
"smsaNew York, NY",36674.3882,12904.6061,2.842,0.0045
"smsaNew York City, NY",36567.3694,13561.7611,2.6964,0.007
"smsaHonolulu, HI",52141.2021,19991.699,2.6081,0.0091
"smsaLansing-East Lansing, MI",53333.5607,21844.5674,2.4415,0.0146
"smsaPhiladelphia, PA-NJ",29569.5644,12428.0355,2.3793,0.0174
"smsaAlbany-Schenectady-Troy, NY",40141.2594,17418.0498,2.3046,0.0212
"heatingfuelPropane",4424.6737,1959.3169,2.2583,0.0239
"smsaDenver, CO",32661.6442,14897.1795,2.1925,0.0284
"smsaBoulder-Longmont, CO",45323.0559,20706.5557,2.1888,0.0286
"smsaAppleton-Oshkosh-Neenah, WI",42476.6518,19568.5485,2.1707,0.03
"smsaOxnard-Ventura, CA",31640.0291,15054.7069,2.1017,0.0356
"smsaLos Angeles-Long Beach, CA",24771.4314,12095.6751,2.048,0.0406
"smsaBergen-Passaic, NJ",35426.8879,17443.1059,2.031,0.0423
"smsaLake County, IL",36772.0675,18943.9868,1.9411,0.0523
"smsaFort Worth-Arlington, TX",25709.1325,13248.5091,1.9405,0.0523
"smsaMonmouth-Ocean, NJ",36918.8765,20288.381,1.8197,0.0688
"smsaMiddlesex-Somerset-Hunterdon, NJ",33949.6155,19471.9445,1.7435,0.0813
"smsaSaint Louis, MO-IL",22606.5008,13283.2957,1.7019,0.0888
"smsaChicago, IL",21873.1661,13038.0303,1.6776,0.0934
"smsaPhoenix, AZ",20455.4766,12537.5325,1.6315,0.1028
"smsaChicago-Naperville-Joliet, IL + Lake County-Kenosha County, IL-WI",19807.2364,12364.1618,1.602,0.1092
"smsaLancaster, PA",37148.1318,23382.79,1.5887,0.1121
"smsaCharleston, SC",26871.1308,17477.7019,1.5375,0.1242
