"size","vintage","income"
"0-1499","<1950",48132.4324282199
"1500-2499","<1950",71037.9854333013
"2500-3499","<1950",100682.166911275
"3500+","<1950",130572.895975993
"0-1499","1950s",52076.6020124482
"1500-2499","1950s",74982.1550175296
"2500-3499","1950s",104626.336495503
"3500+","1950s",134517.065560221
"0-1499","1960s",50212.3735189914
"1500-2499","1960s",73117.9265240728
"2500-3499","1960s",102762.108002046
"3500+","1960s",132652.837066765
"0-1499","1970s",53163.9571540269
"1500-2499","1970s",76069.5101591082
"2500-3499","1970s",105713.691637082
"3500+","1970s",135604.4207018
"0-1499","1980s",65748.6130755024
"1500-2499","1980s",88654.1660805838
"2500-3499","1980s",118298.347558557
"3500+","1980s",148189.076623276
"0-1499","1990s",69117.8806350883
"1500-2499","1990s",92023.4336401697
"2500-3499","1990s",121667.615118143
"3500+","1990s",151558.344182861
"0-1499","2000s",64915.9180609073
"1500-2499","2000s",87821.4710659887
"2500-3499","2000s",117465.652543962
"3500+","2000s",147356.38160868
"0-1499","2010s",71494.723000371
"1500-2499","2010s",94400.2760054524
"2500-3499","2010s",124044.457483426
"3500+","2010s",153935.186548144
