"","Estimate","Std. Error","t value","Pr(>|t|)"
"size3500+",75529.56572,1670.22373,45.22123,"0.00000e+00"
"size2500-3499",46929.02719,1344.8546,34.89524,"7.14109e-262"
"size1500-2499",19380.54935,1020.11248,18.99844,"4.84693e-80"
"divisionNew England",35981.74434,2427.86549,14.82032,"1.58038e-49"
"actypeCentral",17886.8348,1300.07582,13.7583,"6.01703e-43"
"divisionMiddle Atlantic",23602.10721,1728.21639,13.65692,"2.41312e-42"
"(Intercept)",21490.80544,1668.67842,12.87894,"7.34457e-38"
"divisionMountain - Pacific",17232.33894,1346.61495,12.79678,"2.11058e-37"
"vintage1990s",19887.67732,1620.32799,12.27386,"1.49663e-34"
"vintage2000s",17085.14064,1542.59888,11.07556,"1.85695e-28"
"heatingfuelNatural Gas",11588.3596,1067.34986,10.85713,"2.05900e-27"
"vintage1980s",17213.61078,1684.93688,10.21618,"1.82989e-24"
"heatingfuelFuel Oil",11536.04241,2236.24578,5.15866,"2.50197e-07"
"vintage1970s",5503.26598,1446.67197,3.80409,"1.42592e-04"
"divisionEast North Central",3453.30147,1416.64958,2.43765,"1.47883e-02"
"divisionWest North Central",4282.14539,1780.25195,2.40536,"1.61622e-02"
"heatingfuelOther Fuel",-4294.30314,2662.21913,-1.61305,"1.06743e-01"
"actypeNone",2537.82545,1765.77423,1.43723,"1.50662e-01"
"heatingfuelNone",10397.03072,8967.8753,1.15936,"2.46317e-01"
"divisionWest South Central",813.80342,1463.45701,0.55608,"5.78158e-01"
"vintage1950s",614.57896,1518.56891,0.40471,"6.85694e-01"
"heatingfuelPropane",718.5651,1983.97235,0.36219,"7.17216e-01"
"vintage1960s",419.62917,1557.62945,0.2694,"7.87622e-01"
