Schedule Name,Affected By Vacancy,Affected By Power Outage
occupants,true,false
lighting_interior,true,true
lighting_exterior,true,true
lighting_garage,true,true
lighting_exterior_holiday,true,true
cooking_range,true,true
refrigerator,false,true
extra_refrigerator,false,true
freezer,false,true
dishwasher,true,true
clothes_washer,true,true
clothes_dryer,true,true
ceiling_fan,true,true
plug_loads_other,true,true
plug_loads_tv,true,true
plug_loads_vehicle,true,true
plug_loads_well_pump,true,true
fuel_loads_grill,true,true
fuel_loads_lighting,true,true
fuel_loads_fireplace,true,true
pool_pump,false,true
pool_heater,false,true
hot_tub_pump,false,true
hot_tub_heater,false,true
hot_water_dishwasher,true,true
hot_water_clothes_washer,true,true
hot_water_fixtures,true,true
heating_setpoint,false,false
cooling_setpoint,false,false
water_heater_setpoint,false,false
water_heater_operating_mode,false,false
battery,false,false
battery_charging,false,false
battery_discharging,false,false
