Location,Vintage,Heating Fuel,"100% Efficiency","None",
H1C1 OR,pre-1950,natural gas,0,1.0,
H1C1 OR,pre-1950,propane,0,0,
H1C1 OR,pre-1950,fuel oil,0,1.0,
H1C1 OR,pre-1950,electricity,0.45455,0.54545,
H1C1 OR,pre-1950,other fuel,0,1.0,
H1C1 OR,pre-1950,none,0,0,
H1C1 OR,1950s,natural gas,0,1.0,
H1C1 OR,1950s,propane,0,0,
H1C1 OR,1950s,fuel oil,0,0,
H1C1 OR,1950s,electricity,0.66667,0.33333,
H1C1 OR,1950s,other fuel,0,1.0,
H1C1 OR,1950s,none,0,0,
H1C1 OR,1960s,natural gas,0,1.0,
H1C1 OR,1960s,propane,0,0,
H1C1 OR,1960s,fuel oil,0,1.0,
H1C1 OR,1960s,electricity,0.18182,0.81818,
H1C1 OR,1960s,other fuel,0,0,
H1C1 OR,1960s,none,0,0,
H1C1 OR,1970s,natural gas,0,1.0,
H1C1 OR,1970s,propane,0,0,
H1C1 OR,1970s,fuel oil,0,0,
H1C1 OR,1970s,electricity,0.11111,0.88889,
H1C1 OR,1970s,other fuel,0,1.0,
H1C1 OR,1970s,none,0,0,
H1C1 OR,1980s,natural gas,0,1.0,
H1C1 OR,1980s,propane,0,0,
H1C1 OR,1980s,fuel oil,0,0,
H1C1 OR,1980s,electricity,0.25,0.75,
H1C1 OR,1980s,other fuel,0,1.0,
H1C1 OR,1980s,none,0,0,
H1C1 OR,1990s,natural gas,0,1.0,
H1C1 OR,1990s,propane,0,0,
H1C1 OR,1990s,fuel oil,0,0,
H1C1 OR,1990s,electricity,0.5,0.5,
H1C1 OR,1990s,other fuel,0,1.0,
H1C1 OR,1990s,none,0,0,
H1C1 OR,2000s,natural gas,0,1.0,
H1C1 OR,2000s,propane,0,0,
H1C1 OR,2000s,fuel oil,0,0,
H1C1 OR,2000s,electricity,0,1.0,
H1C1 OR,2000s,other fuel,0,0,
H1C1 OR,2000s,none,0,0,
H1C1 OR,2010s,natural gas,0,1.0,
H1C1 OR,2010s,propane,0,0,
H1C1 OR,2010s,fuel oil,0,0,
H1C1 OR,2010s,electricity,0,1.0,
H1C1 OR,2010s,other fuel,0,1.0,
H1C1 OR,2010s,none,0,0,
H1C1 WA,pre-1950,natural gas,0,1.0,
H1C1 WA,pre-1950,propane,0,1.0,
H1C1 WA,pre-1950,fuel oil,0,1.0,
H1C1 WA,pre-1950,electricity,0.76,0.24,
H1C1 WA,pre-1950,other fuel,0,1.0,
H1C1 WA,pre-1950,none,0,0,
H1C1 WA,1950s,natural gas,0,1.0,
H1C1 WA,1950s,propane,0,0,
H1C1 WA,1950s,fuel oil,0,1.0,
H1C1 WA,1950s,electricity,0.63636,0.36364,
H1C1 WA,1950s,other fuel,0,1.0,
H1C1 WA,1950s,none,0,0,
H1C1 WA,1960s,natural gas,0,1.0,
H1C1 WA,1960s,propane,0,0,
H1C1 WA,1960s,fuel oil,0,0,
H1C1 WA,1960s,electricity,0.41176,0.58824,
H1C1 WA,1960s,other fuel,0,1.0,
H1C1 WA,1960s,none,0,1.0,
H1C1 WA,1970s,natural gas,0,1.0,
H1C1 WA,1970s,propane,0,1.0,
H1C1 WA,1970s,fuel oil,0,1.0,
H1C1 WA,1970s,electricity,0.45161,0.54839,
H1C1 WA,1970s,other fuel,0,1.0,
H1C1 WA,1970s,none,0,0,
H1C1 WA,1980s,natural gas,0,1.0,
H1C1 WA,1980s,propane,0,1.0,
H1C1 WA,1980s,fuel oil,0,0,
H1C1 WA,1980s,electricity,0.33333,0.66667,
H1C1 WA,1980s,other fuel,0,1.0,
H1C1 WA,1980s,none,0,0,
H1C1 WA,1990s,natural gas,0,1.0,
H1C1 WA,1990s,propane,0,0,
H1C1 WA,1990s,fuel oil,0,0,
H1C1 WA,1990s,electricity,0.4,0.6,
H1C1 WA,1990s,other fuel,0,1.0,
H1C1 WA,1990s,none,0,1.0,
H1C1 WA,2000s,natural gas,0,1.0,
H1C1 WA,2000s,propane,0,1.0,
H1C1 WA,2000s,fuel oil,0,0,
H1C1 WA,2000s,electricity,0.16667,0.83333,
H1C1 WA,2000s,other fuel,0,1.0,
H1C1 WA,2000s,none,0,0,
H1C1 WA,2010s,natural gas,0,1.0,
H1C1 WA,2010s,propane,0,0,
H1C1 WA,2010s,fuel oil,0,0,
H1C1 WA,2010s,electricity,0,0,
H1C1 WA,2010s,other fuel,0,0,
H1C1 WA,2010s,none,0,0,
H1C2,pre-1950,natural gas,0,1.0,
H1C2,pre-1950,propane,0,0,
H1C2,pre-1950,fuel oil,0,1.0,
H1C2,pre-1950,electricity,1.0,0.0,
H1C2,pre-1950,other fuel,0,1.0,
H1C2,pre-1950,none,0,0,
H1C2,1950s,natural gas,0,1.0,
H1C2,1950s,propane,0,1.0,
H1C2,1950s,fuel oil,0,0,
H1C2,1950s,electricity,0,1.0,
H1C2,1950s,other fuel,0,0,
H1C2,1950s,none,0,0,
H1C2,1960s,natural gas,0,1.0,
H1C2,1960s,propane,0,0,
H1C2,1960s,fuel oil,0,1.0,
H1C2,1960s,electricity,0,1.0,
H1C2,1960s,other fuel,0,1.0,
H1C2,1960s,none,0,0,
H1C2,1970s,natural gas,0,1.0,
H1C2,1970s,propane,0,0,
H1C2,1970s,fuel oil,0,0,
H1C2,1970s,electricity,0,1.0,
H1C2,1970s,other fuel,0,1.0,
H1C2,1970s,none,0,0,
H1C2,1980s,natural gas,0,1.0,
H1C2,1980s,propane,0,0,
H1C2,1980s,fuel oil,0,0,
H1C2,1980s,electricity,0,1.0,
H1C2,1980s,other fuel,0,1.0,
H1C2,1980s,none,0,0,
H1C2,1990s,natural gas,0,1.0,
H1C2,1990s,propane,0,0,
H1C2,1990s,fuel oil,0,0,
H1C2,1990s,electricity,0,1.0,
H1C2,1990s,other fuel,0,1.0,
H1C2,1990s,none,0,1.0,
