Time,Heating:Electricity  [kwh],Heating:Gas  [kbtu],Cooling:Electricity  [kwh],InteriorLights:Electricity  [kwh],ExteriorLights:Electricity  [kwh],InteriorEquipment:Electricity  [kwh],InteriorEquipment:Gas  [kbtu],Fans:Electricity  [kwh],Pumps:Electricity  [kwh],WaterSystems:Electricity  [kwh],WaterSystems:Gas  [kbtu],WaterSystems:Water  [gal],Electricity:Facility  [kwh],Gas:Facility  [kbtu],Water:Facility  [gal]
2009/01/01 01:00:00,0.0,0.0,0.127,0.027,0.003,0.66,0.032,0.073,0.03,0.0,0.0,0.0,0.92,0.032,0.0
2009/01/01 02:00:00,0.0,0.0,0.107,0.016,0.002,0.618,0.021,0.063,0.03,0.0,0.0,0.0,0.835,0.021,0.0
2009/01/01 03:00:00,0.0,0.0,0.098,0.011,0.001,0.607,0.017,0.058,0.03,0.0,1.103,0.0,0.806,1.12,0.0
2009/01/01 04:00:00,0.0,0.0,0.098,0.011,0.001,0.592,0.017,0.055,0.03,0.0,0.0,0.0,0.788,0.017,0.0
2009/01/01 05:00:00,0.0,0.0,0.098,0.012,0.001,0.563,0.025,0.051,0.03,0.0,1.103,0.0,0.756,1.128,0.0
2009/01/01 06:00:00,0.0,0.0,0.098,0.033,0.004,0.616,0.037,0.052,0.03,0.0,0.0,0.0,0.833,0.037,0.0
2009/01/01 07:00:00,0.0,0.0,0.037,0.077,0.009,0.758,0.052,0.019,0.03,0.0,1.103,0.0,0.93,1.155,0.0
2009/01/01 08:00:00,0.0,0.0,0.164,0.098,0.012,0.832,0.068,0.113,0.03,0.0,11.387,28.029,1.248,11.455,28.029
2009/01/01 09:00:00,0.0,0.0,0.116,0.104,0.012,0.694,0.099,0.065,0.028,0.0,2.854,0.0,1.02,2.953,0.0
2009/01/01 10:00:00,0.0,0.0,0.104,0.107,0.013,0.575,0.127,0.06,0.03,0.0,0.0,0.0,0.889,0.127,0.0
2009/01/01 11:00:00,0.0,0.0,0.114,0.104,0.012,0.576,0.132,0.066,0.03,0.0,1.103,0.0,0.903,1.235,0.0
2009/01/01 12:00:00,0.0,0.0,0.055,0.1,0.012,0.625,0.128,0.025,0.03,0.0,0.0,0.0,0.846,0.128,0.0
2009/01/01 13:00:00,0.0,0.0,0.119,0.097,0.012,0.611,0.125,0.07,0.03,0.0,1.103,0.0,0.939,1.228,0.0
2009/01/01 14:00:00,0.0,0.0,0.132,0.096,0.012,0.623,0.1,0.076,0.03,0.0,0.0,0.0,0.968,0.1,0.0
2009/01/01 15:00:00,0.0,0.0,0.144,0.097,0.012,0.732,0.093,0.087,0.03,0.0,1.159,1.346,1.102,1.252,1.346
2009/01/01 16:00:00,0.0,0.0,0.133,0.104,0.013,0.681,0.09,0.077,0.03,0.0,1.103,0.443,1.038,1.193,0.443
2009/01/01 17:00:00,0.0,0.0,0.141,0.125,0.015,0.852,0.101,0.081,0.03,0.0,0.0,0.0,1.245,0.101,0.0
2009/01/01 18:00:00,0.0,0.0,0.147,0.166,0.02,1.14,0.106,0.118,0.03,0.0,1.103,0.0,1.621,1.209,0.0
2009/01/01 19:00:00,0.0,0.0,0.215,0.208,0.025,1.197,0.084,0.162,0.03,0.0,8.529,16.661,1.837,8.612,16.661
2009/01/01 20:00:00,0.0,0.0,0.21,0.219,0.026,1.136,0.074,0.156,0.03,0.0,9.205,18.735,1.777,9.28,18.735
2009/01/01 21:00:00,0.0,0.0,0.195,0.187,0.022,1.134,0.066,0.142,0.03,0.0,0.0,0.0,1.71,0.066,0.0
2009/01/01 22:00:00,0.0,0.0,0.185,0.142,0.017,1.086,0.062,0.137,0.03,0.0,1.103,0.0,1.596,1.165,0.0
2009/01/01 23:00:00,0.0,0.0,0.163,0.122,0.015,0.932,0.051,0.124,0.03,0.0,0.0,0.0,1.386,0.051,0.0
2009/01/02 00:00:00,0.0,0.0,0.152,0.054,0.007,0.799,0.044,0.09,0.03,0.0,1.103,0.0,1.132,1.147,0.0
2009/01/02 01:00:00,0.0,0.0,0.127,0.027,0.003,0.66,0.032,0.073,0.03,0.0,0.0,0.0,0.921,0.032,0.0
2009/01/02 02:00:00,0.0,0.0,0.11,0.016,0.002,0.618,0.021,0.065,0.03,0.0,1.103,0.0,0.841,1.124,0.0
2009/01/02 03:00:00,0.0,0.0,0.101,0.011,0.001,0.607,0.017,0.059,0.03,0.0,0.0,0.0,0.81,0.017,0.0
2009/01/02 04:00:00,0.0,0.0,0.098,0.011,0.001,0.592,0.017,0.055,0.03,0.0,0.0,0.0,0.788,0.017,0.0
2009/01/02 05:00:00,0.0,0.0,0.098,0.012,0.001,0.563,0.025,0.052,0.03,0.0,1.103,0.0,0.756,1.128,0.0
2009/01/02 06:00:00,0.0,0.0,0.098,0.033,0.004,0.616,0.037,0.054,0.03,0.0,0.0,0.0,0.835,0.037,0.0
2009/01/02 07:00:00,0.0,0.0,0.167,0.077,0.009,0.758,0.052,0.115,0.03,0.0,23.9,46.737,1.157,23.952,46.737
2009/01/02 08:00:00,0.0,0.0,0.119,0.098,0.012,0.832,0.068,0.067,0.03,0.0,0.0,0.0,1.158,0.068,0.0
2009/01/02 09:00:00,0.0,0.0,0.102,0.104,0.012,0.694,0.099,0.058,0.03,0.0,0.0,0.0,1.0,0.099,0.0
2009/01/02 10:00:00,0.0,0.0,0.098,0.107,0.013,0.575,0.127,0.05,0.03,0.0,1.103,0.0,0.874,1.23,0.0
2009/01/02 11:00:00,0.0,0.0,0.098,0.104,0.012,0.576,0.132,0.049,0.03,0.0,0.0,0.0,0.87,0.132,0.0
2009/01/02 12:00:00,0.0,0.0,0.031,0.1,0.012,0.625,0.128,0.014,0.01,0.0,5.852,9.503,0.791,5.98,9.503
2009/01/02 13:00:00,0.0,0.0,0.098,0.097,0.012,0.611,0.125,0.048,0.03,0.0,0.0,0.0,0.895,0.125,0.0
2009/01/02 14:00:00,0.0,0.0,0.098,0.096,0.012,0.623,0.1,0.047,0.03,0.0,1.103,0.0,0.906,1.203,0.0
2009/01/02 15:00:00,0.0,0.0,0.115,0.097,0.012,1.106,0.093,0.065,0.03,0.0,2.343,3.126,1.426,2.436,3.126
2009/01/02 16:00:00,0.0,0.0,0.098,0.104,0.013,0.663,0.09,0.053,0.03,0.0,0.0,0.0,0.961,0.09,0.0
2009/01/02 17:00:00,0.0,0.0,0.107,0.125,0.015,0.852,0.101,0.062,0.03,0.0,1.103,0.0,1.192,1.204,0.0
2009/01/02 18:00:00,0.0,0.0,0.151,0.166,0.02,1.14,0.106,0.083,0.03,0.0,0.0,0.0,1.59,0.106,0.0
2009/01/02 19:00:00,0.0,0.0,0.159,0.208,0.025,1.197,0.084,0.121,0.03,0.0,1.103,0.0,1.74,1.186,0.0
2009/01/02 20:00:00,0.0,0.0,0.225,0.219,0.026,1.136,0.074,0.171,0.03,0.0,11.395,23.925,1.807,11.469,23.925
2009/01/02 21:00:00,0.0,0.0,0.186,0.187,0.022,1.134,0.066,0.128,0.03,0.0,0.793,0.0,1.688,0.86,0.0
2009/01/02 22:00:00,0.0,0.0,0.165,0.142,0.017,1.086,0.062,0.122,0.03,0.0,0.0,0.0,1.562,0.062,0.0
2009/01/02 23:00:00,0.0,0.0,0.147,0.122,0.015,0.932,0.051,0.08,0.03,0.0,1.103,0.0,1.326,1.154,0.0
2009/01/03 00:00:00,0.0,0.0,0.111,0.054,0.007,0.799,0.044,0.063,0.03,0.0,0.0,0.0,1.063,0.044,0.0
2009/01/03 01:00:00,0.0,0.0,0.098,0.027,0.003,0.66,0.032,0.05,0.03,0.0,1.103,0.0,0.868,1.135,0.0
2009/01/03 02:00:00,0.0,0.0,0.098,0.016,0.002,0.618,0.021,0.049,0.03,0.0,0.0,0.0,0.813,0.021,0.0
2009/01/03 03:00:00,0.0,0.0,0.098,0.011,0.001,0.607,0.017,0.054,0.03,0.0,1.103,0.0,0.801,1.12,0.0
2009/01/03 04:00:00,0.0,0.0,0.098,0.011,0.001,0.592,0.017,0.054,0.03,0.0,0.0,0.0,0.787,0.017,0.0
2009/01/03 05:00:00,0.0,0.0,0.098,0.012,0.001,0.563,0.025,0.045,0.03,0.0,1.103,0.0,0.749,1.128,0.0
2009/01/03 06:00:00,0.0,0.0,0.098,0.033,0.004,0.616,0.037,0.046,0.03,0.0,0.0,0.0,0.827,0.037,0.0
2009/01/03 07:00:00,0.0,0.0,0.044,0.077,0.009,0.758,0.052,0.021,0.03,0.0,1.103,0.0,0.94,1.155,0.0
2009/01/03 08:00:00,0.0,0.0,0.153,0.098,0.012,0.832,0.068,0.1,0.03,0.0,8.233,17.94,1.224,8.301,17.94
2009/01/03 09:00:00,0.0,0.0,0.112,0.104,0.012,0.694,0.099,0.065,0.03,0.0,1.103,0.0,1.017,1.202,0.0
2009/01/03 10:00:00,0.0,0.0,0.124,0.107,0.013,0.575,0.127,0.072,0.03,0.0,0.0,0.0,0.921,0.127,0.0
2009/01/03 11:00:00,0.0,0.0,0.146,0.104,0.012,0.576,0.132,0.084,0.03,0.0,1.103,0.0,0.953,1.235,0.0
2009/01/03 12:00:00,0.0,0.0,0.098,0.1,0.012,0.625,0.128,0.05,0.03,0.0,0.0,0.0,0.915,0.128,0.0
2009/01/03 13:00:00,0.0,0.0,0.139,0.097,0.012,0.611,0.125,0.084,0.03,0.0,1.103,0.0,0.973,1.228,0.0
2009/01/03 14:00:00,0.0,0.0,0.153,0.096,0.012,0.623,0.1,0.106,0.03,0.0,4.349,8.752,1.019,4.45,8.752
2009/01/03 15:00:00,0.0,0.0,0.138,0.097,0.012,0.675,0.093,0.084,0.03,0.0,0.752,0.0,1.036,0.845,0.0
2009/01/03 16:00:00,0.0,0.0,0.138,0.104,0.013,0.663,0.09,0.085,0.03,0.0,0.351,0.0,1.032,0.441,0.0
2009/01/03 17:00:00,0.0,0.0,0.136,0.125,0.015,0.852,0.101,0.095,0.03,0.0,0.0,0.0,1.254,0.101,0.0
2009/01/03 18:00:00,0.0,0.0,0.146,0.166,0.02,1.14,0.106,0.123,0.03,0.0,1.103,0.0,1.625,1.209,0.0
2009/01/03 19:00:00,0.0,0.0,0.204,0.208,0.025,1.197,0.084,0.161,0.03,0.0,10.243,20.246,1.826,10.327,20.246
2009/01/03 20:00:00,0.0,0.0,0.211,0.219,0.026,1.633,0.074,0.157,0.03,0.0,2.411,3.605,2.276,2.486,3.605
2009/01/03 21:00:00,0.0,0.0,0.18,0.187,0.022,1.134,0.066,0.14,0.03,0.0,1.103,0.0,1.694,1.17,0.0
2009/01/03 22:00:00,0.0,0.0,0.168,0.142,0.017,1.086,0.062,0.133,0.03,0.0,0.0,0.0,1.576,0.062,0.0
2009/01/03 23:00:00,0.0,0.0,0.146,0.122,0.015,0.932,0.051,0.12,0.03,0.0,1.103,0.0,1.365,1.154,0.0
2009/01/04 00:00:00,0.0,0.0,0.139,0.054,0.007,0.799,0.044,0.082,0.03,0.0,0.0,0.0,1.111,0.044,0.0
2009/01/04 01:00:00,0.0,0.0,0.115,0.027,0.003,0.66,0.032,0.07,0.03,0.0,1.103,0.0,0.906,1.135,0.0
2009/01/04 02:00:00,0.0,0.0,0.1,0.016,0.002,0.618,0.021,0.061,0.03,0.0,0.0,0.0,0.827,0.021,0.0
2009/01/04 03:00:00,0.0,0.0,0.098,0.011,0.001,0.607,0.017,0.053,0.03,0.0,0.0,0.0,0.8,0.017,0.0
2009/01/04 04:00:00,0.0,0.0,0.098,0.011,0.001,0.592,0.017,0.047,0.03,0.0,1.103,0.0,0.78,1.12,0.0
