Time,Heating:Electricity  [kwh],Heating:Gas  [kbtu],Cooling:Electricity  [kwh],InteriorLights:Electricity  [kwh],ExteriorLights:Electricity  [kwh],InteriorEquipment:Electricity  [kwh],InteriorEquipment:Gas  [kbtu],Fans:Electricity  [kwh],Pumps:Electricity  [kwh],WaterSystems:Electricity  [kwh],WaterSystems:Gas  [kbtu],WaterSystems:Water  [gal],Electricity:Facility  [kwh],Gas:Facility  [kbtu],Water:Facility  [gal]
2009/01/01 01:00:00,0.0,0.0,0.077,0.027,0.003,0.66,0.032,0.043,0.022,0.0,0.0,0.0,0.832,0.032,0.0
2009/01/01 02:00:00,0.0,0.0,0.073,0.016,0.002,0.618,0.021,0.037,0.022,0.0,0.0,0.0,0.769,0.021,0.0
2009/01/01 03:00:00,0.0,0.0,0.073,0.011,0.001,0.607,0.017,0.036,0.022,0.0,1.103,0.0,0.751,1.12,0.0
2009/01/01 04:00:00,0.0,0.0,0.073,0.011,0.001,0.592,0.017,0.036,0.022,0.0,0.0,0.0,0.736,0.017,0.0
2009/01/01 05:00:00,0.0,0.0,0.073,0.012,0.001,0.563,0.025,0.033,0.022,0.0,1.103,0.0,0.705,1.128,0.0
2009/01/01 06:00:00,0.0,0.0,0.073,0.033,0.004,0.616,0.037,0.036,0.022,0.0,0.0,0.0,0.784,0.037,0.0
2009/01/01 07:00:00,0.0,0.0,0.0,0.077,0.009,0.758,0.052,0.0,0.0,0.0,1.103,0.0,0.844,1.155,0.0
2009/01/01 08:00:00,0.0,0.0,0.131,0.098,0.012,0.832,0.068,0.084,0.022,0.0,11.381,28.029,1.179,11.448,28.029
2009/01/01 09:00:00,0.0,0.0,0.11,0.104,0.012,0.694,0.099,0.061,0.022,0.0,2.855,0.0,1.003,2.955,0.0
2009/01/01 10:00:00,0.0,0.0,0.081,0.107,0.013,0.575,0.127,0.045,0.022,0.0,0.0,0.0,0.843,0.127,0.0
2009/01/01 11:00:00,0.0,0.0,0.084,0.104,0.012,0.576,0.132,0.047,0.022,0.0,1.103,0.0,0.846,1.235,0.0
2009/01/01 12:00:00,0.0,0.0,0.0,0.1,0.012,0.625,0.128,0.0,0.0,0.0,0.0,0.0,0.737,0.128,0.0
2009/01/01 13:00:00,0.0,0.0,0.083,0.097,0.012,0.611,0.125,0.047,0.022,0.0,1.103,0.0,0.871,1.228,0.0
2009/01/01 14:00:00,0.0,0.0,0.087,0.096,0.012,0.623,0.1,0.049,0.022,0.0,0.0,0.0,0.889,0.1,0.0
2009/01/01 15:00:00,0.0,0.0,0.095,0.097,0.012,0.732,0.093,0.053,0.022,0.0,1.16,1.346,1.012,1.252,1.346
2009/01/01 16:00:00,0.0,0.0,0.082,0.104,0.013,0.681,0.09,0.047,0.022,0.0,1.103,0.443,0.949,1.193,0.443
2009/01/01 17:00:00,0.0,0.0,0.089,0.125,0.015,0.852,0.101,0.051,0.022,0.0,0.0,0.0,1.155,0.101,0.0
2009/01/01 18:00:00,0.0,0.0,0.113,0.166,0.02,1.14,0.106,0.062,0.022,0.0,1.103,0.0,1.524,1.209,0.0
2009/01/01 19:00:00,0.0,0.0,0.16,0.208,0.025,1.197,0.084,0.117,0.022,0.0,8.508,16.661,1.729,8.592,16.661
2009/01/01 20:00:00,0.0,0.0,0.157,0.219,0.026,1.136,0.074,0.109,0.022,0.0,9.22,18.735,1.668,9.295,18.735
2009/01/01 21:00:00,0.0,0.0,0.129,0.187,0.022,1.134,0.066,0.094,0.022,0.0,0.0,0.0,1.589,0.066,0.0
2009/01/01 22:00:00,0.0,0.0,0.123,0.142,0.017,1.086,0.062,0.091,0.022,0.0,1.103,0.0,1.481,1.165,0.0
2009/01/01 23:00:00,0.0,0.0,0.107,0.122,0.015,0.932,0.051,0.081,0.022,0.0,0.0,0.0,1.279,0.051,0.0
2009/01/02 00:00:00,0.0,0.0,0.1,0.054,0.007,0.799,0.044,0.055,0.022,0.0,1.103,0.0,1.036,1.147,0.0
2009/01/02 01:00:00,0.0,0.0,0.081,0.027,0.003,0.66,0.032,0.046,0.022,0.0,0.0,0.0,0.839,0.032,0.0
2009/01/02 02:00:00,0.0,0.0,0.073,0.016,0.002,0.618,0.021,0.041,0.022,0.0,1.103,0.0,0.772,1.124,0.0
2009/01/02 03:00:00,0.0,0.0,0.073,0.011,0.001,0.607,0.017,0.039,0.022,0.0,0.0,0.0,0.753,0.017,0.0
2009/01/02 04:00:00,0.0,0.0,0.073,0.011,0.001,0.592,0.017,0.037,0.022,0.0,0.0,0.0,0.737,0.017,0.0
2009/01/02 05:00:00,0.0,0.0,0.073,0.012,0.001,0.563,0.025,0.035,0.022,0.0,1.103,0.0,0.707,1.128,0.0
2009/01/02 06:00:00,0.0,0.0,0.073,0.033,0.004,0.616,0.037,0.039,0.022,0.0,0.0,0.0,0.787,0.037,0.0
2009/01/02 07:00:00,0.0,0.0,0.13,0.077,0.009,0.758,0.052,0.087,0.021,0.0,23.896,46.737,1.082,23.948,46.737
2009/01/02 08:00:00,0.0,0.0,0.091,0.098,0.012,0.832,0.068,0.048,0.022,0.0,0.0,0.0,1.103,0.068,0.0
2009/01/02 09:00:00,0.0,0.0,0.075,0.104,0.012,0.694,0.099,0.041,0.022,0.0,0.023,0.0,0.949,0.122,0.0
2009/01/02 10:00:00,0.0,0.0,0.073,0.107,0.013,0.575,0.127,0.035,0.022,0.0,1.08,0.0,0.825,1.207,0.0
2009/01/02 11:00:00,0.0,0.0,0.073,0.104,0.012,0.576,0.132,0.035,0.022,0.0,0.0,0.0,0.822,0.132,0.0
2009/01/02 12:00:00,0.0,0.0,0.019,0.1,0.012,0.625,0.128,0.008,0.006,0.0,5.857,9.503,0.77,5.984,9.503
2009/01/02 13:00:00,0.0,0.0,0.073,0.097,0.012,0.611,0.125,0.032,0.022,0.0,0.0,0.0,0.847,0.125,0.0
2009/01/02 14:00:00,0.0,0.0,0.073,0.096,0.012,0.623,0.1,0.031,0.022,0.0,1.103,0.0,0.857,1.203,0.0
2009/01/02 15:00:00,0.0,0.0,0.086,0.097,0.012,1.106,0.093,0.047,0.022,0.0,2.343,3.126,1.37,2.436,3.126
2009/01/02 16:00:00,0.0,0.0,0.073,0.104,0.013,0.663,0.09,0.034,0.022,0.0,0.0,0.0,0.909,0.09,0.0
2009/01/02 17:00:00,0.0,0.0,0.075,0.125,0.015,0.852,0.101,0.042,0.022,0.0,1.103,0.0,1.132,1.204,0.0
2009/01/02 18:00:00,0.0,0.0,0.113,0.166,0.02,1.14,0.106,0.06,0.022,0.0,0.0,0.0,1.521,0.106,0.0
2009/01/02 19:00:00,0.0,0.0,0.121,0.208,0.025,1.197,0.084,0.088,0.022,0.0,1.103,0.0,1.661,1.186,0.0
2009/01/02 20:00:00,0.0,0.0,0.174,0.219,0.026,1.136,0.074,0.125,0.022,0.0,11.416,23.925,1.702,11.49,23.925
2009/01/02 21:00:00,0.0,0.0,0.153,0.187,0.022,1.134,0.066,0.103,0.022,0.0,0.774,0.0,1.622,0.84,0.0
2009/01/02 22:00:00,0.0,0.0,0.122,0.142,0.017,1.086,0.062,0.087,0.022,0.0,0.0,0.0,1.476,0.062,0.0
2009/01/02 23:00:00,0.0,0.0,0.097,0.122,0.015,0.932,0.051,0.052,0.022,0.0,1.103,0.0,1.239,1.154,0.0
2009/01/03 00:00:00,0.0,0.0,0.073,0.054,0.007,0.799,0.044,0.036,0.022,0.0,0.0,0.0,0.991,0.044,0.0
2009/01/03 01:00:00,0.0,0.0,0.068,0.027,0.003,0.66,0.032,0.026,0.022,0.0,1.103,0.0,0.806,1.135,0.0
2009/01/03 02:00:00,0.0,0.0,0.07,0.016,0.002,0.618,0.021,0.028,0.022,0.0,0.0,0.0,0.756,0.021,0.0
2009/01/03 03:00:00,0.0,0.0,0.073,0.011,0.001,0.607,0.017,0.034,0.022,0.0,1.103,0.0,0.749,1.12,0.0
2009/01/03 04:00:00,0.0,0.0,0.073,0.011,0.001,0.592,0.017,0.036,0.022,0.0,0.0,0.0,0.736,0.017,0.0
2009/01/03 05:00:00,0.0,0.0,0.068,0.012,0.001,0.563,0.025,0.028,0.022,0.0,1.103,0.0,0.694,1.128,0.0
2009/01/03 06:00:00,0.0,0.0,0.073,0.033,0.004,0.616,0.037,0.03,0.022,0.0,0.0,0.0,0.777,0.037,0.0
2009/01/03 07:00:00,0.0,0.0,0.0,0.077,0.009,0.758,0.052,0.0,0.0,0.0,1.103,0.0,0.844,1.155,0.0
2009/01/03 08:00:00,0.0,0.0,0.119,0.098,0.012,0.832,0.068,0.073,0.022,0.0,8.236,17.94,1.156,8.304,17.94
2009/01/03 09:00:00,0.0,0.0,0.075,0.104,0.012,0.694,0.099,0.041,0.022,0.0,1.103,0.0,0.948,1.202,0.0
2009/01/03 10:00:00,0.0,0.0,0.08,0.107,0.013,0.575,0.127,0.045,0.022,0.0,0.0,0.0,0.842,0.127,0.0
2009/01/03 11:00:00,0.0,0.0,0.098,0.104,0.012,0.576,0.132,0.054,0.022,0.0,1.103,0.0,0.867,1.235,0.0
2009/01/03 12:00:00,0.0,0.0,0.037,0.1,0.012,0.625,0.128,0.017,0.022,0.0,0.0,0.0,0.813,0.128,0.0
2009/01/03 13:00:00,0.0,0.0,0.085,0.097,0.012,0.611,0.125,0.05,0.022,0.0,1.103,0.0,0.876,1.228,0.0
2009/01/03 14:00:00,0.0,0.0,0.095,0.096,0.012,0.623,0.1,0.065,0.022,0.0,4.351,8.752,0.912,4.452,8.752
2009/01/03 15:00:00,0.0,0.0,0.075,0.097,0.012,0.675,0.093,0.045,0.022,0.0,0.331,0.0,0.927,0.424,0.0
2009/01/03 16:00:00,0.0,0.0,0.075,0.104,0.013,0.663,0.09,0.045,0.022,0.0,0.772,0.0,0.922,0.862,0.0
2009/01/03 17:00:00,0.0,0.0,0.08,0.125,0.015,0.852,0.101,0.048,0.022,0.0,0.0,0.0,1.144,0.101,0.0
2009/01/03 18:00:00,0.0,0.0,0.101,0.166,0.02,1.14,0.106,0.059,0.022,0.0,1.103,0.0,1.509,1.209,0.0
2009/01/03 19:00:00,0.0,0.0,0.142,0.208,0.025,1.197,0.084,0.106,0.022,0.0,10.236,20.246,1.701,10.319,20.246
