Dependency=HVAC System Combined	Option=400 cfm/ton	Option=350 cfm/ton	Option=280 cfm/ton	Option=None
"ASHP, SEER 10, 6.2 HSPF"	0.34	0.33	0.33	0
"ASHP, SEER 13, 7.7 HSPF"	0.34	0.33	0.33	0
"ASHP, SEER 15, 8.5 HSPF"	0.34	0.33	0.33	0
None	0	0	0	1
