Dependency=Location Weather File Location	Option=<1950	Option=1950s	Option=1960s	Option=1970s	Option=1980s	Option=1990s	Option=2000s
FL_Key.West.Intl.AP.722010	0.02	0.06	0.09	0.23	0.37	0.13	0.09
FL_Miami.Intl.AP.722020	0.05	0.13	0.13	0.18	0.17	0.18	0.16
FL_West.Palm.Beach.Intl.AP.722030	0.02	0.05	0.07	0.14	0.23	0.2	0.27
FL_Orlando.Intl.AP.722050	0.04	0.07	0.09	0.16	0.22	0.19	0.24
FL_Daytona.Beach.Intl.AP.722056	0.04	0.05	0.07	0.15	0.23	0.19	0.27
FL_Jacksonville.Intl.AP.722060	0.08	0.09	0.1	0.14	0.17	0.19	0.23
GA_Savannah.Intl.AP.722070	0.08	0.07	0.08	0.13	0.17	0.21	0.25
SC_Charleston.Intl.AP.722080	0.07	0.07	0.1	0.16	0.17	0.19	0.23
FL_Tallahassee.Rgnl.AP.722140	0.09	0.08	0.1	0.16	0.19	0.2	0.17
GA_Macon-Middle.Georgia.Rgnl.AP.722170	0.1	0.09	0.12	0.17	0.17	0.2	0.16
GA_Augusta-Bush-Field.722180	0.1	0.08	0.11	0.17	0.17	0.19	0.16
GA_Atlanta-Hartsfield-Jackson.Intl.AP.722190	0.05	0.05	0.08	0.13	0.19	0.24	0.27
AL_Mobile-Rgnl.AP.722230	0.07	0.09	0.11	0.18	0.16	0.19	0.2
GA_Columbus.Metro.AP.722255	0.13	0.09	0.12	0.17	0.15	0.18	0.16
AL_Montgomery-Dannelly.Field.722260	0.1	0.09	0.12	0.18	0.15	0.19	0.15
AL_Birmingham.Muni.AP.722280	0.13	0.11	0.12	0.17	0.14	0.17	0.15
LA_New.Orleans.Intl.AP.722310	0.12	0.1	0.14	0.2	0.16	0.12	0.16
LA_Baton.Rouge-Ryan.AP.722317	0.1	0.09	0.13	0.2	0.16	0.15	0.17
MS_Meridian-Key.Field.722340	0.11	0.09	0.14	0.2	0.17	0.17	0.11
MS_Jackson.Intl.AP.722350	0.1	0.09	0.13	0.2	0.16	0.17	0.15
LA_Lake.Charles.Rgnl.AP.722400	0.12	0.12	0.12	0.18	0.14	0.14	0.17
TX_Port.Arthur-Jefferson.Co.AP.722410	0.12	0.16	0.15	0.18	0.13	0.12	0.12
TX_Houston-Bush.Intercontinental.AP.722430	0.06	0.08	0.09	0.18	0.16	0.16	0.27
TX_Lufkin-Angelina.Co.AP.722446	0.1	0.08	0.1	0.2	0.2	0.18	0.14
LA_Shreveport.Rgnl.AP.722480	0.11	0.12	0.14	0.2	0.16	0.13	0.12
TX_Brownsville-South.Padre.Island.AP.722500	0.05	0.05	0.07	0.14	0.19	0.22	0.27
TX_Corpus.Christi.Intl.AP.722510	0.1	0.12	0.11	0.17	0.17	0.16	0.18
TX_San.Antonio.Intl.AP.722530	0.1	0.09	0.09	0.15	0.16	0.16	0.24
TX_Austin-Mueller.Muni.AP.722540	0.05	0.05	0.05	0.13	0.18	0.2	0.32
TX_Victoria.Rgnl.AP.722550	0.18	0.14	0.12	0.16	0.16	0.12	0.11
TX_Waco.Rgnl.AP.722560	0.12	0.11	0.11	0.18	0.17	0.14	0.16
TX_Dallas-Fort.Worth.Intl.AP.722590	0.07	0.09	0.1	0.15	0.18	0.17	0.24
TX_San.Angelo-Mathis.AP.722630	0.2	0.15	0.13	0.17	0.15	0.1	0.08
TX_Midland.Intl.AP.722650	0.1	0.25	0.16	0.16	0.16	0.08	0.08
