Dependency=Vintage	Dependency=Geometry House Size	Option=N/a	Count	Weight
<1950	0-1499	1.0	249.0	2524345.21532
<1950	1500-2499	1.0	26.0	248308.193285
<1950	2500-3499	1.0	11.0	109019.024097
<1950	3500+	1.0	2.0	11834.515824
1950s	0-1499	1.0	105.0	1039648.15361
1950s	1500-2499	1.0	10.0	125931.728172
1950s	2500-3499	1.0	1.0	37321.43949
1950s	3500+		0.0	0.0
1960s	0-1499	1.0	101.0	1067688.88283
1960s	1500-2499	1.0	8.0	86587.884265
1960s	2500-3499		0.0	0.0
1960s	3500+		0.0	0.0
1970s	0-1499	1.0	162.0	1450731.37932
1970s	1500-2499	1.0	9.0	78781.61249
1970s	2500-3499	1.0	1.0	8878.279956
1970s	3500+		0.0	0.0
1980s	0-1499	1.0	111.0	1053118.99925
1980s	1500-2499	1.0	5.0	32756.533654
1980s	2500-3499		0.0	0.0
1980s	3500+		0.0	0.0
1990s	0-1499	1.0	72.0	737677.367108
1990s	1500-2499	1.0	5.0	23890.918358
1990s	2500-3499	1.0	2.0	7862.508814
1990s	3500+		0.0	0.0
2000s	0-1499	1.0	38.0	315474.704701
2000s	1500-2499	1.0	6.0	42915.978268
2000s	2500-3499	1.0	2.0	10243.564286
2000s	3500+		0.0	0.0
