Dependency=Vintage	Dependency=Heating Fuel	Dependency=Location EPW	Dependency=Location Census Tract	Dependency=County	Option=owner 0-30	Option=owner 30-50	Option=owner 50-80	Option=owner 80-100	Option=owner 100+	Option=renter 0-30	Option=renter 30-50	Option=renter 50-80	Option=renter 80-100	Option=renter 100+	Count
<1950	None	USA_VA_Sterling-Washington.Dulles.Intl.AP.724030_TMY3.epw	G1100010004001	1.0	0.0	0.0	0.0	0.0	0.0	0.0203739690876	0.0130231417462	0.00239353719089	0.099740128556	0.864469223419	0.00662524128104
<1950	None	USA_VA_Sterling-Washington.Dulles.Intl.AP.724030_TMY3.epw	G1100010004002	1.0	2.90529386887e-85	3.86958118111e-90	9.5783518996e-91	5.14405605619e-85	0.37087233418	0.433598601232	0.00842750347472	0.00094922128	0.00929513395094	0.176857205882	0.0536064640992
<1950	None	USA_VA_Sterling-Washington.Dulles.Intl.AP.724030_TMY3.epw	G1100010004201	1.0	0.0	0.0	0.0	0.0	0.0	0.0514953795989	0.00292576383715	0.00657317207411	0.0907028745901	0.8483028099	0.0120293959534
<1950	None	USA_VA_Sterling-Washington.Dulles.Intl.AP.724030_TMY3.epw	G1100010004300	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.00880328266157
<1950	None	USA_VA_Sterling-Washington.Dulles.Intl.AP.724030_TMY3.epw	G1100010004600	1.0	0.0	0.0	0.0	0.0	0.0	0.917723482338	0.000163092835001	2.90701129385e-05	0.000140063808711	0.0819442909056	0.0278374938571
<1950	None	USA_VA_Sterling-Washington.Dulles.Intl.AP.724030_TMY3.epw	G1100010004701	1.0	0.0	0.0	0.0	0.0	0.0	0.994837381261	0.00355307472785	0.0012024059368	0.000407138073976	1.28457067919e-321	0.10785332979
<1950	None	USA_VA_Sterling-Washington.Dulles.Intl.AP.724030_TMY3.epw	G1100010004901	1.0	0.0	0.0	0.0	0.0	0.0	0.894365728712	0.0603835520434	0.00406402765859	0.023862435465	0.0173242561208	0.00911174884578
<1950	None	USA_VA_Sterling-Washington.Dulles.Intl.AP.724030_TMY3.epw	G1100010004902	1.0	0.311121519731	0.00184860900101	0.000242241963489	0.014248742251	0.672538887054	0.0	0.0	0.0	0.0	0.0	0.0165452531242
<1950	None	USA_VA_Sterling-Washington.Dulles.Intl.AP.724030_TMY3.epw	G1100010005002	1.0	0.0255289337071	0.18410616931	0.0140928815025	0.0815451171881	0.694726898292	0.0	0.0	0.0	0.0	0.0	0.21707809964
<1950	None	USA_VA_Sterling-Washington.Dulles.Intl.AP.724030_TMY3.epw	G1100010007401	1.0	0.0	0.0	0.0	0.0	0.0	1.0	2.61311320085e-320	8.71037733618e-321	2.61311320085e-320	0.0	0.000567232768066
<1950	None	USA_VA_Sterling-Washington.Dulles.Intl.AP.724030_TMY3.epw	G1100010008200	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.444820680861	0.0	0.102152994722	0.453026324417	0.106323096858
<1950	None	USA_VA_Sterling-Washington.Dulles.Intl.AP.724030_TMY3.epw	G1100010008701	1.0	0.0	0.0	0.0	0.0	0.0	0.00025286501906	0.0354200955531	0.0113219461349	0.186684649042	0.766320444251	0.00167067467066
<1950	None	USA_VA_Sterling-Washington.Dulles.Intl.AP.724030_TMY3.epw	G1100010008702	1.0	0.0253960375078	0.0247539397984	0.00919972899922	0.0256195680171	0.915030725677	0.0	0.0	0.0	0.0	0.0	1.90795474182
<1950	None	USA_VA_Sterling-Washington.Dulles.Intl.AP.724030_TMY3.epw	G1100010009102	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
<1950	None	USA_VA_Sterling-Washington.Dulles.Intl.AP.724030_TMY3.epw	G1100010009201	1.0	0.252943741943	0.121982049746	0.0251081197901	0.0474936619108	0.549525775805	1.93944948696e-07	0.00294645686065	8.89318162514e-323	2.66795448754e-322	4.44659081257e-322	0.0552979701156
<1950	None	USA_VA_Sterling-Washington.Dulles.Intl.AP.724030_TMY3.epw	G1100010009204	1.0	0.0	0.0	0.0	0.0	0.0	0.493218895239	0.235247914147	0.0523154752068	0.105174075244	0.114043640163	7.71900493373e-05
