Dependency=Vintage	Dependency=Heating Fuel	Dependency=Location EPW	Dependency=Location Census Tract	Dependency=County	Option=owner 0-30	Option=owner 30-50	Option=owner 50-80	Option=owner 80-100	Option=owner 100+	Option=renter 0-30	Option=renter 30-50	Option=renter 50-80	Option=renter 80-100	Option=renter 100+	Count
1950s	Electricity	USA_MT_Billings-Logan.Intl.AP.726770_TMY3.epw	G3000670000100	67.0	0.129487032887	0.000515050658546	0.11261369185	0.000722953237953	0.0773737956452	0.18403266994	0.126566828595	0.213439575691	0.0117868646555	0.14346153684	0.240209431315
1950s	Electricity	USA_MT_Billings-Logan.Intl.AP.726770_TMY3.epw	G3000670000200	67.0	0.0279360646324	0.00305486051733	0.0449234363544	0.0170957840786	0.176719216747	0.269463877933	0.00580677361975	0.0557932844959	0.0431678248272	0.356038876794	0.502329448798
1950s	Electricity	USA_MT_Billings-Logan.Intl.AP.726770_TMY3.epw	G3000670000500	67.0	0.0522699912689	0.000285892933113	0.003290151032	0.00819002745754	0.234335827605	0.215204233019	0.0314473547604	0.163042032702	0.052137298725	0.239797190497	2.97407247282
1950s	Electricity	USA_MT_Billings-Logan.Intl.AP.726770_TMY3.epw	G3000690000100	69.0	0.0619492402739	0.061620671442	0.18278587736	0.0541980127883	0.387774845304	0.0320702715261	0.0206048175154	0.0895022911807	0.0441778667498	0.0653161058599	0.0840685889289
1950s	Electricity	USA_MT_Billings-Logan.Intl.AP.726770_TMY3.epw	G3000870000100	87.0	0.0438354617057	0.103506599733	0.088328068596	0.0749776049095	0.21922546505	0.062071449881	0.0719689157088	0.0670929733307	0.102988620656	0.166004840429	0.384751852048
1950s	Electricity	USA_MT_Billings-Logan.Intl.AP.726770_TMY3.epw	G3000870000200	87.0	0.0424287464037	0.133726406284	0.122950857612	0.068425742451	0.261034167218	0.0381992203565	0.0470723655765	0.0284900512935	0.149031312114	0.108641130691	0.0390432068525
1950s	Electricity	USA_MT_Billings-Logan.Intl.AP.726770_TMY3.epw	G3000950966400	95.0	0.0679719253501	0.014798979596	0.0507713081845	0.0322571761357	0.295759684369	0.117252185124	0.0726209954196	0.0948478813717	0.00947310242587	0.244246762024	10.9915174319
1950s	Electricity	USA_MT_Billings-Logan.Intl.AP.726770_TMY3.epw	G3000950966500	95.0	0.0723582173385	0.101949444617	0.258921981229	0.0296205811808	0.431268130729	0.0121769622354	0.00820246101433	0.0591195625267	0.00326767734679	0.0231149817825	3.13145450302
1950s	Electricity	USA_MT_Billings-Logan.Intl.AP.726770_TMY3.epw	G3000950966600	95.0	0.0614939196199	0.00279836685237	0.0398100095777	0.0535653776809	0.255364326984	0.101123397682	0.0318516118221	0.029942004135	0.0197305373743	0.404320448272	5.93221046443
1950s	Electricity	USA_MT_Billings-Logan.Intl.AP.726770_TMY3.epw	G3000970967000	97.0	0.0988181031063	0.0037221833818	0.0698622340244	0.0650968558084	0.273847065782	0.0811719478294	0.136376374739	0.111369616747	0.0301447256044	0.129590892976	7.79491324926
1950s	Electricity	USA_MT_Billings-Logan.Intl.AP.726770_TMY3.epw	G3001030963500	103.0	0.0147933934133	0.111663743201	0.139673098312	0.0236253992951	0.228166765933	0.0430102377926	0.0391342208357	0.0776026271515	0.0446816213769	0.277648892689	0.92988685928
1950s	Electricity	USA_MT_Billings-Logan.Intl.AP.726770_TMY3.epw	G3001110000200	111.0	0.043369105014	0.000205300833514	0.0270036547575	0.0503547573408	0.378433736855	0.0509100899121	0.151367169479	0.205689955916	0.0325371201085	0.0601291097829	15.9465613622
1950s	Electricity	USA_MT_Billings-Logan.Intl.AP.726770_TMY3.epw	G3001110000300	111.0	0.0212502099242	0.00493099320657	0.00982906591334	0.00901940728682	0.0676271422672	0.526463851566	0.31552584213	0.0402913665443	4.64522747606e-07	0.00506165663886	18.6328229774
1950s	Electricity	USA_MT_Billings-Logan.Intl.AP.726770_TMY3.epw	G3001110000401	111.0	0.0259060066299	0.0013239707731	0.000179303761834	0.0016632157303	0.0378105204158	0.195434150061	0.6367128336	0.00166831033969	0.00452371392313	0.094777974765	3.82300202201
1950s	Electricity	USA_MT_Billings-Logan.Intl.AP.726770_TMY3.epw	G3001110000402	111.0	0.0284707488019	0.0033145054378	0.00016304056619	0.000669848528149	0.0148182764493	0.37681282724	4.94065645841e-324	0.530569224645	0.0	0.0451815283324	6.44562854457
1950s	Electricity	USA_MT_Billings-Logan.Intl.AP.726770_TMY3.epw	G3001110000500	111.0	0.0602715675798	0.00042793506041	0.0222906412611	0.04147256986	0.275483508028	0.392031935119	0.0463394748529	2.99688038364e-05	0.00611047468316	0.155541924752	16.8322756959
1950s	Electricity	USA_MT_Billings-Logan.Intl.AP.726770_TMY3.epw	G3001110000600	111.0	0.0322700575704	0.0132952564276	0.00312776710469	0.0224028957855	0.393044860881	0.223855892509	0.312003269722	4.94065645841e-324	4.94065645841e-324	4.94065645841e-324	2.90152639694
1950s	Electricity	USA_MT_Billings-Logan.Intl.AP.726770_TMY3.epw	G3001110000701	111.0	0.0118238632705	0.0109197121176	0.000521659667641	9.4828619131e-07	0.797469226419	0.148675411119	0.00629416923484	0.000847009976162	0.00778940159466	0.0156585983137	2.00772760681
1950s	Electricity	USA_MT_Billings-Logan.Intl.AP.726770_TMY3.epw	G3001110000702	111.0	0.0201964388886	0.00012410877635	6.10852710069e-05	0.000341816873491	0.7463982407	0.0899201679668	0.120280287249	0.000500573964096	0.00564612619962	0.0165311541116	1.45027128232
1950s	Electricity	USA_MT_Billings-Logan.Intl.AP.726770_TMY3.epw	G3001110000704	111.0	0.175382412965	0.0025855463775	0.000910105666323	0.000235828965176	0.820886106026	0.0	0.0	0.0	0.0	0.0	0.681309651801
1950s	Electricity	USA_MT_Billings-Logan.Intl.AP.726770_TMY3.epw	G3001110000706	111.0	0.00411089447303	4.19090549743e-06	2.83828836206e-05	4.00221696752e-05	0.853751535232	0.0422620943191	1.73675871463e-05	0.0408713777742	0.0589138410479	2.93607857187e-07	2.37546609567
1950s	Electricity	USA_MT_Billings-Logan.Intl.AP.726770_TMY3.epw	G3001110000800	111.0	0.0574183031339	0.0745957788409	0.140670970594	0.158920088346	0.245476805469	0.0225243171841	0.0296326940198	0.0466143767903	0.148535746247	0.0756109193749	5.98213309633
1950s	Electricity	USA_MT_Billings-Logan.Intl.AP.726770_TMY3.epw	G3001110000901	111.0	0.0623214637968	0.00949149806562	0.241216084173	0.0737646325056	0.476550887386	0.00030467084089	0.0818313322892	0.0171826251039	0.0125049602537	0.0248318455848	6.53291431735
1950s	Electricity	USA_MT_Billings-Logan.Intl.AP.726770_TMY3.epw	G3001110000902	111.0	0.358878796008	0.00633872186498	0.116676836167	0.013900644247	0.311154635182	0.126857180333	0.00755582747668	0.00143918584957	0.0229180869831	0.0342800858882	8.91081617259
1950s	Electricity	USA_MT_Billings-Logan.Intl.AP.726770_TMY3.epw	G3001110001000	111.0	0.0926700612071	0.0465638299737	0.0698715544522	0.0372353900013	0.434890848125	0.140242218922	0.0438291510458	0.037191593345	0.0438537762984	0.0536515766296	42.6402861475
1950s	Electricity	USA_MT_Billings-Logan.Intl.AP.726770_TMY3.epw	G3001110001100	111.0	0.0595059925539	0.00158819121086	0.0926773462673	0.0645597936957	0.679748527576	0.0780275289126	0.0107081907957	1.55176706355e-74	3.5100244772e-70	0.0131844289884	56.211250508
1950s	Electricity	USA_MT_Billings-Logan.Intl.AP.726770_TMY3.epw	G3001110001200	111.0	0.00393496740472	0.00257232266165	0.00110820357147	0.00158137757781	0.265162991797	0.725640136987	1.48219693752e-323	1.48219693752e-323	9.88131291682e-324	2.47032822921e-323	1.74947421206
1950s	Electricity	USA_MT_Billings-Logan.Intl.AP.726770_TMY3.epw	G3001110001300	111.0	0.125997269071	0.0302606264295	0.0374412535129	0.0146798913542	0.468250005282	0.263678065106	0.0432086999052	2.09554966039e-07	2.12093144689e-06	0.016481858852	10.7578502782
1950s	Electricity	USA_MT_Billings-Logan.Intl.AP.726770_TMY3.epw	G3001110001401	111.0	0.0522383919771	0.0825449837185	0.148754630722	0.126482252545	0.281333730304	0.015586799399	0.0210383771501	0.0485215349446	0.0340434853241	0.189455813915	8.71225497545
1950s	Electricity	USA_MT_Billings-Logan.Intl.AP.726770_TMY3.epw	G3001110001402	111.0	0.0463401842983	0.0538103178651	0.158364331171	0.173017885167	0.563861748723	0.00113852854943	0.00169397018243	0.00177303404368	2.59820216753e-273	1.48219693752e-323	1.74286602441
1950s	Electricity	USA_MT_Billings-Logan.Intl.AP.726770_TMY3.epw	G3001110001501	111.0	0.0649136138951	0.0735798760985	0.184049613366	0.125116385248	0.443333010547	0.0324650813384	0.000188382810014	0.0193645674881	0.0307296376724	0.0262598315359	15.5764755746
1950s	Electricity	USA_MT_Billings-Logan.Intl.AP.726770_TMY3.epw	G3001110001502	111.0	0.0596922043946	0.178987024265	0.174771101578	0.121705172146	0.346379521681	0.0443553440627	0.0219403287471	0.0100339208721	0.0218668391719	0.0202685430812	15.4674373966
1950s	Electricity	USA_MT_Billings-Logan.Intl.AP.726770_TMY3.epw	G3001110001702	111.0	0.0655712372447	0.044712378809	0.124787367551	0.0272977977367	0.549226342467	0.000170593657329	0.119753355201	9.06011158023e-05	0.00832276580979	0.0600675604074	13.8847237673
1950s	Electricity	USA_MT_Billings-Logan.Intl.AP.726770_TMY3.epw	G3001110001703	111.0	0.000130767343272	3.6198710764e-31	2.17955045788e-05	3.49636219284e-05	0.99981247353	0.0	0.0	0.0	0.0	0.0	0.295851298069
1950s	Electricity	USA_MT_Billings-Logan.Intl.AP.726770_TMY3.epw	G3001110001704	111.0	0.00127418736638	3.15400580098e-05	0.000246948155458	0.000182180761615	0.998265143659	0.0	0.0	0.0	0.0	0.0	0.464857312428
1950s	Electricity	USA_MT_Billings-Logan.Intl.AP.726770_TMY3.epw	G3001110001802	111.0	0.00161623298961	0.00255228597319	0.000239982423725	0.000189134511006	0.64296386851	3.49540500297e-06	0.00316245837671	0.000577447757135	0.134330122179	0.214364971875	2.13498008489
