Dependency=Location USAF	Option=66F	Option=67F	Option=68F	Option=69F	Option=70F
722010	0	0	0	0	1
722020	0	0	0	0	1
722030	0	0	0	0	1
722050	0	0	0	0	1
722056	0	0	0	0	1
722060	0	0	0	0	1
722070	0	0	0	1	0
722080	0	0	0	1	0
722140	0	0	0	1	0
722170	0	0	0	1	0
722180	0	0	0	1	0
722190	0	0	0	1	0
722230	0	0	0	1	0
722255	0	0	0	1	0
722260	0	0	0	1	0
722280	0	0	0	1	0
722310	0	0	0	0	1
722317	0	0	0	1	0
722340	0	0	0	1	0
722350	0	0	0	1	0
722400	0	0	0	1	0
722410	0	0	0	1	0
722430	0	0	0	1	0
722446	0	0	0	1	0
722480	0	0	0	1	0
722500	0	0	0	0	1
722510	0	0	0	0	1
722530	0	0	0	1	0
722540	0	0	0	0	1
722550	0	0	0	0	1
722560	0	0	0	1	0
722590	0	0	0	1	0
722630	0	0	0	1	0
722650	0	0	0	1	0
722660	0	0	0	1	0
722670	0	0	0	1	0
722700	0	0	0	1	0
722740	0	0	0	1	0
722780	0	0	0	0	1
722900	0	0	0	0	1
722950	0	0	0	0	1
722970	0	0	0	0	1
723013	0	0	0	1	0
723040	0	0	0	1	0
723060	0	0	0	1	0
723080	0	0	0	1	0
723100	0	0	0	1	0
723110	0	0	0	1	0
723120	0	0	0	1	0
723140	0	0	0	1	0
723150	0	0	1	0	0
723170	0	0	0	1	0
723183	0	0	1	0	0
723230	0	0	0	1	0
723240	0	0	0	1	0
723260	0	0	0	1	0
723270	0	0	0	1	0
723340	0	0	0	1	0
723403	0	0	0	1	0
723440	0	0	0	1	0
723510	0	0	0	1	0
723530	0	0	0	1	0
723560	0	0	0	1	0
723630	0	0	1	0	0
723650	0	0	1	0	0
723676	0	0	1	0	0
723723	0	0	1	0	0
723755	0	1	0	0	0
723815	0	0	0	1	0
723840	0	0	0	1	0
723860	0	0	0	1	0
723890	0	0	0	1	0
723940	0	0	0	1	0
724010	0	0	0	1	0
724030	0	0	1	0	0
724060	0	0	1	0	0
724070	0	0	1	0	0
724080	0	0	1	0	0
724089	0	0	1	0	0
724100	0	0	1	0	0
724110	0	0	1	0	0
724140	0	0	1	0	0
724170	0	0	1	0	0
724210	0	0	1	0	0
724220	0	0	1	0	0
724230	0	0	1	0	0
724250	0	0	1	0	0
724280	0	0	1	0	0
724290	0	0	1	0	0
724320	0	0	1	0	0
724340	0	0	1	0	0
724380	0	0	1	0	0
724390	0	0	1	0	0
724400	0	0	1	0	0
724450	0	0	1	0	0
724460	0	0	1	0	0
724500	0	0	1	0	0
724510	0	0	1	0	0
724560	0	0	1	0	0
724620	0	1	0	0	0
724640	0	0	1	0	0
724650	0	0	1	0	0
724660	0	0	1	0	0
724675	0	1	0	0	0
724699	0	0	1	0	0
724755	0	0	1	0	0
724760	0	0	1	0	0
724830	0	0	0	1	0
724855	0	0	1	0	0
724860	0	1	0	0	0
724880	0	0	1	0	0
724940	0	0	0	1	0
725020	0	0	1	0	0
725040	0	0	1	0	0
725070	0	0	1	0	0
725080	0	0	1	0	0
725090	0	0	1	0	0
725095	0	1	0	0	0
725118	0	0	1	0	0
725130	0	0	1	0	0
725140	0	0	1	0	0
725150	0	1	0	0	0
725170	0	0	1	0	0
725180	0	0	1	0	0
725190	0	0	1	0	0
725200	0	0	1	0	0
725210	0	0	1	0	0
725240	0	0	1	0	0
725246	0	0	1	0	0
725250	0	0	1	0	0
725260	0	0	1	0	0
725266	0	1	0	0	0
725280	0	0	1	0	0
725290	0	0	1	0	0
725300	0	0	1	0	0
725320	0	0	1	0	0
725330	0	0	1	0	0
