Dependency=Vintage	Dependency=Heating Fuel	Dependency=Location EPW	OWNER 0-30%	OWNER 30-60%	OWNER 60-80%	OWNER 80-100%	OWNER 100%+	RENTER 0-30%	RENTER 30-60%	RENTER 60-80%	RENTER 80-100%	RENTER 100%+	Count
1950s	Electricity	USA_TN_Memphis.Intl.AP.723340_TMY3.epw	0.069954549922	0.110195724415	0.0913745517721	0.0834665958318	0.283447974028	0.0943981708011	0.0939615098246	0.0501389617297	0.0355687871871	0.0874931744881	20599.8567264
1950s	Fuel Oil	USA_TN_Memphis.Intl.AP.723340_TMY3.epw	0.0607993543198	0.149710039122	0.10597485889	0.095805384554	0.371724825506	0.0216880214251	0.0603441807612	0.0230555109802	0.0318079805295	0.0790898439121	1007.13756514
1950s	Natural Gas	USA_TN_Memphis.Intl.AP.723340_TMY3.epw	0.0677113704356	0.147083182862	0.109019842786	0.101685170461	0.383325660966	0.0426587011647	0.0502080335266	0.0294965038141	0.0200025234458	0.0488090105383	144422.147708
1950s	None	USA_TN_Memphis.Intl.AP.723340_TMY3.epw	0.11821412281	0.0908799269394	0.057436108308	0.0639708532608	0.339395302714	0.0814632001097	0.103903764681	0.0412354697499	0.0164170531966	0.0870841982311	284.314533406
1950s	Other Fuel	USA_TN_Memphis.Intl.AP.723340_TMY3.epw	0.0813397127604	0.151067676135	0.115845180419	0.109850656533	0.378643636192	0.0346766746374	0.0385317285041	0.0191711152062	0.0220833185869	0.0487903010255	3367.15794613
1950s	Propane	USA_TN_Memphis.Intl.AP.723340_TMY3.epw	0.0673910020475	0.116137314436	0.0930897867904	0.0831555287706	0.413880566374	0.0321168891179	0.0476732236091	0.0345185688438	0.0279336717719	0.0841034482387	12896.7460212
1960s	Electricity	USA_TN_Memphis.Intl.AP.723340_TMY3.epw	0.0486382999352	0.0857765145271	0.0785561663513	0.0836943789677	0.439093643664	0.0537510573147	0.0639367225599	0.0386562521564	0.0299951177212	0.0779018468026	44547.394963
1960s	Fuel Oil	USA_TN_Memphis.Intl.AP.723340_TMY3.epw	0.147618157986	0.169401454021	0.100432381426	0.0896670185476	0.353074494283	0.0366774119016	0.0279527416805	0.0170301451149	0.0176105468489	0.0405356481901	793.741904845
1960s	Natural Gas	USA_TN_Memphis.Intl.AP.723340_TMY3.epw	0.0482302427458	0.105459940166	0.0895656855241	0.0990064775605	0.520737148227	0.0262259871017	0.0311068041367	0.0192434357236	0.0165195686514	0.0439047101628	215091.682259
1960s	None	USA_TN_Memphis.Intl.AP.723340_TMY3.epw	0.0609347551044	0.0781154886597	0.0850309912024	0.116557390272	0.420174627897	0.0569329031008	0.0665857464	0.0308295880252	0.0172811748363	0.0675573345017	320.916917946
1960s	Other Fuel	USA_TN_Memphis.Intl.AP.723340_TMY3.epw	0.0891657777433	0.110481635783	0.0956390447828	0.100587548857	0.481491082194	0.0328057829508	0.0287316240713	0.0207609299341	0.0126120525537	0.0277245211301	7905.11928495
1960s	Propane	USA_TN_Memphis.Intl.AP.723340_TMY3.epw	0.0521493793579	0.0895237421142	0.0797355312661	0.0920632738846	0.540930252672	0.0251025618264	0.0292630921234	0.0208839968749	0.0166366459064	0.0537115239737	21156.2782589
