Dependency=Location Census Division	Dependency=Vintage	Dependency=Geometry House Size	Dependency=HVAC System Cooling Type	Option=0-50	Option=50-100	Option=100-150	Option=150-200	Option=200-250	Option=250-300	Option=300+	Count	Weight
South Atlantic - East South Central	<1950	0-1499	None	0.218960393806	0.290878277262	0.0636362415951	0.129852653424	0.053495892657	0.0	0.243176541257	23	60192.1345634
South Atlantic - East South Central	<1950	0-1499	Central	0.0631023471497	0.128338893832	0.144111790645	0.11448807145	0.0870863660582	0.0981364427031	0.364736088161	257	697577.813184
South Atlantic - East South Central	<1950	0-1499	Room	0.0877525926933	0.234164602415	0.143470739187	0.192934711241	0.117543231662	0.0493355451193	0.174798577683	124	313020.643505
South Atlantic - East South Central	<1950	1500-2499	None	0.318457946702	0.227906920471	0.0	0.134909062737	0.0	0.101554949476	0.217171120614	8	21935.2911521
South Atlantic - East South Central	<1950	1500-2499	Central	0.0806337250894	0.0469475477216	0.109044811307	0.105804129526	0.0959409860643	0.0551353272739	0.506493473018	259	674766.643626
South Atlantic - East South Central	<1950	1500-2499	Room	0.0987813186169	0.195978569619	0.175630426241	0.0767880154333	0.105448099441	0.109057687814	0.238315882835	72	183242.146573
South Atlantic - East South Central	<1950	2500-3499	None	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2	5025.035276
South Atlantic - East South Central	<1950	2500-3499	Central	0.0632769379897	0.0575169944379	0.029137428188	0.0741213932817	0.0934566715542	0.0451570467084	0.63733352784	71	171376.248974
South Atlantic - East South Central	<1950	2500-3499	Room	0.100056271619	0.0525903787371	0.168037444955	0.101527417741	0.170532485017	0.109998862656	0.297257139275	19	51021.5389551
South Atlantic - East South Central	<1950	3500+	None	0.0	0.464757749515	0.0	0.535242250485	0.0	0.0	0.0	2	5073.8826349
South Atlantic - East South Central	<1950	3500+	Central	0.0902191576192	0.0	0.0578194588526	0.134515731385	0.061889407079	0.0579016169086	0.597654628155	49	121983.461898
South Atlantic - East South Central	<1950	3500+	Room	0.0	0.0	0.144098432703	0.423357746796	0.0	0.1251446677	0.307399152801	7	16907.3883345
South Atlantic - East South Central	1950s	0-1499	None	0.139947171577	0.281051780248	0.149100055113	0.291195786836	0.138705206225	0.0	0.0	6	16524.282397
South Atlantic - East South Central	1950s	0-1499	Central	0.126930170341	0.0823446883855	0.14186173611	0.126940168706	0.0942068862079	0.0843737352231	0.343342615026	242	641400.381236
South Atlantic - East South Central	1950s	0-1499	Room	0.0815828765355	0.131444621791	0.271888331713	0.13564517183	0.117116701926	0.0104645760829	0.251857720121	74	176879.523818
South Atlantic - East South Central	1950s	1500-2499	None	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0	0.0
South Atlantic - East South Central	1950s	1500-2499	Central	0.0312489474891	0.0573733378414	0.104165223537	0.109636173429	0.0954161867456	0.100736157229	0.501423973728	256	650113.810377
